"ENSEMBL","Sample_DEG","SYMBOL","sexBias"
"ENSMUSG00000000365","XX 5CKO and XX 5CHET","Rnf17","unbiased"
"ENSMUSG00000000811","XX 5CKO","Txnrd3","XY"
"ENSMUSG00000002076","All","Hsf2bp","unbiased"
"ENSMUSG00000002190","XX 5CHET","Clgn","XY"
"ENSMUSG00000002228","XX 5CHET","Ppm1j","XY"
"ENSMUSG00000002768","XY 5CKO","Mea1","unbiased"
"ENSMUSG00000004633","XX 5CKO","Chn2","XY"
"ENSMUSG00000004948","All","Zp3","XX"
"ENSMUSG00000005493","XY 5CKO","Msh4","unbiased"
"ENSMUSG00000006056","All","Calcoco2","XX"
"ENSMUSG00000006200","All","Rhox6","XX"
"ENSMUSG00000006310","XY 5CKO and XX 5CHET","Zbtb32","XY"
"ENSMUSG00000008482","XX 5CKO and XX 5CHET","Rnf151","XY"
"ENSMUSG00000009596","XX 5CKO","Taf7l","unbiased"
"ENSMUSG00000009628","All","Tex15","unbiased"
"ENSMUSG00000009670","XX 5CKO and XX 5CHET","Tex11","unbiased"
"ENSMUSG00000010342","All","Tex14","unbiased"
"ENSMUSG00000010592","All","Dazl","unbiased"
"ENSMUSG00000010760","XX 5CKO","Phlda2","XX"
"ENSMUSG00000010796","XX 5CKO and XX 5CHET","Asz1","unbiased"
"ENSMUSG00000012126","XX 5CHET","Ubxn11","XY"
"ENSMUSG00000016526","XX 5CHET","Dyrk3","XY"
"ENSMUSG00000018428","XX 5CKO and XX 5CHET","Akap1","unbiased"
"ENSMUSG00000018509","XX 5CHET","Cenpv","XY"
"ENSMUSG00000018543","XX 5CKO","1700001P01Rik","XY"
"ENSMUSG00000018727","All","Cpsf4l","unbiased"
"ENSMUSG00000020037","XX 5CKO and XX 5CHET","Rfx4","XY"
"ENSMUSG00000020389","XX 5CKO","Cdkl3","XY"
"ENSMUSG00000020419","XX 5CKO","Hormad2","unbiased"
"ENSMUSG00000020481","XX 5CKO and XX 5CHET","Ankrd36","XY"
