"ENSEMBL","SYMBOL"
"ENSMUSG00000000365","Rnf17"
"ENSMUSG00000004032",NA
"ENSMUSG00000004633",NA
"ENSMUSG00000006241","Ccdc159"
"ENSMUSG00000008129","Brme1"
"ENSMUSG00000009628","Tex15"
"ENSMUSG00000010592","Dazl"
"ENSMUSG00000015980",NA
"ENSMUSG00000018509","Cenpv"
"ENSMUSG00000018554","Ybx2"
"ENSMUSG00000020639","Pfn4"
"ENSMUSG00000020728",NA
"ENSMUSG00000020805","Slc13a5"
"ENSMUSG00000021363","Mak"
"ENSMUSG00000021643","Serf1"
"ENSMUSG00000021758","Ddx4"
"ENSMUSG00000021879",NA
"ENSMUSG00000022113","Trim52"
"ENSMUSG00000022429","Dmc1"
"ENSMUSG00000022432","Smc1b"
"ENSMUSG00000023403","Stk31"
"ENSMUSG00000023806","Rsph3b"
"ENSMUSG00000023935",NA
"ENSMUSG00000024786","Majin"
"ENSMUSG00000025480",NA
"ENSMUSG00000025977","Boll"
"ENSMUSG00000027229","Terb2"
"ENSMUSG00000027794","Sohlh2"
"ENSMUSG00000027855","Sycp1"
"ENSMUSG00000027939","Nup210l"
"ENSMUSG00000028109","Hormad1"
"ENSMUSG00000028294","Cfap206"
"ENSMUSG00000028845","Tekt2"
"ENSMUSG00000028950",NA
"ENSMUSG00000029279","Brdt"
"ENSMUSG00000029769",NA
"ENSMUSG00000029848",NA
"ENSMUSG00000030041","M1ap"
"ENSMUSG00000030406",NA
"ENSMUSG00000030491","Tdrd12"
"ENSMUSG00000030792","Dkkl1"
"ENSMUSG00000031179",NA
"ENSMUSG00000031651",NA
"ENSMUSG00000032101","Ddx25"
"ENSMUSG00000033644","Piwil2"
"ENSMUSG00000033658","Ddx19b"
"ENSMUSG00000033794","Lpcat2b"
"ENSMUSG00000033826",NA
"ENSMUSG00000033949",NA
"ENSMUSG00000034151","Zbbx"
"ENSMUSG00000034401","Spata6"
"ENSMUSG00000034813",NA
"ENSMUSG00000035694",NA
"ENSMUSG00000036411","Matcap2"
"ENSMUSG00000036432","Siah2"
"ENSMUSG00000036928","Stag3"
"ENSMUSG00000037101",NA
"ENSMUSG00000037628",NA
"ENSMUSG00000038180","Spag4"
"ENSMUSG00000038932","Tcfl5"
"ENSMUSG00000038936","Sccpdh"
"ENSMUSG00000039179","Tekt5"
"ENSMUSG00000039198",NA
"ENSMUSG00000039224","D1Pas1"
"ENSMUSG00000039329",NA
"ENSMUSG00000040013",NA
"ENSMUSG00000040594",NA
"ENSMUSG00000040629","Mael"
"ENSMUSG00000042246","Tmc7"
"ENSMUSG00000042386",NA
"ENSMUSG00000042708","Shcbp1l"
"ENSMUSG00000043773",NA
"ENSMUSG00000044042","Fmn1"
"ENSMUSG00000044122","Proca1"
"ENSMUSG00000044320",NA
"ENSMUSG00000045010","Gm4779"
"ENSMUSG00000045257","Morn2"
"ENSMUSG00000045587","Lypd10"
"ENSMUSG00000046000","Naa11"
"ENSMUSG00000046192","Iqub"
"ENSMUSG00000046774","8030474K03Rik"
"ENSMUSG00000047220","Iho1"
"ENSMUSG00000047446",NA
"ENSMUSG00000047674","Pdha2"
"ENSMUSG00000048038",NA
"ENSMUSG00000050122",NA
"ENSMUSG00000050197","Rhox13"
"ENSMUSG00000050545","Fam228b"
"ENSMUSG00000051159","Cited1"
"ENSMUSG00000051176",NA
"ENSMUSG00000051455","Meioc"
"ENSMUSG00000053070",NA
"ENSMUSG00000053783","Liat1"
