"ENSEMBL","SYMBOL"
"ENSMUSG00000002076","Hsf2bp"
"ENSMUSG00000019027","Dnah1"
"ENSMUSG00000020299","4930524B15Rik"
"ENSMUSG00000023403","Stk31"
"ENSMUSG00000031027","Stk33"
"ENSMUSG00000039224","D1Pas1"
"ENSMUSG00000040013","Fkbp6"
"ENSMUSG00000049123","Catsperg2"
"ENSMUSG00000056436","Cyct"
"ENSMUSG00000062132","Arhgap33os"
"ENSMUSG00000071470","Ccnb1ip1"
"ENSMUSG00000097638","Carlr"
"ENSMUSG00000000365","Rnf17"
"ENSMUSG00000011154","Cfap161"
"ENSMUSG00000019945","Cabcoco1"
"ENSMUSG00000020799","Tekt1"
"ENSMUSG00000020904","Cfap52"
"ENSMUSG00000021879","Dnah12"
"ENSMUSG00000026650","Meig1"
"ENSMUSG00000029155","Spata18"
"ENSMUSG00000031786","Drc7"
"ENSMUSG00000032514","Ttc21a"
"ENSMUSG00000033053","Cfap95"
"ENSMUSG00000038932","Tcfl5"
"ENSMUSG00000038987","Cfap157"
"ENSMUSG00000039021","Ttc16"
"ENSMUSG00000042707","Dnali1"
"ENSMUSG00000043020","Dnai3"
"ENSMUSG00000044948","Cfap43"
"ENSMUSG00000046000","Naa11"
"ENSMUSG00000047021","Cfap65"
"ENSMUSG00000049353","Rd3"
"ENSMUSG00000051811","Cox6b2"
"ENSMUSG00000052273","Dnah3"
"ENSMUSG00000053153","Spag16"
"ENSMUSG00000059854","Hydin"
"ENSMUSG00000063409","Lrrc43"
"ENSMUSG00000064280","Ccdc146"
"ENSMUSG00000072663","Spef2"
"ENSMUSG00000079022","Col22a1"
"ENSMUSG00000091415","Ak9"
