"ENSEMBL","SYMBOL","sexBias"
"ENSMUSG00000000103","Zfy2","XY"
"ENSMUSG00000000365","Rnf17","unbiased"
"ENSMUSG00000000411","Tssk3","XY"
"ENSMUSG00000000811","Txnrd3","XY"
"ENSMUSG00000000942","Hoxa4","XY"
"ENSMUSG00000001120","Pcbp3","XY"
"ENSMUSG00000001558","Klhl10","XY"
"ENSMUSG00000001829","Clpb","XY"
"ENSMUSG00000001948","Spa17","XY"
"ENSMUSG00000002076","Hsf2bp","unbiased"
"ENSMUSG00000002190","Clgn","XY"
"ENSMUSG00000002228","Ppm1j","XY"
"ENSMUSG00000002319","Ipo4","unbiased"
"ENSMUSG00000002409","Dyrk1b","unbiased"
"ENSMUSG00000002768","Mea1","unbiased"
"ENSMUSG00000003153","Slc2a3","XY"
"ENSMUSG00000003341","Atp8b3","XY"
"ENSMUSG00000003345","Csnk1g2","unbiased"
"ENSMUSG00000003354","Ccdc65","XY"
"ENSMUSG00000003436","Dll3","XY"
"ENSMUSG00000003604","Aven","unbiased"
"ENSMUSG00000004032","Gstm5","XY"
"ENSMUSG00000004070","Hmox2","unbiased"
"ENSMUSG00000004371","Il11","XY"
"ENSMUSG00000004542","Psg19","XY"
"ENSMUSG00000004633","Chn2","XY"
"ENSMUSG00000004948","Zp3","XX"
"ENSMUSG00000005131","4930550C14Rik","XY"
"ENSMUSG00000005474","Myl10","XY"
"ENSMUSG00000005493","Msh4","unbiased"
"ENSMUSG00000005983","1700037C18Rik","XY"
"ENSMUSG00000006056","Calcoco2","XX"
"ENSMUSG00000006200","Rhox6","XX"
"ENSMUSG00000006241","Ccdc159","unbiased"
"ENSMUSG00000006310","Zbtb32","XY"
"ENSMUSG00000007033","Hspa1l","XY"
"ENSMUSG00000007107","Atp1a4","XY"
"ENSMUSG00000007591","Tssk4","XY"
"ENSMUSG00000007888","Crlf1","XY"
"ENSMUSG00000008028","1700008O03Rik","XY"
"ENSMUSG00000008307","1700109H08Rik","XY"
"ENSMUSG00000008438","Adam21","XY"
"ENSMUSG00000008482","Rnf151","XY"
"ENSMUSG00000008813","Tppp2","XY"
"ENSMUSG00000009093","Gstt4","XY"
"ENSMUSG00000009596","Taf7l","unbiased"
"ENSMUSG00000009628","Tex15","unbiased"
"ENSMUSG00000009670","Tex11","unbiased"
"ENSMUSG00000009734","Pou6f2","XY"
"ENSMUSG00000009941","Nxf2","XY"
"ENSMUSG00000010044","Zmynd10","XY"
"ENSMUSG00000010342","Tex14","unbiased"
"ENSMUSG00000010592","Dazl","unbiased"
"ENSMUSG00000010760","Phlda2","XX"
"ENSMUSG00000010796","Asz1","unbiased"
"ENSMUSG00000011349","Dmrtc2","unbiased"
"ENSMUSG00000011486","Slc25a41","XY"
"ENSMUSG00000012042","4930579F01Rik","XY"
"ENSMUSG00000012126","Ubxn11","XY"
"ENSMUSG00000012211","Tex22","XY"
"ENSMUSG00000012396","Nanog","unbiased"
"ENSMUSG00000012609","Ttll5","XY"
"ENSMUSG00000013091","Tmem190","XY"
"ENSMUSG00000013158","4933405L10Rik","XY"
"ENSMUSG00000013353","4931406B18Rik","XY"
"ENSMUSG00000013668","4933402N03Rik","XY"
"ENSMUSG00000013822","Elof1","unbiased"
"ENSMUSG00000014609","Chrne","XY"
"ENSMUSG00000014747","Ankrd53","XY"
"ENSMUSG00000014837","4931428F04Rik","unbiased"
"ENSMUSG00000015242","Nipsnap3a","XY"
"ENSMUSG00000015443","Gzmn","XY"
"ENSMUSG00000015980","Lrrc27","XY"
"ENSMUSG00000016356","Col20a1","XY"
"ENSMUSG00000016526","Dyrk3","XY"
"ENSMUSG00000016626","Nlrp14","XY"
"ENSMUSG00000016982","Pom121l2","XY"
"ENSMUSG00000017049","Ccdc70","XY"
"ENSMUSG00000017119","Nbr1","unbiased"
"ENSMUSG00000017195","Zpbp2","XY"
"ENSMUSG00000017588","Krt27","XY"
"ENSMUSG00000017832","Hspb9","XY"
"ENSMUSG00000018428","Akap1","unbiased"
"ENSMUSG00000018479","1700125H20Rik","XY"
"ENSMUSG00000018543","1700001P01Rik","XY"
"ENSMUSG00000018554","Ybx2","XY"
"ENSMUSG00000018570","2810408A11Rik","XY"
"ENSMUSG00000018727","Cpsf4l","unbiased"
"ENSMUSG00000018844","Fndc8","XY"
"ENSMUSG00000019178","Styxl1","XY"
"ENSMUSG00000019578","Ubxn6","unbiased"
"ENSMUSG00000019732","Calr3","XY"
"ENSMUSG00000019834","Slc22a16","XY"
"ENSMUSG00000019876","Pkib","XY"
"ENSMUSG00000019892","Lrriq1","XY"
"ENSMUSG00000019952","Poc1b","unbiased"
"ENSMUSG00000019971","Cep290","unbiased"
"ENSMUSG00000020020","Usp44","XY"
"ENSMUSG00000020037","Rfx4","XY"
"ENSMUSG00000020059","Sycp3","unbiased"
"ENSMUSG00000020131","Pcsk4","XY"
"ENSMUSG00000020193","Zpbp","XY"
"ENSMUSG00000020213","Glipr1l1","XY"
"ENSMUSG00000020214","Glipr1l2","XY"
"ENSMUSG00000020286","1700093K21Rik","XY"
"ENSMUSG00000020299","4930524B15Rik","unbiased"
"ENSMUSG00000020317","Theg","XY"
"ENSMUSG00000020389","Cdkl3","XY"
"ENSMUSG00000020419","Hormad2","unbiased"
"ENSMUSG00000020434","4921536K21Rik","XY"
"ENSMUSG00000020435","Osbp2","XY"
"ENSMUSG00000020481","Ankrd36","XY"
"ENSMUSG00000020525","Ppm1d","XY"
"ENSMUSG00000020562","Efcab10","XY"
"ENSMUSG00000020617","1700012B07Rik","XY"
"ENSMUSG00000020622","Nt5c1b","XY"
"ENSMUSG00000020636","Allc","XY"
"ENSMUSG00000020639","Pfn4","XY"
"ENSMUSG00000020690","Efcab3","XY"
"ENSMUSG00000020696","Rffl","unbiased"
"ENSMUSG00000020698","Cct6b","XY"
"ENSMUSG00000020712","Tcam1","XY"
"ENSMUSG00000020799","Tekt1","XY"
"ENSMUSG00000020805","Slc13a5","XY"
"ENSMUSG00000020867","Spata20","XY"
"ENSMUSG00000020878","Lrrc46","XY"
"ENSMUSG00000020930","Ccdc103","XY"
"ENSMUSG00000020945","Lyzl6","XY"
"ENSMUSG00000021007","Spata7","XY"
"ENSMUSG00000021056","Tex21","XY"
"ENSMUSG00000021076","Actr10","unbiased"
"ENSMUSG00000021078","Tomm20l","XY"
"ENSMUSG00000021090","Lrrc9","XY"
"ENSMUSG00000021097","Clmn","unbiased"
"ENSMUSG00000021189","Atxn3","XY"
"ENSMUSG00000021203","Otub2","XY"
"ENSMUSG00000021257","Angel1","XY"
"ENSMUSG00000021258","Ccnk","XY"
"ENSMUSG00000021337","Scgn","XY"
"ENSMUSG00000021363","Mak","XY"
"ENSMUSG00000021415","4933417A18Rik","XY"
"ENSMUSG00000021499","Catsper3","XY"
"ENSMUSG00000021534","1700001L19Rik","XY"
"ENSMUSG00000021572","Cep72","XY"
"ENSMUSG00000021590","Spata9","XY"
"ENSMUSG00000021758","Ddx4","unbiased"
"ENSMUSG00000021790","Dydc1","XY"
"ENSMUSG00000021791","Dydc2","XY"
"ENSMUSG00000021838","Samd4","XY"
"ENSMUSG00000021902","Phf7","XY"
"ENSMUSG00000021918","Nek4","unbiased"
"ENSMUSG00000021940","Ptpn20","XY"
"ENSMUSG00000021953","Tdh","unbiased"
"ENSMUSG00000021961","4930578I06Rik","XY"
"ENSMUSG00000021966","Prss52","XY"
"ENSMUSG00000021977","1700129C05Rik","XY"
"ENSMUSG00000021997","Lrrc63","XY"
"ENSMUSG00000022039","Adam2","XY"
"ENSMUSG00000022085","Pebp4","XY"
"ENSMUSG00000022113","Trim52","XY"
"ENSMUSG00000022236","Ropn1l","XY"
"ENSMUSG00000022245","Skor1","XY"
"ENSMUSG00000022249","Ttc23l","XY"
"ENSMUSG00000022375","Lrrc6","XY"
"ENSMUSG00000022388","Ttll8","XY"
"ENSMUSG00000022429","Dmc1","unbiased"
"ENSMUSG00000022431","Ribc2","XY"
"ENSMUSG00000022432","Smc1b","unbiased"
"ENSMUSG00000022441","Efcab6","XY"
"ENSMUSG00000022455","Wbp2nl","XY"
"ENSMUSG00000022487","Gtsf1","XY"
"ENSMUSG00000022501","Prm1","XY"
"ENSMUSG00000022620","Arsa","XY"
"ENSMUSG00000022622","Acr","XY"
"ENSMUSG00000022652","Morc1","XY"
"ENSMUSG00000022738","Gsc2","unbiased"
"ENSMUSG00000022753","Tmem30c","XY"
"ENSMUSG00000022768","Ccdc116","XY"
"ENSMUSG00000022773","Ypel1","XY"
"ENSMUSG00000022832","Ropn1","XY"
"ENSMUSG00000022931","Krtap15","XY"
"ENSMUSG00000023151","Lrrc69","XY"
"ENSMUSG00000023165","Ssxb2","XY"
"ENSMUSG00000023257","Cypt1","XY"
"ENSMUSG00000023403","Stk31","unbiased"
"ENSMUSG00000023443","Esx1","unbiased"
"ENSMUSG00000023467","Tulp2","XY"
"ENSMUSG00000023802","Nox3","XY"
"ENSMUSG00000023806","Rsph3b","unbiased"
"ENSMUSG00000023873","1700010I14Rik","XY"
"ENSMUSG00000023930","Crisp2","XY"
"ENSMUSG00000023931","Efhb","XY"
"ENSMUSG00000023935","Spats1","XY"
