"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",4234.23247812261,0.0167568604565963,0.0654000239314824,0.763691701491874,0.888511132471138
"ENSMUSG00000000003",0,0,0.727736178926366,NA,NA
"ENSMUSG00000000028",1577.55494291023,0.210838896657616,0.0735622217513305,0.00129318068969829,0.00843121119752538
"ENSMUSG00000000031",1084.45273280732,0.0208291508936135,0.179272335258609,0.839813566845383,0.932294783646257
"ENSMUSG00000000037",98.5712409963274,0.00810797966455191,0.174209083049686,0.936568467774119,0.979079510456263
"ENSMUSG00000000049",0,0,0.727736178926366,NA,NA
"ENSMUSG00000000056",555.687476671109,-0.0470965880748422,0.0989347591263186,0.542923791664568,0.745444845901876
"ENSMUSG00000000058",14.0302143635683,0,0.451523879617762,1,1
"ENSMUSG00000000078",3223.39895054019,-0.0602414469158918,0.199952227400581,0.578391117132024,0.771795454703051
"ENSMUSG00000000085",244.231345806982,-0.535936605171252,0.133829393863801,2.53679424464566e-06,3.4803792098882e-05
"ENSMUSG00000000088",2233.1430076934,0.0307041689062431,0.107028869877717,0.706198094947897,0.854258156227665
"ENSMUSG00000000093",8.13538718070885,0.181211502280058,0.349821465521403,0.212059682465424,0.424008152594753
"ENSMUSG00000000094",40.869728592832,-1.98339146420606,0.48654174012021,8.08862515019365e-07,1.23552452915178e-05
"ENSMUSG00000000103",2.45339398878386,-0.35471057765966,0.709088708334808,0.0654980984447869,NA
"ENSMUSG00000000120",92.6103773702151,-0.0330499227217006,0.271106285994124,0.781358640991245,0.899133150622728
"ENSMUSG00000000125",368.414483075934,0.6249494921954,0.592773753461557,0.0152918659231363,0.0623548321054004
"ENSMUSG00000000126",61.2394031086775,0.122169055992697,0.328200040129802,0.362544224167842,0.58878689259768
"ENSMUSG00000000127",689.0961967958,0.0598640779480164,0.10623854089124,0.461033615206733,0.682192331497784
"ENSMUSG00000000131",2733.01468216093,-0.0158464885423234,0.114045850277274,0.851338781716429,0.938224290833803
"ENSMUSG00000000134",2556.9458494354,-0.150190794318751,0.124135645012329,0.0997891851361345,0.255163050109572
"ENSMUSG00000000142",590.546683883192,-0.0738893181274065,0.175146859939148,0.477788114397912,0.695910362528071
"ENSMUSG00000000148",359.116041660549,-0.199605812112676,0.180613380748282,0.0789000161977098,0.216818654861891
"ENSMUSG00000000149",1040.734770905,0.0623502841883485,0.112150887530739,0.458031771707738,0.679861376941884
"ENSMUSG00000000154",36.4102932975576,0.0339771939545886,0.243316222844938,0.767211439676218,0.89080088926029
"ENSMUSG00000000157",0,0,0.727736178926366,NA,NA
"ENSMUSG00000000159",0.833257203267997,0.0270779496011619,0.545944092990881,0.793386991836181,NA
"ENSMUSG00000000167",34.9482441353189,-0.0347668980940599,0.185045061436371,0.73938307708277,0.873883042868674
"ENSMUSG00000000168",1911.28440481102,-0.0320878462513575,0.0709134361478896,0.590895854630997,0.780829590796527
"ENSMUSG00000000171",3309.17674539692,-0.187846682867212,0.11596780212799,0.0346356275224018,0.118815722054984
"ENSMUSG00000000182",0.479957232118925,0.0195443718971501,0.528233258257145,0.854143167918021,NA
"ENSMUSG00000000183",0.421657633464457,0.0719371865176982,0.581926796685567,0.498051826415843,NA
"ENSMUSG00000000184",163.553049654068,0.0164498741312598,0.213953708650348,0.880410603095046,0.95294499925056
"ENSMUSG00000000194",1246.75599164384,0.0552278368643247,0.0689130978453376,0.341244519071637,0.568780647640345
"ENSMUSG00000000197",41.6423130767533,-1.74895607087989,0.419651535779719,1.06408613974543e-06,1.57378546729788e-05
"ENSMUSG00000000202",97.1841572009575,-0.37467408507828,0.752466326644837,0.0568700259115944,0.171225098521613
"ENSMUSG00000000204",0.492023646557892,-0.039388808927574,0.678264305584549,0.561262519817177,NA
"ENSMUSG00000000214",3.50100765858323,0.0499756554935915,0.335782117174376,0.694464115642782,0.847323410088555
"ENSMUSG00000000215",0,0,0.727736178926366,NA,NA
"ENSMUSG00000000216",0.498236964348404,0,0.518255391623619,1,NA
"ENSMUSG00000000223",33.1701988612191,-0.0840692963182649,0.226110614741446,0.46357275339151,0.684674006190622
"ENSMUSG00000000244",17.5145381019637,0.0634081630036087,0.240885287558428,0.58409233062857,0.776413925024227
"ENSMUSG00000000247",25.9336560863205,0.059055032478462,0.209267188722819,0.591543320693449,0.781275582439397
"ENSMUSG00000000248",0.163971241941674,-0.0128553904796847,0.664516499406926,0.846436129916766,NA
"ENSMUSG00000000253",104.943027159095,-0.0801942858807059,0.155679859085142,0.420855361517178,0.646142104473297
"ENSMUSG00000000263",2.68451773496176,0,0.470912614936338,1,1
"ENSMUSG00000000266",10.810173399133,0.150950731385676,0.44372409303258,0.298997157294118,0.526392945095842
"ENSMUSG00000000275",1633.7089906736,0.0312887739425971,0.133057132420502,0.733055250802523,0.870943095929351
"ENSMUSG00000000276",406.99291896263,0.511462429457338,0.35668516190791,0.00895414992459171,0.0409630333603292
"ENSMUSG00000000278",2878.39138994331,0.0838383177436522,0.129386590747095,0.359189793141201,0.586135509899907
"ENSMUSG00000000282",1022.82982559003,-0.183734710947285,0.213476196309356,0.128702719102058,0.303195740761559
"ENSMUSG00000000290",16.5174169117667,-0.24940495063006,0.470346068639453,0.139085822330802,0.318791996043295
"ENSMUSG00000000295",572.111105558366,-0.193910769753151,0.112494052539473,0.0266391927725331,0.0969682894448727
"ENSMUSG00000000296",435.914966080351,-0.0774908309025001,0.113300836316736,0.360371850968415,0.587320452244895
"ENSMUSG00000000301",67.7007217707382,0.170836944152899,0.212250986937379,0.152758453085278,0.340151196257991
"ENSMUSG00000000303",20829.1037746407,-0.0555653732619103,0.0989494774213145,0.473056664196486,0.692049987933838
