"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",4234.23247812261,-0.000589875332654309,0.0649769565589566,0.991634857513227,0.99799785573435
"ENSMUSG00000000003",0,0,0.64150594111987,NA,NA
"ENSMUSG00000000028",1577.55494291023,0.0297473712883999,0.0673395643445362,0.606570343761715,0.805504115695758
"ENSMUSG00000000031",1084.45273280732,0.208306407427259,0.223105903682085,0.0710358022594393,0.231596499873033
"ENSMUSG00000000037",98.5712409963274,0.167096388278575,0.219124897108952,0.127192867961875,0.339031572423183
"ENSMUSG00000000049",0,0,0.64150594111987,NA,NA
"ENSMUSG00000000056",555.687476671109,-0.195180629784885,0.113739745157808,0.0209038616798395,0.0993703997572453
"ENSMUSG00000000058",14.0302143635683,0.0361530412249071,0.224988001497197,0.702850492813673,0.862543387935956
"ENSMUSG00000000078",3223.39895054019,-0.0371060213814735,0.180414888031806,0.683171072285639,0.851193759982854
"ENSMUSG00000000085",244.231345806982,0.0458122766592121,0.09872931296868,0.538324136351329,0.758657669339274
"ENSMUSG00000000088",2233.1430076934,-0.204694982687381,0.130664867559528,0.0254270033374013,0.113931977132225
"ENSMUSG00000000093",8.13538718070885,-0.0273856775883066,0.241257056784393,0.773451844287179,0.899312171708285
"ENSMUSG00000000094",40.869728592832,-0.260643450508054,0.286038106161338,0.0506871303169098,0.184831506785525
"ENSMUSG00000000103",2.45339398878386,-0.0435512889737897,0.366117231253254,0.621192633979159,0.814059239948104
"ENSMUSG00000000120",92.6103773702151,-0.0853172778115491,0.274740580643068,0.40719293579469,0.659788767845298
"ENSMUSG00000000125",368.414483075934,0.0215645349280791,0.180840561411774,0.811172439748023,0.919559442015484
"ENSMUSG00000000126",61.2394031086775,-0.0335534715967764,0.183902630868359,0.71256399306006,0.868125603241181
"ENSMUSG00000000127",689.0961967958,-0.0168469112326513,0.101064658734022,0.822727846270747,0.924698996037955
"ENSMUSG00000000131",2733.01468216093,0.112975480760768,0.12226817063442,0.181583135208922,0.42401020387303
"ENSMUSG00000000134",2556.9458494354,0.108006038468944,0.114180734483251,0.185781140961263,0.429024415000492
"ENSMUSG00000000142",590.546683883192,-0.116090683852205,0.185874655979837,0.238554594339577,0.493016459571203
"ENSMUSG00000000148",359.116041660549,-0.229584204752665,0.190602536611059,0.038413593783417,0.152245412201668
"ENSMUSG00000000149",1040.734770905,0.132654935404969,0.11741153860525,0.112668996236897,0.312919315182255
"ENSMUSG00000000154",36.4102932975576,0.31241895669336,0.420480626687412,0.0471904040086013,0.175879096266907
"ENSMUSG00000000157",0,0,0.64150594111987,NA,NA
"ENSMUSG00000000159",0.833257203267997,-0.0256887014527339,0.43300196652756,0.727663407772512,NA
"ENSMUSG00000000167",34.9482441353189,-0.185985160673493,0.240268965152323,0.10679233354073,0.302924856687147
"ENSMUSG00000000168",1911.28440481102,0.0265131577077799,0.0697691991730807,0.654868694536381,0.835028706915157
"ENSMUSG00000000171",3309.17674539692,-0.110642239770074,0.10481938034192,0.156252065776918,0.385028917123407
"ENSMUSG00000000182",0.479957232118925,-0.053326420337729,0.476837402231891,0.472375705165932,NA
"ENSMUSG00000000183",0.421657633464457,-0.0189283445748588,0.45036743514576,0.786717786979401,NA
"ENSMUSG00000000184",163.553049654068,0.233289730751297,0.177058216971224,0.0304649502068604,0.129344497143376
"ENSMUSG00000000194",1246.75599164384,0.118212361872241,0.0729775590039738,0.0546825967113004,0.194469794773664
"ENSMUSG00000000197",41.6423130767533,-0.851513796042498,0.310401185310074,0.000138206773345725,0.00174391413280339
"ENSMUSG00000000202",97.1841572009575,-0.424317423355309,0.489617157722362,0.0225861623006662,0.105056638553667
"ENSMUSG00000000204",0.492023646557892,0,0.554932401832174,1,NA
"ENSMUSG00000000214",3.50100765858323,0.43425610158758,0.644677803871432,0.0219212531115632,0.10282189886745
"ENSMUSG00000000215",0,0,0.64150594111987,NA,NA
"ENSMUSG00000000216",0.498236964348404,0.0243649738778737,0.433320263661542,0.740267789779028,NA
"ENSMUSG00000000223",33.1701988612191,-0.000251417946834519,0.196982459556137,0.997804273132001,1
"ENSMUSG00000000244",17.5145381019637,0.424657527585554,0.482264523444072,0.0222465300353075,0.103943991369531
"ENSMUSG00000000247",25.9336560863205,0.131481585746214,0.241268290544592,0.221823733013608,0.473503259898579
"ENSMUSG00000000248",0.163971241941674,0,0.554932401832174,1,NA
"ENSMUSG00000000253",104.943027159095,-0.0922536860440661,0.146858247467623,0.304618242874691,0.565362823302705
"ENSMUSG00000000263",2.68451773496176,0.0474027831793249,0.379036115330471,0.585196401602709,0.791613181587486
"ENSMUSG00000000266",10.810173399133,0.0367770830877227,0.24448528770881,0.701399958348331,0.861408329537143
"ENSMUSG00000000275",1633.7089906736,0.0910060392661595,0.137228393553775,0.299508887123639,0.560218924688366
"ENSMUSG00000000276",406.99291896263,0.110463824913322,0.200664611054908,0.269090329036163,0.529218178337972
"ENSMUSG00000000278",2878.39138994331,0.404994418760267,0.188339224782516,0.00132413234953407,0.0115222950380252
"ENSMUSG00000000282",1022.82982559003,0.0948742384876268,0.172897584157157,0.315412864399499,0.575983279540276
"ENSMUSG00000000290",16.5174169117667,0.034327847485026,0.201156166030419,0.711285535436078,0.867535434128375
"ENSMUSG00000000295",572.111105558366,-0.0612349319941922,0.0948208017731203,0.400819063300704,0.653965144841536
"ENSMUSG00000000296",435.914966080351,0.427086102735673,0.16829727847172,0.000387087828026702,0.00412599958047323
"ENSMUSG00000000301",67.7007217707382,0.0417180120992348,0.1590487038473,0.638394307221022,0.825041890373176
"ENSMUSG00000000303",20829.1037746407,-0.0717660759368628,0.0978358880538837,0.334387221851904,0.593931873016541
"ENSMUSG00000000305",187.702096561435,-0.0032991398788296,0.178159761280904,0.970641892718022,0.990184558547785
"ENSMUSG00000000308",519.312566246387,-0.173190654189284,0.122804025970001,0.0470879290932184,0.175714977225583
"ENSMUSG00000000317",258.066786021648,-0.0180375149205983,0.191398901464682,0.843119664558625,0.935341079889994
"ENSMUSG00000000318",0.343000822940538,-0.0199811621936633,0.537609412616717,0.71031069391904,NA
"ENSMUSG00000000320",81.6064577476303,0.210532704036678,0.171187137398446,0.043669570569517,0.166790789438749
"ENSMUSG00000000325",986.096056574447,0.0249083685359381,0.113920236615357,0.754511246108652,0.889398730719353
"ENSMUSG00000000326",550.563170389718,0.105390100009135,0.109580478861363,0.186769956390964,0.430427888932262
"ENSMUSG00000000339",1463.45638528938,0.0717919130482507,0.086813341956422,0.298667645764438,0.559496849076342
"ENSMUSG00000000340",1267.55450571632,0.135612430484132,0.0986287728763027,0.0738261470805616,0.238088719003989
"ENSMUSG00000000346",1732.4340042765,0.177490685044624,0.117905566646966,0.0379532693477705,0.151170648962308
"ENSMUSG00000000355",388.926111414229,-0.217006286123664,0.114334560152005,0.0112609715676555,0.0624775998197936
"ENSMUSG00000000359",7.87302762969341,0.00044568192421152,0.22363054061573,0.996192893281143,0.999746884202034
"ENSMUSG00000000365",1850.66863711295,0.204177213326914,0.123640104135773,0.0216636490817288,0.101947193788294
"ENSMUSG00000000374",615.528619337427,0.193440100470175,0.114576754017022,0.0225269136240363,0.104891703185638
"ENSMUSG00000000378",485.024753663113,-0.0873720472140262,0.127770479469914,0.305019067601054,0.565737468633277
