"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",4234.23247812261,0.0500259903225301,0.0706931189479687,0.453181498182333,0.648427448761526
"ENSMUSG00000000003",0,0,0.799512990838037,NA,NA
"ENSMUSG00000000028",1577.55494291023,-0.0827675963586369,0.0727698881533054,0.226135985562586,0.413905933056128
"ENSMUSG00000000031",1084.45273280732,1.75762328089314,0.271281873203641,3.0733397955332e-12,1.22311224472337e-10
"ENSMUSG00000000037",98.5712409963274,1.13009328524282,0.29727864726747,7.16020824450753e-06,8.7496826772466e-05
"ENSMUSG00000000049",0,0,0.799512990838037,NA,NA
"ENSMUSG00000000056",555.687476671109,0.36803098054418,0.115742244497513,0.000162623767950255,0.00132880278115547
"ENSMUSG00000000058",14.0302143635683,2.463980245048,0.852633988150117,2.018195860485e-05,0.000216299225240734
"ENSMUSG00000000078",3223.39895054019,0.120008316622273,0.223418090555373,0.352206787063285,0.55296370135143
"ENSMUSG00000000085",244.231345806982,0.147293921593488,0.112169801891533,0.125904068504164,0.277615714727185
"ENSMUSG00000000088",2233.1430076934,-0.0713307134494947,0.118888879682135,0.475982415297427,0.669642271794455
"ENSMUSG00000000093",8.13538718070885,0.279028949364677,0.447771200059879,0.115063591720387,0.260722364075328
"ENSMUSG00000000094",40.869728592832,2.16165196118458,0.397653769416976,4.7705102598407e-10,1.37997324860915e-08
"ENSMUSG00000000103",2.45339398878386,-0.00817676670450932,0.498143368060075,0.946639547767144,NA
"ENSMUSG00000000120",92.6103773702151,-0.828113596113955,0.680592283713845,0.00687723646397429,0.0299385153488792
"ENSMUSG00000000125",368.414483075934,0.537221831956031,0.377273471566816,0.00897504638475312,0.0370247369038192
"ENSMUSG00000000126",61.2394031086775,0.213560749102115,0.25190920956875,0.13136696505059,0.286330717443333
"ENSMUSG00000000127",689.0961967958,-0.0278912103734394,0.115034946340046,0.775843151360357,0.880927869103728
"ENSMUSG00000000131",2733.01468216093,0.0393389757624425,0.127022786219534,0.705681142825711,0.836238505726585
"ENSMUSG00000000134",2556.9458494354,-0.0244505341837257,0.119887822883185,0.807949360919924,0.900723725616215
"ENSMUSG00000000142",590.546683883192,0.0820795972610999,0.188173965325559,0.501312392598019,0.690949182278652
"ENSMUSG00000000148",359.116041660549,-0.0248003823716252,0.15783700155545,0.829628774430365,0.912419256918772
"ENSMUSG00000000149",1040.734770905,0.0420573337447028,0.118740054526728,0.674021741266328,0.815521578246374
"ENSMUSG00000000154",36.4102932975576,0.924818463042057,0.705189563050036,0.00468559521754297,0.0218871604097088
"ENSMUSG00000000157",0,0,0.799512990838037,NA,NA
"ENSMUSG00000000159",0.833257203267997,0,0.566820905707436,1,NA
"ENSMUSG00000000167",34.9482441353189,-0.522032262633315,0.291198648605071,0.00359332259999468,0.0176091282066063
"ENSMUSG00000000168",1911.28440481102,-0.0148310830648238,0.0761933387431059,0.834986171294513,0.916211442087567
"ENSMUSG00000000171",3309.17674539692,-0.0372373108817024,0.10775763878414,0.691007142256424,0.825872674158885
"ENSMUSG00000000182",0.479957232118925,0.0302735168210157,0.566451024519984,0.791574961245162,NA
"ENSMUSG00000000183",0.421657633464457,0,0.57844712127207,1,NA
"ENSMUSG00000000184",163.553049654068,-0.94346683972654,0.215484649653102,5.75447961392854e-07,9.09808245575583e-06
"ENSMUSG00000000194",1246.75599164384,0.0347003138626476,0.074241902026748,0.618154557507803,0.780286076663438
"ENSMUSG00000000197",41.6423130767533,-0.17727364752571,0.211026866140839,0.176058906569223,0.349168844769986
"ENSMUSG00000000202",97.1841572009575,-0.00102734525250227,0.296326934589214,0.993660551444147,1
"ENSMUSG00000000204",0.492023646557892,0,0.705751732560501,1,NA
"ENSMUSG00000000214",3.50100765858323,-0.0798528257232077,0.505101390236967,0.540568989529318,0.722590747310664
"ENSMUSG00000000215",0,0,0.799512990838037,NA,NA
"ENSMUSG00000000216",0.498236964348404,0.0190935599720566,0.524706231973298,0.872953465081215,NA
"ENSMUSG00000000223",33.1701988612191,-0.603385888833066,0.455148255961599,0.00956797232266234,0.0388651728930135
"ENSMUSG00000000244",17.5145381019637,0.0252975613257919,0.376675790989073,0.84830746683195,0.924020641118648
"ENSMUSG00000000247",25.9336560863205,0.149587906630325,0.281584429397277,0.282822917170895,0.480907436448913
"ENSMUSG00000000248",0.163971241941674,0,0.705751732560501,1,NA
"ENSMUSG00000000253",104.943027159095,-0.115717682649135,0.166598648637126,0.32983117561975,0.529970642349906
"ENSMUSG00000000263",2.68451773496176,-0.57986134841931,0.840404017928813,0.0261402588460896,0.0858605385998679
"ENSMUSG00000000266",10.810173399133,0.089389824396054,0.266468079033793,0.49606832628587,0.686899869542206
"ENSMUSG00000000275",1633.7089906736,1.55269902136597,0.200722049404413,8.33060329187501e-16,4.93187237742277e-14
"ENSMUSG00000000276",406.99291896263,-0.0734849656764555,0.204068561643722,0.552677489176977,0.732443316409796
"ENSMUSG00000000278",2878.39138994331,0.324213571002343,0.162106775102167,0.00747858648071603,0.032000963879212
"ENSMUSG00000000282",1022.82982559003,-0.0611386521953927,0.182954144107911,0.612254709761975,0.776583999043717
"ENSMUSG00000000290",16.5174169117667,0.0112504076780952,0.240204626742795,0.928141891545712,0.964994212082678
"ENSMUSG00000000295",572.111105558366,-0.172328374339815,0.104347499634021,0.0592529884046551,0.159674825835163
"ENSMUSG00000000296",435.914966080351,0.163301712424121,0.126288456904403,0.116259216511506,0.262433326744682
"ENSMUSG00000000301",67.7007217707382,-0.137478453270665,0.204393570327394,0.280329369997266,0.478048557393651
"ENSMUSG00000000303",20829.1037746407,0.209537015290585,0.110460245843412,0.0274853212872684,0.0893314968237571
"ENSMUSG00000000305",187.702096561435,-1.7509072928496,0.39402836773856,2.46387787433594e-07,4.2544297027596e-06
"ENSMUSG00000000308",519.312566246387,0.251938963878659,0.118812615119462,0.0115876933758206,0.0453678781727805
"ENSMUSG00000000317",258.066786021648,0.195736420676337,0.277965166366782,0.174242359663925,0.34679286931232
"ENSMUSG00000000318",0.343000822940538,0.0134962915900408,0.678340288393689,0.876116969356022,NA
"ENSMUSG00000000320",81.6064577476303,0.0218559708187192,0.145178568510692,0.844609357821623,0.921956216181935
"ENSMUSG00000000325",986.096056574447,-0.193154013296343,0.1389031966699,0.0791768679601944,0.19842548249417
