"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",650.820504380742,1.71530408902432e-05,0.00442687937926759,0.917075052953945,1
"ENSMUSG00000000003",0,0,0.0977266037874677,NA,NA
"ENSMUSG00000000028",30.0359461941342,-0.000120233538641419,0.0135137906165394,0.823068018686328,1
"ENSMUSG00000000031",2.79717815098703,-0.000664219686279377,0.0471386770883738,0.760389681178513,1
"ENSMUSG00000000037",18.2760460506209,0.000109344346167178,0.0138838660374465,0.844639660100004,1
"ENSMUSG00000000049",8.18916369056764,-0.00172245794279946,0.0496591142386029,0.433558537996545,1
"ENSMUSG00000000056",1043.39568032093,-0.000157011067629609,0.00430328971044364,0.389050963011919,1
"ENSMUSG00000000058",466.105352845918,1.32247484572426e-05,0.00934838011819986,0.969807576057006,1
"ENSMUSG00000000078",648.581052197636,-0.000336331000127743,0.0101144771372773,0.293615858472396,1
"ENSMUSG00000000085",819.768385148833,-5.232064883427e-05,0.00513308089111653,0.773283128329066,1
"ENSMUSG00000000088",1362.3677086309,4.55350500236624e-06,0.00502913358773756,0.97975592098978,1
"ENSMUSG00000000093",71.6623912212527,-0.000371767540577802,0.0135405180856469,0.426800637097508,1
"ENSMUSG00000000094",6.46494748093118,0.00457136385893911,0.0703676763364094,0.133337550463429,1
"ENSMUSG00000000103",0,0,0.0977266037874677,NA,NA
"ENSMUSG00000000120",315.172161875976,0.00201767986907195,0.0458882271803444,0.297694148823049,1
"ENSMUSG00000000125",80.3872064957606,-9.36702773476567e-05,0.0208132330178264,0.918948601319879,1
"ENSMUSG00000000126",229.00838347826,-0.00265652901518542,0.0410170026024525,0.0950523140671735,1
"ENSMUSG00000000127",269.747113915726,-0.000201050848305036,0.0091691390245709,0.514892900744707,1
"ENSMUSG00000000131",2515.93666972208,-1.47180562514205e-05,0.00404576026482747,0.927001032606425,1
"ENSMUSG00000000134",888.838140017209,0.000319410502807657,0.00559679474898197,0.156394747525737,1
"ENSMUSG00000000142",654.305312989891,9.61455429502809e-05,0.0055799181450071,0.617854487034631,1
"ENSMUSG00000000148",542.950278747895,-8.90658852358425e-05,0.00409531233189039,0.597065233993857,1
"ENSMUSG00000000149",3179.69692730879,-9.67165371451605e-05,0.00498652984932844,0.587096911172111,1
"ENSMUSG00000000154",11.9869278961355,0.00170187018791424,0.0457358536638515,0.393508528859036,1
"ENSMUSG00000000157",1.06019243670181,0.000128965335787264,0.0659406780012027,0.960254469261479,NA
"ENSMUSG00000000159",4.53922119236984,0.000145924689412883,0.0379926486220111,0.93541693306236,1
"ENSMUSG00000000167",28.0011189811126,0.000625506931302656,0.0234255569627768,0.510111275758323,1
"ENSMUSG00000000168",2643.9583898426,-0.00010456392558938,0.00462392854685577,0.545330340945853,1
"ENSMUSG00000000171",1079.25713143355,0.000179180877319201,0.00584764884219363,0.371374955907234,1
"ENSMUSG00000000182",10.7804701612512,0.000722661256437941,0.0321507788196251,0.615376886103172,1
"ENSMUSG00000000183",0.0612440132261404,-0.000269123812625156,0.0880454487622951,0.880272483321372,NA
"ENSMUSG00000000184",1568.34643000307,-8.15841706922238e-05,0.00598113816509126,0.692353306632334,1
"ENSMUSG00000000194",1443.20669838788,9.08148351149068e-06,0.0037262517020984,0.956378459347185,1
"ENSMUSG00000000197",2518.34193459268,-0.000108590948446381,0.00680881968538598,0.639996841537502,1
"ENSMUSG00000000202",784.028853590481,-0.000196619843348221,0.00831435646022601,0.473372712833302,1
"ENSMUSG00000000204",0.623150349292032,-0.0013979991909822,0.0830677400927281,0.560558489597069,NA
"ENSMUSG00000000214",119.550419704908,0.0078902921114311,0.0962693191761191,0.0751678159275693,1
"ENSMUSG00000000215",4.12277494850576,0,0.0868982729833799,1,1
"ENSMUSG00000000216",4.25834862700646,-0.00116367859084592,0.0513497316352506,0.616061719840992,1
"ENSMUSG00000000223",1615.01663702119,2.28677144651845e-05,0.00456120711686693,0.891371010521969,1
"ENSMUSG00000000244",3.84887259755472,-0.00100829812577961,0.0472597680539509,0.641167752874501,1
"ENSMUSG00000000247",1626.88552044282,-0.00085820652629015,0.0206489419963004,0.224908047673461,1
"ENSMUSG00000000248",0,0,0.0977266037874677,NA,NA
"ENSMUSG00000000253",937.405604020222,0.000101391572926421,0.00719062960124834,0.682498575991552,1
"ENSMUSG00000000263",47.1835087558197,-0.000193306311671011,0.027696334376255,0.87992077246422,1
"ENSMUSG00000000266",584.971090249508,0.000100184138117109,0.00681749906394909,0.668188803608421,1
"ENSMUSG00000000275",158.365392305446,0.00148146220891108,0.0217710536998269,0.051270501445835,1
"ENSMUSG00000000276",2012.41068126656,-0.000127145952330515,0.00594552183395647,0.52856588084536,1
"ENSMUSG00000000278",258.809202420829,0.000127086244111828,0.00581280344146463,0.521191743994243,1
"ENSMUSG00000000282",1496.65458627015,5.31452120872203e-05,0.00450498139437471,0.750440440950762,1
"ENSMUSG00000000290",123.63579831459,-7.14798623091367e-05,0.00611943340103363,0.735856857363441,1
"ENSMUSG00000000295",191.760879166888,-2.73127317930581e-05,0.00695774060699251,0.912029998099252,1
"ENSMUSG00000000296",392.838284941207,-0.00040065637056287,0.0088535081966179,0.159654413086165,1
"ENSMUSG00000000301",37.0782599409862,0.000225752698542489,0.0125894561096086,0.628465647887767,1
"ENSMUSG00000000303",20.3053885456199,-0.00148535865941224,0.031497672352445,0.208341587106779,1
"ENSMUSG00000000305",924.106194627939,-6.1997940921079e-05,0.00782565057221985,0.824500163163461,1
"ENSMUSG00000000308",3899.29042960811,-0.000101645424716015,0.00472266649085665,0.558773876770406,1
"ENSMUSG00000000317",31.7888268209052,0.000119964570089923,0.015658304707041,0.852969185857932,1
"ENSMUSG00000000318",11.0850634558494,0.00067923570480458,0.0291993227944554,0.595296184838525,1
"ENSMUSG00000000320",20.1502628491959,-0.000278638638650886,0.0192886336150534,0.731623857350786,1
"ENSMUSG00000000325",1090.02214321475,-8.76506710537819e-05,0.00406562435213239,0.602845308780211,1
"ENSMUSG00000000326",1313.30180729866,1.08973199792003e-05,0.00434460176121876,0.946789190093961,1
"ENSMUSG00000000339",719.734480715679,-0.000101002739586987,0.00549491978857932,0.595414972158648,1
"ENSMUSG00000000340",341.004568785334,0.000311609948141551,0.00752821779175211,0.207191914019685,1
"ENSMUSG00000000346",2031.04370204217,7.85524828505831e-05,0.00434124515422305,0.638264569455228,1
"ENSMUSG00000000355",343.92165454548,0.000186345470770635,0.00632194059718573,0.377409980190584,1
"ENSMUSG00000000359",11.8487998325867,0.000194868325203849,0.0228012102469597,0.848109643541904,1
"ENSMUSG00000000365",24.6266272511735,0.329719765973052,0.570517513690472,0.00057194007691566,0.120226334386103
"ENSMUSG00000000374",2574.08530967187,-0.000114907509812787,0.00482786648104343,0.515517537803466,1
"ENSMUSG00000000378",1016.14594608695,-0.000128899422590171,0.00576137813747912,0.512301733580727,1
"ENSMUSG00000000381",0.728409943168328,-8.70834740654558e-05,0.0844901063018422,0.965906644277552,NA
"ENSMUSG00000000384",685.983135930931,2.32808145136483e-06,0.0036490923347384,0.989093164959993,1
"ENSMUSG00000000385",1.08800681067206,-0.000640906276599694,0.0726936846866426,0.802547499005723,NA
"ENSMUSG00000000386",2.37969554690829,0.000465364096372208,0.0487589057611264,0.835791472066151,NA
"ENSMUSG00000000392",22.2182130689335,0.000179376565634275,0.0346199994971508,0.91273025885458,1
"ENSMUSG00000000394",0.529367250421829,-0.00139121298459013,0.0830360806297233,0.562312656614919,NA
"ENSMUSG00000000399",1895.68955736131,-0.000109220007310076,0.00414383540551977,0.525746050425604,1
"ENSMUSG00000000402",66.5208716194292,-0.00137243554957704,0.0254532178556081,0.120061696493314,1
"ENSMUSG00000000409",37.4265564436156,0.000136732447269851,0.0112915173192011,0.747394297194475,1
"ENSMUSG00000000411",3.8163145345524,0.0114242458010347,0.13754534266826,0.0571200182815592,1
