"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",650.820504380742,0.000186359792956057,0.00858853840799102,0.74412855170561,1
"ENSMUSG00000000003",0,0,0.218835771121882,NA,NA
"ENSMUSG00000000028",30.0359461941342,0.000680750362831129,0.030688666721334,0.81228840290737,1
"ENSMUSG00000000031",2.79717815098703,0.00616138199977763,0.108779929965591,0.551050788372729,NA
"ENSMUSG00000000037",18.2760460506209,-0.00828160564307751,0.0758665286199388,0.229839347177489,0.941154727012069
"ENSMUSG00000000049",8.18916369056764,-0.0096384482896568,0.110882896481148,0.366344923292436,0.997789275119626
"ENSMUSG00000000056",1043.39568032093,-6.61739485654397e-05,0.00548274738364597,0.850111675878081,1
"ENSMUSG00000000058",466.105352845918,0.000148972033815903,0.0220268794654189,0.938489530878745,1
"ENSMUSG00000000078",648.581052197636,-0.000600962531154665,0.0158004927880257,0.603250486174159,1
"ENSMUSG00000000085",819.768385148833,-0.000575383548281399,0.0129692976176731,0.504693375890739,1
"ENSMUSG00000000088",1362.3677086309,0.00017224545735514,0.0104602357977995,0.815849106357856,1
"ENSMUSG00000000093",71.6623912212527,-0.00386966056933711,0.0435677486569951,0.27139036887941,0.967901584692351
"ENSMUSG00000000094",6.46494748093118,-0.000569170650761247,0.0698535700236895,0.938471143584722,1
"ENSMUSG00000000103",0,0,0.218835771121882,NA,NA
"ENSMUSG00000000120",315.172161875976,0.000583297500843221,0.0645031664294412,0.931830333304568,1
"ENSMUSG00000000125",80.3872064957606,0.00620631941389483,0.0732578093571461,0.376497276290704,0.999132386029119
"ENSMUSG00000000126",229.00838347826,-0.0245544530000185,0.125226031429395,0.0541136265896107,0.617420524509839
"ENSMUSG00000000127",269.747113915726,0.000241452620829879,0.0169031842264432,0.859820498637523,1
"ENSMUSG00000000131",2515.93666972208,-0.00039501939950941,0.00890695189533126,0.466545588833223,1
"ENSMUSG00000000134",888.838140017209,0.000207662709125758,0.00594470838208659,0.569226175255149,1
"ENSMUSG00000000142",654.305312989891,-0.000921793148028314,0.0158820989689651,0.373746279410026,0.998694871785998
"ENSMUSG00000000148",542.950278747895,-0.000316918220873227,0.00774445128147809,0.500315347962186,1
"ENSMUSG00000000149",3179.69692730879,-1.91029888610848e-05,0.00833087539011697,0.973238823163992,1
"ENSMUSG00000000154",11.9869278961355,0.0294063621213257,0.182589124112543,0.0980997616336851,0.75204803705135
"ENSMUSG00000000157",1.06019243670181,0.00642511246691092,0.144272679778348,0.50632563466787,NA
"ENSMUSG00000000159",4.53922119236984,-0.001565571808917,0.0736077843690282,0.839124745135087,NA
"ENSMUSG00000000167",28.0011189811126,0.00875122331565218,0.0821523129681166,0.253096321823676,0.95916803416415
"ENSMUSG00000000168",2643.9583898426,-9.74920635039858e-05,0.00730301154596737,0.839136767231981,1
"ENSMUSG00000000171",1079.25713143355,0.00055772852964887,0.0114367443114599,0.436356922867937,1
"ENSMUSG00000000182",10.7804701612512,0.0279208082846205,0.173646246552669,0.101849516045871,0.762150074979294
"ENSMUSG00000000183",0.0612440132261404,0,0.155041341107069,1,NA
"ENSMUSG00000000184",1568.34643000307,0.00352283008799212,0.0336145476215673,0.136303964155858,0.83476628229313
"ENSMUSG00000000194",1443.20669838788,0.000171855802729779,0.00601635370528761,0.64602593736384,1
"ENSMUSG00000000197",2518.34193459268,-0.000413114587643572,0.0146063100368306,0.704678822332579,1
"ENSMUSG00000000202",784.028853590481,-0.000823270185862489,0.0181265628307363,0.537084898605638,1
"ENSMUSG00000000204",0.623150349292032,0.00887807078271623,0.16059290224121,0.296006129095524,NA
"ENSMUSG00000000214",119.550419704908,0.00579505066739251,0.0864717822953014,0.50298906477373,1
