gene	HIP2572_WT	HIP2622_5cKO	HIP2816_5cKO	HIP2818_5cKO	HIP2879_WT	HIP2881_WT	HIP2886_WT	HIPNT3_5cKO	AMY1_WT	AMY2_WT	AMY3_WT	AMY4_WT	AMY1_5cKO	AMY2_5cKO	AMY3_5cKO	AMY4_5cKO
ENSMUSG00000000001	545	748	614	577	712	615	667	697	665	676	632	715	713	643	626	602
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	47	26	44	33	31	27	20	35	24	32	29	26	27	24	29	21
ENSMUSG00000000031	1	6	4	2	4	0	4	1	6	2	3	2	0	3	4	3
ENSMUSG00000000037	11	10	13	9	19	11	22	14	17	25	26	29	26	37	20	15
ENSMUSG00000000049	1	10	1	2	11	12	19	12	6	12	5	18	6	3	3	12
ENSMUSG00000000056	969	896	1255	1009	1060	957	1143	1011	1090	1142	1084	1140	1159	1001	965	925
ENSMUSG00000000058	385	486	292	420	487	457	483	659	718	359	490	367	577	520	463	333
ENSMUSG00000000078	456	537	485	427	544	437	800	647	913	780	934	769	960	779	647	526
ENSMUSG00000000085	672	602	830	731	712	720	1001	790	791	895	819	1283	744	1001	923	814
ENSMUSG00000000088	1203	1195	1388	1390	1035	1326	1546	1353	1556	1641	1420	1268	1239	1522	1363	1477
ENSMUSG00000000093	80	44	66	55	59	56	91	75	131	72	83	60	70	73	77	68
ENSMUSG00000000094	5	4	1	5	5	7	2	9	5	7	6	6	6	11	13	12
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	54	111	21	44	41	66	51	42	94	923	373	650	529	865	723	796
ENSMUSG00000000125	34	55	48	69	27	49	39	32	22	104	229	148	132	107	82	146
ENSMUSG00000000126	245	123	312	223	347	266	484	256	274	148	291	112	190	146	133	104
ENSMUSG00000000127	209	231	347	233	334	242	296	317	192	283	281	395	358	238	243	171
ENSMUSG00000000131	2057	1770	2851	2387	2674	2124	2818	2351	2570	3101	2474	3061	3206	2839	2581	2052
ENSMUSG00000000134	695	753	904	926	871	727	997	850	954	1002	899	915	1007	1035	930	913
ENSMUSG00000000142	583	430	640	569	523	530	911	725	714	762	701	676	841	774	696	571
ENSMUSG00000000148	463	394	550	519	500	450	582	481	657	618	642	613	609	654	559	521
ENSMUSG00000000149	2774	3412	3294	3264	3519	3091	3691	3194	2976	2973	3013	4026	3068	2849	2608	3184
ENSMUSG00000000154	3	37	5	11	4	9	10	3	20	11	5	9	11	15	17	20
ENSMUSG00000000157	0	1	0	2	0	1	0	0	3	0	0	4	1	2	4	0
ENSMUSG00000000159	5	9	2	4	6	8	5	7	5	1	3	3	1	4	5	2
