Sample,Genotype,Timepoint,TargetName,CT,Replicate
0-2a,WT,0,TBP,20.84075546,Rep1
24-2a,WT,24,TBP,19.94968796,Rep1
48-2a,WT,48,TBP,20.49557114,Rep1
0-13a,5cKO,0,TBP,19.64891434,Rep1
24-13a,5cKO,24,TBP,20.07607269,Rep1
48-13a,5cKO,48,TBP,20.18043709,Rep1
0-2a,WT,0,KDM5C,24.09255219,Rep1
24-2a,WT,24,KDM5C,23.72803879,Rep1
48-2a,WT,48,KDM5C,25.35619736,Rep1
0-13a,5cKO,0,KDM5C,31.12979698,Rep1
24-13a,5cKO,24,KDM5C,32.1488533,Rep1
48-13a,5cKO,48,KDM5C,30.54464912,Rep1
0-2b,WT,0,TBP,20.64074898,Rep1
24-2b,WT,24,TBP,21.0612812,Rep1
48-2b,WT,48,TBP,19.77303123,Rep1
0-13b,5cKO,0,TBP,19.94100952,Rep1
24-13b,5cKO,24,TBP,19.77175903,Rep1
48-13b,5cKO,48,TBP,19.97327042,Rep1
0-2b,WT,0,KDM5C,24.3391819,Rep1
24-2b,WT,24,KDM5C,24.64035034,Rep1
48-2b,WT,48,KDM5C,24.27440643,Rep1
0-13b,5cKO,0,KDM5C,30.70561409,Rep1
24-13b,5cKO,24,KDM5C,32.41780472,Rep1
48-13b,5cKO,48,KDM5C,31.00519371,Rep1
0-2c,WT,0,TBP,20.85130119,Rep1
24-2c,WT,24,TBP,19.8082962,Rep1
48-2c,WT,48,TBP,20.26105309,Rep1
0-14,5cKO,0,TBP,19.40675735,Rep1
24-14,5cKO,24,TBP,18.95069695,Rep1
48-14,5cKO,48,TBP,20.33166885,Rep1
0-2c,WT,0,KDM5C,23.57701302,Rep1
24-2c,WT,24,KDM5C,23.5901947,Rep1
48-2c,WT,48,KDM5C,25.58231163,Rep1
0-14,5cKO,0,KDM5C,31.42637444,Rep1
24-14,5cKO,24,KDM5C,31.26808929,Rep1
48-14,5cKO,48,KDM5C,32.0595665,Rep1
0-2a,WT,0,TBP,20.68313217,Rep2
24-2a,WT,24,TBP,20.14776421,Rep2
48-2a,WT,48,TBP,20.94283676,Rep2
0-13a,5cKO,0,TBP,20.12356758,Rep2
24-13a,5cKO,24,TBP,19.50282478,Rep2
48-13a,5cKO,48,TBP,20.42693329,Rep2
0-2a,WT,0,KDM5C,24.15935707,Rep2
24-2a,WT,24,KDM5C,23.93374443,Rep2
48-2a,WT,48,KDM5C,25.41300201,Rep2
0-13a,5cKO,0,KDM5C,31.34072495,Rep2
24-13a,5cKO,24,KDM5C,31.4259243,Rep2
48-13a,5cKO,48,KDM5C,30.81630707,Rep2
0-2b,WT,0,TBP,21.29299736,Rep2
24-2b,WT,24,TBP,20.95658302,Rep2
48-2b,WT,48,TBP,19.7332325,Rep2
0-13b,5cKO,0,TBP,20.60969734,Rep2
24-13b,5cKO,24,TBP,19.62789917,Rep2
48-13b,5cKO,48,TBP,19.4738636,Rep2
0-2b,WT,0,KDM5C,24.62265587,Rep2
24-2b,WT,24,KDM5C,24.49798393,Rep2
48-2b,WT,48,KDM5C,24.06245995,Rep2
0-13b,5cKO,0,KDM5C,31.66963768,Rep2
24-13b,5cKO,24,KDM5C,31.6892128,Rep2
48-13b,5cKO,48,KDM5C,31.53557014,Rep2
0-2c,WT,0,TBP,20.94558907,Rep2
24-2c,WT,24,TBP,19.71482277,Rep2
48-2c,WT,48,TBP,20.81087875,Rep2
0-14,5cKO,0,TBP,19.7907486,Rep2
24-14,5cKO,24,TBP,19.18175125,Rep2
48-14,5cKO,48,TBP,20.01374435,Rep2
0-2c,WT,0,KDM5C,23.91463852,Rep2
24-2c,WT,24,KDM5C,23.6000824,Rep2
48-2c,WT,48,KDM5C,25.40709877,Rep2
0-14,5cKO,0,KDM5C,32.98783493,Rep2
24-14,5cKO,24,KDM5C,32.85974884,Rep2
48-14,5cKO,48,KDM5C,32.36749268,Rep2
Testis,Testis,,TBP,17.27086067,Rep1
Testis RT-,Testis RT-,,TBP,38.85960007,Rep1
ESCEpi RT-,ESCEpi RT-,,TBP,40,Rep1
H2O,H2O,,TBP,40,Rep1
Testis,Testis,,KDM5C,28.51198769,Rep1
Testis RT-,Testis RT-,,KDM5C,30.7415123,Rep1
ESCEpi RT-,ESCEpi RT-,,KDM5C,31.73526764,Rep1
H2O,H2O,,KDM5C,31.56258774,Rep1
Testis,Testis,,TBP,16.87682152,Rep2
Testis RT-,Testis RT-,,TBP,39.19599533,Rep2
ESCEpi RT-,ESCEpi RT-,,TBP,40,Rep2
H2O,H2O,,TBP,40,Rep2
Testis,Testis,,KDM5C,29.24271584,Rep2
Testis RT-,Testis RT-,,KDM5C,32.68873978,Rep2
ESCEpi RT-,ESCEpi RT-,,KDM5C,31.60399055,Rep2
H2O,H2O,,KDM5C,30.66998672,Rep2
