gene_id	SampleAMY2572|TPM	SampleAMY2622|TPM	SampleAMY2644|TPM	SampleAMY2664|TPM	SampleAMY2816|TPM	SampleAMY2818|TPM	SampleAMY2821|TPM	SampleAMY2879|TPM	SampleAMY2880|TPM	SampleAMY2881|TPM	SampleAMY2882|TPM	SampleAMY2886|TPM	SampleAMY2889|TPM	SampleAMY3082|TPM	SampleAMYNT3|TPM	SampleAMYNT4|TPM
ENSMUSG00000000001.4	12.22	14.14	17.24	16.47	14.94	15.79	16.42	15.49	15.63	15.26	16.5	15.98	16.13	17.31	14.37	15.39
ENSMUSG00000000003.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000028.14	0.71	0.73	1.79	1.15	1.04	1.54	1.02	1.35	1.0	1.45	1.03	1.46	0.7	1.23	1.09	1.39
ENSMUSG00000000031.16	0.29	0.24	0.0	0.5	0.36	0.0	0.0	0.19	0.23	0.29	0.47	0.22	0.13	0.08	0.48	0.04
ENSMUSG00000000037.16	0.7	0.56	0.8	0.66	0.57	0.52	0.42	0.88	0.53	0.44	0.71	0.43	0.45	0.11	0.2	0.4
ENSMUSG00000000049.11	0.39	0.59	0.67	0.33	0.7	0.32	3.82	0.93	0.07	0.42	1.12	1.14	0.36	1.22	0.17	2.63
ENSMUSG00000000056.7	14.09	15.91	16.69	17.21	16.94	19.01	18.98	19.01	14.99	16.82	19.47	16.71	18.32	18.22	15.14	16.32
ENSMUSG00000000058.6	16.18	9.99	13.21	11.35	14.51	15.82	11.62	9.42	9.36	14.22	11.96	10.33	12.57	15.55	12.87	14.12
ENSMUSG00000000078.7	11.09	8.81	12.07	10.34	12.44	15.12	13.4	15.49	13.16	17.03	14.8	12.51	12.13	13.94	12.47	11.44
ENSMUSG00000000085.16	28.1	38.58	43.98	36.85	42.04	30.43	37.5	34.04	36.02	38.8	30.68	66.97	38.49	32.76	42.76	42.05
ENSMUSG00000000088.7	245.77	312.36	287.48	301.84	284.72	247.75	287.36	287.45	256.88	289.55	262.86	243.4	236.49	279.68	286.21	277.59
ENSMUSG00000000093.6	1.81	1.42	1.47	1.86	1.43	1.16	1.41	1.29	1.5	1.43	1.33	1.17	1.61	0.91	1.66	1.52
ENSMUSG00000000094.12	0.07	0.31	0.23	0.11	0.14	0.13	0.12	0.11	0.19	0.14	0.1	0.14	0.02	0.03	0.28	0.12
ENSMUSG00000000103.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000120.6	1.4	17.72	13.64	14.34	18.8	11.19	13.59	19.54	11.13	8.36	13.98	13.85	14.08	10.66	15.83	16.03
ENSMUSG00000000125.5	0.32	3.45	3.18	3.49	2.45	2.73	3.46	2.27	3.7	5.59	3.99	3.35	2.49	3.85	1.77	2.54
ENSMUSG00000000126.11	4.54	2.32	3.75	2.88	2.99	4.1	5.16	3.16	3.74	6.49	5.02	2.51	2.77	3.52	2.76	3.94
ENSMUSG00000000127.14	3.78	4.56	5.07	5.91	5.2	7.65	5.89	6.46	5.91	6.86	6.77	8.9	6.57	6.02	5.79	5.62
ENSMUSG00000000131.15	53.16	44.74	42.89	39.44	47.56	56.83	53.07	59.76	46.04	42.84	50.78	47.21	50.53	45.05	47.33	42.77
ENSMUSG00000000134.17	18.28	23.62	20.11	19.64	23.69	22.95	21.81	22.8	21.35	20.99	22.92	20.25	21.74	19.06	20.85	24.2
ENSMUSG00000000142.15	11.15	11.43	13.05	13.71	15.64	16.9	14.09	16.55	17.82	15.31	14.31	14.03	16.49	15.35	14.68	15.03
ENSMUSG00000000148.17	10.99	11.13	11.28	11.57	13.7	12.65	13.73	12.56	12.8	14.12	12.65	12.63	13.01	9.18	12.06	12.29
ENSMUSG00000000149.10	63.69	87.46	93.79	93.35	77.18	79.62	86.91	78.54	91.6	82.57	81.79	105.99	81.28	100.65	70.68	76.17
ENSMUSG00000000154.16	1.05	1.52	1.03	1.39	0.83	0.29	1.1	0.7	1.31	0.24	0.88	0.53	1.7	0.72	1.03	2.26
ENSMUSG00000000157.15	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000159.15	0.16	0.15	0.36	0.23	0.23	0.59	0.62	0.05	0.26	0.24	0.58	0.17	0.3	1.09	0.55	0.83
