gene_id	XX_KDM5C_HET_rep1|expected_count	XX_KDM5C_HET_rep2|expected_count	XX_KDM5C_HET_rep3|expected_count	XX_KDM5C_KO_rep1|expected_count	XX_KDM5C_KO_rep2|expected_count	XX_KDM5C_KO_rep3|expected_count	XX_KDM5C_WT_rep1|expected_count	XX_KDM5C_WT_rep2|expected_count	XX_KDM5C_WT_rep3|expected_count	XY_KDM5C_KO_rep1|expected_count	XY_KDM5C_KO_rep2|expected_count	XY_KDM5C_KO_rep3|expected_count	XY_KDM5C_WT_rep1|expected_count	XY_KDM5C_WT_rep2|expected_count	XY_KDM5C_WT_rep3|expected_count
ENSMUSG00000000001	2457	3096	2102	4211	4231	3189	2830	2851	3127	3239	3206	3496	2771	2493	1995
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	947	871	700	1086	1129	825	596	608	624	905	856	755	591	688	453
ENSMUSG00000000031	40668	35422	26261	3662	3476	2920	4617	4562	5063	42934	43616	14623	3302	2948	2178
ENSMUSG00000000037	406	1130	361	308	315	229	1227	1175	1352	154	165	94	1540	1644	1122
ENSMUSG00000000049	0	0	3	0	0	2	0	0	0	0	0	0	2	0	2
ENSMUSG00000000056	149	297	96	306	304	208	473	438	473	558	460	573	606	452	423
ENSMUSG00000000058	10	30	8	19	20	14	19	20	21	24	25	39	11	10	12
ENSMUSG00000000078	2101	1055	1386	1719	1721	1385	1429	1403	1649	1501	1347	2908	1356	1070	949
ENSMUSG00000000085	275	237	229	372	393	282	232	167	224	339	269	298	236	148	167
ENSMUSG00000000088	956	949	720	990	1162	879	585	603	581	907	828	777	482	589	415
ENSMUSG00000000093	6	7	5	8	3	7	7	2	5	12	20	21	15	7	9
ENSMUSG00000000094	23	29	17	23	20	16	21	19	25	45	43	63	71	33	53
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	33	31	14	27	2	15
ENSMUSG00000000120	226	107	132	165	137	101	31	31	37	71	74	177	52	27	38
ENSMUSG00000000125	27	23	17	21	26	24	194	194	187	33	34	135	63	39	49
ENSMUSG00000000126	103	102	90	51	45	25	133	163	160	167	179	237	116	81	103
ENSMUSG00000000127	377	578	313	576	611	406	480	467	520	586	547	639	480	481	326
ENSMUSG00000000131	4191	2636	2557	3465	3802	2523	2374	2238	2533	2849	2559	3268	2669	2435	1812
ENSMUSG00000000134	2041	1404	1446	2101	2192	1448	1789	1451	1863	1647	1309	2108	1163	1476	898
ENSMUSG00000000142	350	174	219	168	201	126	213	181	216	138	136	326	127	104	88
ENSMUSG00000000148	389	293	211	383	395	279	306	296	342	396	369	399	390	344	281
ENSMUSG00000000149	641	376	439	806	821	582	545	529	533	746	661	696	602	711	443
ENSMUSG00000000154	9	6	5	14	10	7	14	13	16	19	23	15	11	12	10
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
ENSMUSG00000000159	4	2	1	2	2	0	0	1	0	0	1	1	6	0	4
ENSMUSG00000000167	28	32	19	22	31	18	20	13	9	19	16	17	15	25	20
ENSMUSG00000000168	1703	1621	1256	2620	2750	2056	1527	1443	1564	1663	1622	1859	1375	1518	975
ENSMUSG00000000171	1295	1220	951	1436	1528	1251	908	1002	1052	1019	1016	944	804	789	618
ENSMUSG00000000182	1	0	2	3	4	2	0	0	0	1	1	3	4	1	2
ENSMUSG00000000183	2	2	2	0	5	4	4	1	1	1	3	7	14	2	9
ENSMUSG00000000184	668	719	477	1036	1021	819	521	495	616	681	711	1487	1485	758	1040
ENSMUSG00000000194	1543	1264	970	1340	1419	984	988	799	1022	1431	1344	1447	1171	957	847
ENSMUSG00000000197	10	27	10	15	18	14	23	31	36	12	16	46	45	21	31
ENSMUSG00000000202	28	26	16	25	33	26	8	7	7	8	2	57	24	31	17
ENSMUSG00000000204	2	8	5	0	0	1	3	1	1	1	0	0	4	2	5
ENSMUSG00000000214	6	0	0	0	0	1	1	0	0	0	0	3	1	0	2
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000000216	3	0	0	0	0	3	0	0	0	1	2	0	5	0	7
ENSMUSG00000000223	34	35	20	230	247	170	57	56	48	64	66	36	474	228	374
ENSMUSG00000000244	37	44	30	25	21	25	12	8	6	37	24	19	17	12	10
ENSMUSG00000000247	26	21	15	17	30	11	31	23	29	36	33	31	40	18	31
ENSMUSG00000000248	6	5	5	0	2	1	7	4	2	4	3	3	8	2	5
ENSMUSG00000000253	48	59	20	64	71	54	51	43	59	70	66	68	47	52	29
ENSMUSG00000000263	0	2	2	3	3	3	7	6	14	0	1	16	2	0	4
ENSMUSG00000000266	38	53	33	37	25	26	25	31	37	90	86	70	24	14	12
ENSMUSG00000000275	2673	1916	1693	2732	2751	2071	573	560	580	2789	2530	1894	1405	1690	1066
ENSMUSG00000000276	809	517	526	502	611	406	240	195	273	521	483	329	231	266	195
ENSMUSG00000000278	1553	1795	1065	1647	1736	1195	1048	973	1102	2591	2152	2107	1663	1733	1228
ENSMUSG00000000282	915	450	555	509	604	455	739	701	756	564	518	844	756	588	482
ENSMUSG00000000290	10	9	8	10	6	7	13	5	8	4	3	14	20	14	17
ENSMUSG00000000295	336	388	239	388	450	301	226	257	261	299	252	278	424	397	312
ENSMUSG00000000296	354	288	267	370	424	280	687	605	708	199	223	300	422	452	260
ENSMUSG00000000301	26	30	19	36	37	44	26	31	23	15	16	18	24	10	16
ENSMUSG00000000303	4679	3052	3348	4509	4090	2979	3771	2957	3783	4199	3442	5286	3782	3684	2616
ENSMUSG00000000305	188	88	111	105	112	78	43	54	37	56	52	57	21	42	17
ENSMUSG00000000308	196	184	135	244	233	199	131	125	141	207	187	164	193	225	150
ENSMUSG00000000317	238	212	165	293	333	219	165	171	189	106	79	232	192	150	160
ENSMUSG00000000318	4	1	1	0	0	0	0	0	0	0	0	0	3	0	1
ENSMUSG00000000320	28	31	26	13	17	14	19	30	34	24	13	34	43	29	33
ENSMUSG00000000325	682	568	442	594	558	386	614	605	673	1078	1020	635	549	561	367
ENSMUSG00000000326	711	781	516	786	1212	487	454	477	864	650	607	785	485	409	212
ENSMUSG00000000339	888	903	586	1014	1033	860	590	525	607	635	600	780	563	718	453
ENSMUSG00000000340	629	839	507	837	817	611	481	426	485	654	564	673	593	524	375
ENSMUSG00000000346	1081	1183	765	1958	1896	1469	1477	1098	1495	1601	1393	1648	1623	1770	1088
ENSMUSG00000000355	345	311	241	306	287	269	260	292	276	216	190	260	182	176	140
ENSMUSG00000000359	5	5	6	6	2	1	8	10	5	3	8	12	3	1	6
ENSMUSG00000000365	2853	4825	2490	3779	3989	3126	1072	1081	1261	2986	3046	3603	1904	2280	1352
ENSMUSG00000000374	685	535	435	678	751	544	475	427	461	761	595	627	719	587	498
ENSMUSG00000000378	499	479	341	595	638	477	414	419	505	597	488	503	427	486	361
ENSMUSG00000000381	1	5	4	0	2	0	1	0	1	1	0	1	3	1	2
ENSMUSG00000000384	2288	1435	1589	1970	2226	1433	1031	1023	1179	1043	889	1223	837	1006	649
