gene_id	SampleHIP2572|TPM	SampleHIP2622|TPM	SampleHIP2644|TPM	SampleHIP2664|TPM	SampleHIP2816|TPM	SampleHIP2818|TPM	SampleHIP2821|TPM	SampleHIP2879|TPM	SampleHIP2880|TPM	SampleHIP2881|TPM	SampleHIP2882|TPM	SampleHIP2886|TPM	SampleHIP2889|TPM	SampleHIP3082|TPM	SampleHIPNT3|TPM	SampleHIPNT4|TPM
ENSMUSG00000000001.4	14.44	18.6	16.28	15.13	14.57	14.62	15.41	18.26	15.3	15.76	15.04	14.42	14.25	15.93	16.34	16.91
ENSMUSG00000000003.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000028.14	2.36	1.31	1.65	2.5	1.83	1.51	1.64	1.28	1.3	1.69	0.91	0.76	1.28	1.64	1.32	1.37
ENSMUSG00000000031.16	0.04	0.62	0.0	0.29	0.39	0.11	0.79	0.5	0.17	0.0	0.45	0.13	0.0	0.3	0.11	0.4
ENSMUSG00000000037.16	0.25	0.17	0.33	0.69	1.33	0.15	1.04	0.36	0.31	0.18	0.24	0.55	0.11	0.52	0.29	0.44
ENSMUSG00000000049.11	0.17	0.81	0.18	1.64	0.08	0.17	6.17	0.94	0.77	1.01	0.52	1.35	4.2	0.5	0.93	0.35
ENSMUSG00000000056.7	19.5	16.43	19.25	21.5	22.12	20.53	21.56	22.19	17.68	17.76	20.15	18.16	22.26	20.02	17.16	22.78
ENSMUSG00000000058.6	12.39	14.79	12.15	13.15	8.91	13.04	15.01	15.44	11.88	14.23	10.19	13.34	11.21	14.37	18.9	13.48
ENSMUSG00000000078.7	9.67	10.21	8.18	9.05	13.11	9.39	15.6	10.53	9.32	8.46	7.57	13.48	9.68	11.85	14.11	9.42
ENSMUSG00000000085.16	35.6	29.7	35.02	34.43	36.76	31.07	51.35	40.24	45.48	36.9	40.88	49.81	35.62	38.74	40.16	36.15
ENSMUSG00000000088.7	254.6	239.13	272.53	260.75	262.91	281.8	273.65	220.68	244.97	276.51	218.29	270.45	178.43	255.66	263.14	199.55
ENSMUSG00000000093.6	1.89	0.97	1.11	0.78	1.4	1.24	1.94	1.35	1.64	1.28	1.71	1.75	2.02	1.37	1.57	1.31
ENSMUSG00000000094.12	0.15	0.11	0.2	0.09	0.03	0.14	0.2	0.14	0.47	0.2	0.07	0.05	0.08	0.26	0.23	0.3
ENSMUSG00000000103.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000120.6	1.35	2.6	1.03	0.56	0.47	1.05	1.52	0.99	1.21	1.59	0.65	1.04	1.29	1.0	0.93	0.91
ENSMUSG00000000125.5	0.96	1.46	2.19	1.31	1.21	1.86	1.16	0.74	1.37	1.34	0.98	0.9	1.06	1.77	0.8	0.97
ENSMUSG00000000126.11	6.37	3.0	4.0	6.82	7.27	5.55	7.77	8.73	3.56	6.69	10.31	10.27	6.32	7.37	5.89	5.81
ENSMUSG00000000127.14	6.19	6.63	7.45	7.34	9.06	6.62	7.39	9.44	8.43	6.96	9.55	7.08	9.61	8.14	8.34	8.54
ENSMUSG00000000131.15	42.49	37.85	36.14	47.38	52.29	49.43	51.77	49.59	47.49	48.58	47.84	47.61	52.21	46.24	40.38	51.94
ENSMUSG00000000134.17	17.77	19.11	19.16	18.37	20.76	23.88	23.79	21.15	18.52	19.72	21.05	21.92	18.91	21.18	20.36	20.11
ENSMUSG00000000142.15	16.08	9.0	12.5	13.17	14.22	13.42	17.12	14.17	13.97	11.86	14.22	20.04	12.86	13.73	14.75	10.4
ENSMUSG00000000148.17	12.05	9.75	10.94	10.72	13.18	12.98	13.9	12.58	12.22	11.28	12.3	12.61	11.03	9.64	11.25	11.72
ENSMUSG00000000149.10	69.89	80.67	80.49	83.45	74.33	78.66	84.39	85.95	84.97	75.3	71.95	75.9	75.69	71.86	71.21	86.41
ENSMUSG00000000154.16	0.19	2.46	0.68	0.47	0.28	0.67	0.69	0.34	0.18	0.57	1.64	0.52	0.33	0.65	0.17	0.96
ENSMUSG00000000157.15	0.0	0.03	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.03
ENSMUSG00000000159.15	0.3	0.44	0.06	0.14	0.09	0.24	0.42	0.36	0.11	0.63	0.37	0.22	0.22	0.27	0.38	0.6
ENSMUSG00000000167.14	1.49	7.18	0.67	1.12	4.15	2.42	0.83	1.38	2.1	2.78	0.64	3.2	1.47	3.48	1.62	1.56
ENSMUSG00000000168.9	55.06	47.54	53.01	56.13	63.3	60.61	64.32	62.04	65.19	55.5	61.99	57.98	55.65	48.57	48.35	60.13
ENSMUSG00000000171.5	76.19	86.6	92.55	80.93	73.76	81.43	77.62	72.71	76.66	80.73	66.57	83.33	60.66	75.69	91.07	70.14
ENSMUSG00000000182.9	0.05	0.72	0.0	0.12	0.14	0.74	0.17	0.3	0.73	0.25	0.37	0.38	0.27	0.08	0.46	0.1
ENSMUSG00000000183.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
