gene_id	WTtestis_1|FPKM	WTtestis_2|FPKM	WWvtestis_1|FPKM	WWvtestis_2|FPKM
ENSMUSG00000000001	12.87	9.27	49.27	49.14
ENSMUSG00000000003	0	0	0	0
ENSMUSG00000000028	11.53	12.98	7.72	5.67
ENSMUSG00000000031	0.57	1.22	2.99	2.78
ENSMUSG00000000037	7.65	5.33	6.44	3.64
ENSMUSG00000000049	50.43	51.18	0.25	0.47
ENSMUSG00000000056	1.82	1.04	7.88	6.92
ENSMUSG00000000058	0.37	0.38	8.33	8.49
ENSMUSG00000000078	1.72	1.3	28.39	29.72
ENSMUSG00000000085	67.19	74.09	34.88	27.82
ENSMUSG00000000088	201.92	231.69	122.6	113.82
ENSMUSG00000000093	0.42	0.64	9.16	10.29
ENSMUSG00000000094	0.22	0.25	0.03	0.07
ENSMUSG00000000103	3.16	1.91	0.09	0.04
ENSMUSG00000000120	6.4	7.88	0.59	0.43
ENSMUSG00000000125	12.45	17.6	0.11	0.04
ENSMUSG00000000126	0.14	0.15	0.42	0.27
ENSMUSG00000000127	11.62	10.14	8.32	7.67
ENSMUSG00000000131	163.44	201.36	52.69	63.03
ENSMUSG00000000134	7.1	7.24	54.76	52.4
ENSMUSG00000000142	0.94	0.72	6.77	5.08
ENSMUSG00000000148	5.97	7.87	22.11	22.5
ENSMUSG00000000149	14.9	15.1	83.01	81.24
ENSMUSG00000000154	9.55	14.27	5.17	5.17
ENSMUSG00000000157	0	0	0	0
ENSMUSG00000000159	0.67	0.96	1.67	1.75
ENSMUSG00000000167	27.53	25.4	0.74	0.68
ENSMUSG00000000168	54.5	40.65	19.78	16.71
ENSMUSG00000000171	28.12	29.49	78.79	90.57
ENSMUSG00000000182	0.02	0.05	0.23	0.23
ENSMUSG00000000183	0.04	0.02	0	0
ENSMUSG00000000184	1.27	1.16	13.81	11.09
ENSMUSG00000000194	27.33	23.57	29.99	35.03
ENSMUSG00000000197	0.31	0.33	0.5	0.68
ENSMUSG00000000202	0.26	0.3	0.24	0.12
ENSMUSG00000000204	0.17	0.05	0.05	0.05
ENSMUSG00000000214	0.1	0.18	0	0
ENSMUSG00000000215	0.23	0.09	1.2	1.9
ENSMUSG00000000216	0.01	0	0.03	0
ENSMUSG00000000223	1.21	1.15	18.79	18.17
ENSMUSG00000000244	0.15	0	0.27	0.43
ENSMUSG00000000247	3.92	5.36	0.63	0.49
ENSMUSG00000000248	0.04	0	0.07	0.04
ENSMUSG00000000253	3.33	4.32	12.91	14.52
ENSMUSG00000000263	0.02	0.05	0	0
