"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Shared","GO:0009394","2'-deoxyribonucleotide metabolic process","10/486","47/22893",4.34314006869551e-08,8.12601506852931e-05,7.69192964797916e-05,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000020638/ENSMUSG00000045211/ENSMUSG00000027203/ENSMUSG00000029780/ENSMUSG00000014554/ENSMUSG00000032565",10
"Shared","GO:0019692","deoxyribose phosphate metabolic process","10/486","47/22893",4.34314006869551e-08,8.12601506852931e-05,7.69192964797916e-05,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000020638/ENSMUSG00000045211/ENSMUSG00000027203/ENSMUSG00000029780/ENSMUSG00000014554/ENSMUSG00000032565",10
"Shared","GO:0009262","deoxyribonucleotide metabolic process","10/486","49/22893",6.63577271999821e-08,8.27702050607776e-05,7.83486849220841e-05,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000020638/ENSMUSG00000045211/ENSMUSG00000027203/ENSMUSG00000029780/ENSMUSG00000014554/ENSMUSG00000032565",10
"Shared","GO:0009219","pyrimidine deoxyribonucleotide metabolic process","7/486","22/22893",2.40843025433844e-07,0.000225308650293361,0.000213272836996023,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000029780",7
"Shared","GO:0009263","deoxyribonucleotide biosynthetic process","6/486","18/22893",1.32662287164961e-06,0.000709174683673263,0.000671291122270818,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000014554",6
"Shared","GO:0009265","2'-deoxyribonucleotide biosynthetic process","6/486","18/22893",1.32662287164961e-06,0.000709174683673263,0.000671291122270818,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000014554",6
"Shared","GO:0046385","deoxyribose phosphate biosynthetic process","6/486","18/22893",1.32662287164961e-06,0.000709174683673263,0.000671291122270818,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000014554",6
"Shared","GO:0006220","pyrimidine nucleotide metabolic process","8/486","40/22893",1.64887822980813e-06,0.000730152250303641,0.000691148083566838,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000020638/ENSMUSG00000027203/ENSMUSG00000028633/ENSMUSG00000029780",8
"Shared","GO:0009221","pyrimidine deoxyribonucleotide biosynthetic process","5/486","11/22893",1.75611177251009e-06,0.000730152250303641,0.000691148083566838,"ENSMUSG00000071359/ENSMUSG00000020534/ENSMUSG00000020857/ENSMUSG00000020638/ENSMUSG00000027203",5
"Shared","GO:0006753","nucleoside phosphate metabolic process","26/486","452/22893",4.95704722249067e-06,0.00184340454880421,0.00174493130797664,"ENSMUSG00000026192/ENSMUSG00000071359/ENSMUSG00000041798/ENSMUSG00000020534/ENSMUSG00000018500/ENSMUSG00000020857/ENSMUSG00000020736/ENSMUSG00000020638/ENSMUSG00000020572/ENSMUSG00000021226/ENSMUSG00000043487/ENSMUSG00000021786/ENSMUSG00000045211/ENSMUSG00000062683/ENSMUSG00000005580/ENSMUSG00000025781/ENSMUSG00000027203/ENSMUSG00000033068/ENSMUSG00000016252/ENSMUSG00000028633/ENSMUSG00000029310/ENSMUSG00000029430/ENSMUSG00000029780/ENSMUSG00000014554/ENSMUSG00000032047/ENSMUSG00000032565",26
