"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000093954",65.8731521182902,8.30497131723968,1.13643770246688,1.03317046763635e-14,8.63830202831218e-13,"Up","Gm16867"
"ENSMUSG00000028794",91.418030021215,8.17562842634261,0.999670747195749,1.33188902917454e-17,1.42639329006485e-15,"Up","A3galt2"
"ENSMUSG00000117730",102.103639506691,8.07476740922315,1.13665362492511,5.42427931684869e-14,4.13612146468346e-12,"Up",NA
"ENSMUSG00000113626",35.952254766977,7.74884750855909,1.13740514075801,5.31043571825879e-13,3.61545843204169e-11,"Up",NA
"ENSMUSG00000113251",34.8642824436047,7.68446420677367,1.15312779067058,1.51817872281246e-12,9.94537491167487e-11,"Up","Gm18363"
"ENSMUSG00000113081",19.0553219043706,7.26661670731805,1.15881360379953,2.58618549496868e-11,1.43315273519151e-09,"Up",NA
"ENSMUSG00000112003",177.796584155472,6.71818285690736,0.519902976932119,4.53521909833255e-39,1.27139531869873e-36,"Up",NA
"ENSMUSG00000107470",489.481187059574,6.5413189501423,0.273262230031547,1.88984800103825e-127,2.00145402465512e-124,"Up","Gm3375"
"ENSMUSG00000045587",14.8678878458151,6.36539479985425,1.17940516849034,5.95460140186511e-09,2.33564951694968e-07,"Up","Lypd10"
"ENSMUSG00000005681",26.72557043188,6.26738352044453,1.01266760633984,7.44397226258383e-11,3.92001224424408e-09,"Up","Apoa2"
"ENSMUSG00000100141",8.33994357599523,6.15980438163101,1.24324647274719,4.66271437340306e-08,1.56488246655251e-06,"Up",NA
"ENSMUSG00000095134",51.2509864289991,6.04414843734354,1.04307331640363,8.13430943831236e-10,3.6061474609895e-08,"Up","Mid1-ps1"
"ENSMUSG00000085666",350.913693510806,5.93794807735873,0.263883437047078,7.6729257128013e-113,7.31344914315656e-110,"Up",NA
"ENSMUSG00000091834",5.37359390711145,5.91486678554239,1.30932137696128,2.30823912576502e-07,6.65687782972143e-06,"Up",NA
"ENSMUSG00000048087",6232.1874286069,5.3961964406681,0.126915124620903,0,0,"Up","Ahcyl"
"ENSMUSG00000047347",34.8929609209058,5.37322022520542,0.754051148359812,1.93193896316131e-13,1.36909116932134e-11,"Up","Tdg-ps"
"ENSMUSG00000047347",34.8929609209058,5.37322022520542,0.754051148359812,1.93193896316131e-13,1.36909116932134e-11,"Up","Tdg-ps2"
"ENSMUSG00000044533",41301.2557497776,5.34405138683715,0.0807509472784507,0,0,"Up","Rps2"
"ENSMUSG00000083623",6.7003930028838,5.20518921380993,1.46056835135864,2.51727070436529e-06,5.67219047722405e-05,"Up","Gm7224"
"ENSMUSG00000091614",11.6460670826019,5.1838025362594,0.822671895688132,4.63245148858496e-11,2.50165503475623e-09,"Up","Tmem217b"
"ENSMUSG00000068314",7.2788314304523,5.1714930659884,1.43280788320486,2.30063003530699e-06,5.22106075750681e-05,"Up",NA
"ENSMUSG00000082491",107.037194988439,5.14363706637281,0.379393231274642,1.73252630809874e-42,5.5978218663197e-40,"Up",NA
"ENSMUSG00000050974",22.2345250528589,5.07865290357327,0.750412318245558,2.31717897775201e-12,1.48229472660693e-10,"Up",NA
"ENSMUSG00000109975",5.75898575949103,4.84999329329672,1.64250631157511,7.90614415773211e-06,0.000158313892939966,"Up","Gm19196"
"ENSMUSG00000046623",35.4854460281632,4.7179756400231,1.46819413135039,4.9653985735702e-06,0.000104707293150408,"Up","Gjb4"
"ENSMUSG00000048758",6720.1446612988,4.59035137514206,0.103239652832159,0,0,"Up","Rpl29"
"ENSMUSG00000079247",80.4712699191862,4.56279951561563,0.348271445231028,8.63885845897408e-40,2.49519028490035e-37,"Up","Cwc22rt6"
"ENSMUSG00000110123",4.63621438519422,4.55274751755885,1.84290811653694,1.83032840321124e-05,0.000328579204100885,"Up",NA
"ENSMUSG00000020870",15.4552301931119,4.43750762927103,0.928458760404167,5.6738526972797e-08,1.84574494826353e-06,"Up","Cdc34b"
"ENSMUSG00000095266",4.88119755637784,4.43290970243134,1.81165980945342,1.94307031200012e-05,0.000345529378336365,"Up",NA
"ENSMUSG00000094125",80.9225834568717,4.42976293698715,0.334193354510505,1.12080502790545e-40,3.33842285108774e-38,"Up","Cwc22rt1"
"ENSMUSG00000094336",80.9225834568717,4.42976293698715,0.334193354510505,1.12080502790545e-40,3.33842285108774e-38,"Up","Cwc22rt2"
"ENSMUSG00000095824",80.9225834568717,4.42976293698715,0.334193354510505,1.12080502790545e-40,3.33842285108774e-38,"Up","Cwc22rt7"
"ENSMUSG00000096337",80.9225834568717,4.42976293698715,0.334193354510505,1.12080502790545e-40,3.33842285108774e-38,"Up","Cwc22rt5"
"ENSMUSG00000096484",80.9225834568717,4.42976293698715,0.334193354510505,1.12080502790545e-40,3.33842285108774e-38,"Up","Cwc22rt4"
"ENSMUSG00000105987",853.723914017983,4.28553683345898,0.233468338473393,8.20286723419971e-76,5.79152807724256e-73,"Up",NA
"ENSMUSG00000078208",3.85426385883134,4.28279592788392,2.51855629535578,5.965822171916e-05,0.000917889169194792,"Up","Fthl17b"
"ENSMUSG00000069302",352.415706891958,4.27192254418244,0.378851213355969,4.08592230309757e-30,8.46629748521185e-28,"Up","H2ac12"
"ENSMUSG00000028262",2.77315762791121,4.25332282275575,2.05973952082995,3.70861388225712e-05,0.000612097891233485,"Up","Clca3a2"
"ENSMUSG00000037033",29.2631889190432,4.22267905135663,0.543856938651134,1.18441668191166e-15,1.09604539841175e-13,"Up","Clca3b"
"ENSMUSG00000059040",7575.15846337391,4.20772191648767,0.107458105526936,0,0,"Up","Eno1b"
"ENSMUSG00000052031",730.058779190592,4.20594841780335,0.143367905297055,1.00514652586511e-189,1.59675901854722e-186,"Up","Tagap1"
"ENSMUSG00000028696",1568.67346321508,4.17894679629887,0.157775471094148,3.88213811343428e-155,4.62532492852485e-152,"Up","Ipp"
"ENSMUSG00000104222",171.467725290328,4.16278477106862,0.232930540955869,5.2419127280437e-72,3.33088607782324e-69,"Up",NA
"ENSMUSG00000083714",3.39839738664201,4.11811589496424,2.27192200169161,5.62630072363152e-05,0.000870994012151886,"Up",NA
"ENSMUSG00000047298",4.10799721268748,3.88451075579979,1.3929598496019,1.02176358510486e-05,0.000197544414024888,"Up","Kcnv2"
"ENSMUSG00000065999",779.176000647659,3.85812916173744,0.145554972525255,1.8144210800908e-155,2.30588726998472e-152,"Up","Zfp985"
"ENSMUSG00000113123",9.91830433012098,3.83282747210644,1.11056680146058,2.1363976111186e-06,4.87154876324806e-05,"Up",NA
"ENSMUSG00000043889",105.131096034433,3.77135035585934,0.302004523034115,1.16904425621083e-36,3.05280693919823e-34,"Up",NA
"ENSMUSG00000047674",94.6541336499955,3.76879772646028,0.26202382526179,9.90428859199038e-48,3.56236704583231e-45,"Up","Pdha2"
"ENSMUSG00000061062",608.474049463478,3.7221842994349,0.131980638235031,9.62756433917394e-176,1.41177122305902e-172,"Up",NA
"ENSMUSG00000053211",58.7635081143433,3.71376652211165,0.314767200265813,4.31289270797079e-33,9.78769924905324e-31,"Up","Zfy1"
"ENSMUSG00000071516",105.852381291089,3.6200920111746,0.48027293247113,1.59481607236485e-15,1.44771327559482e-13,"Up","H2ac13"
"ENSMUSG00000079554",8.08748095611929,3.59914863948047,1.61368767121127,3.05106006240523e-05,0.000517458700797428,"Up","Aox2"
"ENSMUSG00000041445",79.8204778237096,3.58488574842386,0.342498817266387,7.31771709182138e-27,1.33200124374889e-24,"Up","Mmrn2"
"ENSMUSG00000024610",33.9324487290821,3.5621747298626,0.571710964281943,7.40379686158822e-12,4.38921068064072e-10,"Up","Cd74"
"ENSMUSG00000064193",7046.21259367872,3.56195938584239,0.116974931741519,1.35573302456896e-204,2.349485331578e-201,"Up",NA
"ENSMUSG00000082935",74.330678722251,3.5612825061763,0.301344115899757,2.05791575294367e-33,4.78415219492259e-31,"Up","Gm7658"
"ENSMUSG00000038354",444.270657905333,3.40998893158402,0.229972868836663,4.16191836272002e-51,1.61915611731697e-48,"Up","Ankrd35"
"ENSMUSG00000044312",5.9860874108074,3.35822551753509,1.70925271712031,5.20448143322274e-05,0.000817240770688015,"Up","Neurog3"
"ENSMUSG00000095366",72.5528910390635,3.35654225153192,0.442202956503924,3.72805496048634e-16,3.58928847029046e-14,"Up",NA
"ENSMUSG00000071470",165.715328765355,3.31994772157418,0.221365265365388,2.02756605473394e-52,8.78442993213478e-50,"Up","Ccnb1ip1"
"ENSMUSG00000034151",26.3687158257371,3.28243109178661,0.498007628629092,2.82411684815221e-13,1.96482260862502e-11,"Up","Zbbx"
"ENSMUSG00000097574",26.4481154768799,3.27316166998431,0.518902334107246,1.63702960410866e-12,1.06872244325765e-10,"Up",NA
"ENSMUSG00000097812",10.3456056976855,3.22029800284908,1.01961297032796,3.08470067080237e-06,6.85357213141092e-05,"Up",NA
"ENSMUSG00000026888",540.927562384993,3.16371659913036,0.206146039784599,3.71376203730217e-55,1.81526783889977e-52,"Up","Grb14"
"ENSMUSG00000081788",280.803672573075,3.15597570616399,0.200856787629083,1.19569689640152e-57,6.16042430705462e-55,"Up",NA
"ENSMUSG00000027855",297.206240052919,3.12610126262659,0.38597707820227,2.35222266383492e-18,2.63767180239325e-16,"Up","Sycp1"
"ENSMUSG00000034127",12.5814149052629,3.02448287336441,0.545622644078393,6.48402214751557e-11,3.4526512345835e-09,"Up","Tspan8"
"ENSMUSG00000071478",77.0788501548418,2.96174081609278,0.413143852282568,1.38931895737811e-15,1.27329746560091e-13,"Up","H2ac7"
"ENSMUSG00000097503",19.1716836536202,2.9592521866506,0.567364309921136,3.36867957074803e-10,1.60142490416882e-08,"Up","3110045C21Rik"
"ENSMUSG00000097709",179.540649760137,2.88497127341144,0.247776106196307,3.36265602495906e-34,8.01278897547432e-32,"Up","2810429I04Rik"
"ENSMUSG00000091478",41.8206114160157,2.88463102089573,0.360469054917794,1.63888448226597e-18,1.8596461241331e-16,"Up",NA
"ENSMUSG00000032420",605.094100894451,2.87068809183852,0.537506366275465,1.37453586104233e-10,6.95033875836868e-09,"Up","Nt5e"
"ENSMUSG00000030491",1604.46784080388,2.82718429515895,0.158351367138184,2.62127246598953e-74,1.72307989721236e-71,"Up","Tdrd12"
"ENSMUSG00000010592",678.773662315058,2.75805080233651,0.220394806245977,4.36985923334224e-39,1.24332278455527e-36,"Up","Dazl"
"ENSMUSG00000046000",167.408318744205,2.74592674510962,0.188817127514338,4.13266882113089e-51,1.61915611731697e-48,"Up","Naa11"
"ENSMUSG00000068299",50.8477983253255,2.740705526002,0.323164590639475,1.7416484388658e-20,2.24331379662829e-18,"Up","Nat8f4"
"ENSMUSG00000003062",520.880940118278,2.74037927944563,0.128812705625683,1.14525021840673e-103,9.49213257108152e-101,"Up","Stard3nl"
"ENSMUSG00000083576",18.3060694585137,2.73117625845811,0.536733300435409,4.4067778186305e-10,2.04395147339546e-08,"Up",NA
"ENSMUSG00000066487",13.9742347084476,2.71991212374684,0.781905187391943,8.01858333767435e-07,2.00759326174955e-05,"Up","Gm5786"
"ENSMUSG00000022432",375.720388555464,2.70950868086847,0.51224567987812,1.39401183166691e-10,7.0301713087477e-09,"Up","Smc1b"
"ENSMUSG00000028270",234.218063245314,2.68697096017162,0.608466533176913,1.38860691954389e-08,5.11023430642185e-07,"Up","Gbp2"
"ENSMUSG00000040584",230.544071557472,2.67751996681486,0.194568556251572,2.15291679146852e-46,7.60019496217859e-44,"Up","Abcb1a"
"ENSMUSG00000046192",11.1771079407557,2.65618067322821,0.617769999795825,2.39230035879624e-08,8.50828763800984e-07,"Up","Iqub"
"ENSMUSG00000007097",73.6710980048307,2.64493971827787,0.316600745850264,4.14479203330806e-20,5.13066042408777e-18,"Up","Atp1a2"
"ENSMUSG00000033794",4.96426362293216,2.64241864358275,2.11409012586802,0.000248187214005025,0.00312909580726044,"Up","Lpcat2b"
"ENSMUSG00000048764",35.6064714897323,2.58519671136755,0.349734250097061,9.6597082731688e-17,9.74301686832893e-15,"Up","Tmprss11f"
"ENSMUSG00000044285",4342.29423580608,2.5840196196269,0.145076179677965,2.05249120681547e-74,1.3973799955544e-71,"Up",NA
"ENSMUSG00000103034",100.281276520106,2.50763562873556,0.274335848009068,3.25742731838016e-23,4.81366953257992e-21,"Up","Gm8797"
"ENSMUSG00000097254",16.7627104290497,2.39824355281436,0.598896830712992,1.01415399024169e-07,3.13335778216813e-06,"Up","C430042M11Rik"
"ENSMUSG00000027401",57.4359071699567,2.39304953843381,0.595071483310988,9.45924412366536e-08,2.94162431858781e-06,"Up","Tgm3"
"ENSMUSG00000035560",15.0751578836295,2.37233253294347,0.650564566239741,4.65272071039318e-07,1.24048692170944e-05,"Up","Wdr20rt"
