"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000105361",1637.81061238081,24.452056847204,3.81543468314332,3.65970587284207e-12,4.2541208805297e-10,"Up",NA
"ENSMUSG00000069306",1233.68196192019,13.3199795875371,1.23573157658367,2.96598529627132e-30,1.78800629883594e-27,"Up","H4c17"
"ENSMUSG00000061167",945.884906647026,12.8947590346105,1.26314219482215,4.07452172496986e-28,2.11239504309337e-25,"Up","Rpl15-ps3"
"ENSMUSG00000115728",97.9582214451716,9.1085947475748,1.28412812102262,3.26580618061472e-16,6.99638246395825e-14,"Up",NA
"ENSMUSG00000083657",49.2589483822872,7.89165236680814,1.3473252832552,7.0974192706419e-12,8.06926764620962e-10,"Up",NA
"ENSMUSG00000073402",41.1213869874701,7.71190395945133,1.2811025213357,3.47904758149771e-12,4.06233654989116e-10,"Up","Gm8909"
"ENSMUSG00000094627",74.5453117196527,7.33488717469389,2.09054735821601,2.69102760084097e-07,1.23245260545936e-05,"Up",NA
"ENSMUSG00000064360",919.328289572587,7.25321619666351,0.389486667847614,1.80290943809076e-79,6.67643120774123e-76,"Up","ND3"
"ENSMUSG00000102476",24.3150160844842,6.82950332797399,1.33539005474184,1.04627431668549e-09,8.3194855328593e-08,"Up",NA
"ENSMUSG00000048502",156.132470568251,6.81084175383283,0.779232506092272,1.61931261319679e-20,5.24697769491089e-18,"Up","Duxbl1"
"ENSMUSG00000024619",44.848460857921,6.73353025613664,1.33745353113822,1.6451640815436e-09,1.26171429946075e-07,"Up","Cdx1"
"ENSMUSG00000078139",73.5829751084702,6.54932338875417,0.899832883680635,2.16153771106336e-15,4.08988179169228e-13,"Up","AK157302"
"ENSMUSG00000110126",40.1744162851993,5.96197712656659,1.12394928182802,6.37106550241193e-10,5.29329358825391e-08,"Up","Gm9347"
"ENSMUSG00000106431",14.1006591250997,5.82885251890741,1.45859735257628,1.95147803578569e-07,9.40264194119642e-06,"Up",NA
"ENSMUSG00000113626",164.623109632945,5.79695713550368,0.450987224907459,7.22005549013565e-40,8.91229897215697e-37,"Up",NA
"ENSMUSG00000048583",6046.60940610043,5.71030358436532,0.305638939928245,6.18997566995658e-80,2.67427582194357e-76,"Up","Igf2"
"ENSMUSG00000095503",15.5386473911511,5.50571484316788,1.77075157774047,2.44362493385127e-06,8.74912231150451e-05,"Up","Pramel43"
"ENSMUSG00000096323",13.2840640503106,5.48744184566956,1.63489831183886,1.4291736052158e-06,5.4561175544041e-05,"Up","Gm20767"
"ENSMUSG00000064193",397.30872135193,5.11967456448922,1.27128210702155,2.53693254631828e-07,1.17014885170218e-05,"Up",NA
"ENSMUSG00000073403",99.9198171495068,5.00177821875645,0.477827472650682,1.25590478108909e-27,6.38344386968458e-25,"Up",NA
"ENSMUSG00000037335",467.861952247837,4.99973356325402,0.377928530832893,6.0882156139165e-42,8.7677069524413e-39,"Up","Hand1"
"ENSMUSG00000100690",155.591289740874,4.79595473034065,0.474424904473551,6.05966348937591e-26,2.80497494592147e-23,"Up",NA
"ENSMUSG00000113555",33.1170378666655,4.71492615620505,0.847547207885527,2.84364657781304e-10,2.58642128386209e-08,"Up",NA
"ENSMUSG00000041984",76.3420793695648,4.66656640565696,0.803605633375428,7.33051960491948e-11,7.39384160306315e-09,"Up","Rptn"
"ENSMUSG00000023443",396.718068068847,4.59567509079326,0.457598830156913,1.42783386158953e-25,6.38143264829721e-23,"Up","Esx1"
"ENSMUSG00000082791",38.7521594093427,4.46598871006177,0.851800272734365,1.83669631356626e-09,1.40444961180721e-07,"Up",NA
"ENSMUSG00000006200",532.553741069961,4.3652108798905,0.417736381660522,2.74790718223559e-27,1.36983173034444e-24,"Up","Rhox6"
"ENSMUSG00000068048",672.28858951628,4.33734821417233,0.68212024339855,3.22678221593521e-12,3.8193903470992e-10,"Up","Rhox9"
"ENSMUSG00000103706",8.09096379476836,4.31675635721597,1.91070707390819,2.43074799695897e-05,0.000639045127557509,"Up",NA
"ENSMUSG00000072844",65.571073634672,4.26314651520862,0.527803048025155,1.3027754164212e-17,3.41116609540104e-15,"Up","G530011O06Rik"
"ENSMUSG00000066443",324.481639920018,4.23862453304469,0.30234440950826,2.65984360154407e-46,5.30372814147888e-43,"Up","Gm10163"
"ENSMUSG00000083773",404.958724043495,4.13794774797034,1.35474947981663,6.21707711844343e-06,0.000198471764857501,"Up","Gm13394"
"ENSMUSG00000087263",27.8476218362157,4.09816006326143,0.928876683737087,1.00382555937944e-07,5.14252295459168e-06,"Up",NA
"ENSMUSG00000031179",254.462850875223,4.02682722078244,0.362939121978433,3.72944085158636e-30,2.19714922170049e-27,"Up","Magea9"
