"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000112003",461.702834056838,11.6903506376202,1.05350590517394,2.370203658994e-33,3.73416134742123e-31,"Up",NA
"ENSMUSG00000093954",114.466489327814,9.47930390703237,1.06259951691657,2.44732698663824e-22,1.91025401267082e-20,"Up","Gm16867"
"ENSMUSG00000010796",119.85702754573,9.44458391361643,1.07462028568128,8.34728198088652e-22,6.2677836628411e-20,"Up","Asz1"
"ENSMUSG00000094526",74.9290244119918,8.94382999463481,1.08824507144429,2.23136826387257e-19,1.3941979809306e-17,"Up","Gm21451"
"ENSMUSG00000045587",42.7219420636599,8.11965266459999,1.04005144802159,1.92983866590217e-17,9.87216273712507e-16,"Up","Lypd10"
"ENSMUSG00000107470",1872.51962628675,7.80204044619363,0.199248390379344,0,0,"Up","Gm3375"
"ENSMUSG00000010592",912.647893963388,7.55007999833367,0.419793556201971,2.16780092224517e-74,7.95273252617944e-72,"Up","Dazl"
"ENSMUSG00000104222",833.7960426046,7.5425593596726,0.266989415070329,1.23503326698858e-177,1.66924496296141e-174,"Up",NA
"ENSMUSG00000025090",39.652483148647,7.35955911492852,1.04256285445817,1.3706518848284e-14,5.07180697440825e-13,"Up","Ccdc172"
"ENSMUSG00000142478",25.2917356051746,7.26490583008987,1.0513732239296,4.33757375349694e-14,1.51138255074357e-12,"Up",NA
"ENSMUSG00000051827",165.058303717767,7.01544482025615,0.509005006354515,5.45049991459229e-45,1.21712032875417e-42,"Up","Rhox2a"
"ENSMUSG00000053211",154.023706277993,7.00221861545774,0.506588258181306,3.19833885247776e-45,7.26843732138309e-43,"Up","Zfy1"
"ENSMUSG00000117730",128.302898457807,6.98259885735697,0.592419379466963,7.74143935695991e-34,1.27436001722263e-31,"Up",NA
"ENSMUSG00000110123",17.4154403000255,6.88715409962981,1.11329200419014,7.05081363126457e-12,1.87050510383134e-10,"Up",NA
"ENSMUSG00000022002",20.9591250482305,6.63759834480743,1.25469180047196,1.22910479269278e-09,2.37318880273313e-08,"Up","Erich6b"
"ENSMUSG00000141823",16.4641775174655,6.59735240291044,1.05721599764976,6.51256433285721e-12,1.74029814846798e-10,"Up",NA
"ENSMUSG00000069302",1112.80077151606,6.55272527271661,0.288973649175232,2.37820488585606e-115,1.85067580208435e-112,"Up","H2ac12"
"ENSMUSG00000079432",37.0141824752593,6.49792899504931,1.11759098641134,8.49551486147201e-11,1.92725107458128e-09,"Up","Pramel3d"
