"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000109173",5.7798398634511,33.7855131845085,5.21428884738515,1.12783993507224e-11,4.2328435425822e-10,"Up","Gm21036"
"ENSMUSG00000046000",167.408318744205,9.9026652774106,1.24166621613864,5.24653912461111e-20,4.44734648381906e-18,"Up","Naa11"
"ENSMUSG00000112003",177.796584155472,9.2938902975504,1.21649186262457,3.36239762249282e-18,2.47658845108404e-16,"Up",NA
"ENSMUSG00000093954",65.8731521182902,8.54204746936325,1.20583281932225,1.24861586908502e-15,7.39616857874276e-14,"Up",NA
"ENSMUSG00000113251",34.8642824436047,8.11397065057525,1.20998298191842,4.16633931661989e-14,2.16759865081076e-12,"Up","Gm18363"
"ENSMUSG00000117730",102.103639506691,7.43820014430597,0.853743507698181,2.64650263184716e-20,2.29278065012803e-18,"Up",NA
"ENSMUSG00000027855",297.206240052919,7.42615131869746,0.797316404783249,1.16493903585411e-22,1.23170382145736e-20,"Up","Sycp1"
"ENSMUSG00000071470",165.715328765355,7.12776040822163,1.16228836845047,8.63876180780582e-12,3.35088539866488e-10,"Up","Ccnb1ip1"
"ENSMUSG00000053211",58.7635081143433,7.09979826242536,1.16541213258044,1.14739584255238e-11,4.29803555040668e-10,"Up","Zfy1"
"ENSMUSG00000107470",489.481187059574,6.95423963629386,0.341950554768528,1.27540581489823e-93,9.28967805769947e-91,"Up","Gm3375"
"ENSMUSG00000046623",35.4854460281632,6.28147308751343,1.17093272074123,1.77448601961562e-09,4.81338511196701e-08,"Up","Gjb4"
"ENSMUSG00000095134",51.2509864289991,6.21003858956162,0.884682917850763,7.49017204620702e-14,3.76730750538893e-12,"Up",NA
"ENSMUSG00000104222",171.467725290328,6.18592709333861,0.431579768850092,5.8655253848959e-48,2.0972985858066e-45,"Up",NA
"ENSMUSG00000032346",462.466706801991,6.15621880274575,1.02091893560426,4.95570234058357e-11,1.73106291705002e-09,"Up","Ooep"
"ENSMUSG00000079247",80.4712699191862,6.09641010308398,0.651121602210575,3.34913845735742e-22,3.37024633131827e-20,"Up","Gm13691"
"ENSMUSG00000047674",94.6541336499955,6.03876251322921,1.16956948710318,5.98968510338802e-09,1.49105249674973e-07,"Up","Pdha2"
"ENSMUSG00000028794",91.418030021215,5.96735540153017,0.743125246286034,4.44326100654139e-17,2.9520665863055e-15,"Up","A3galt2"
"ENSMUSG00000078503",1764.29203896502,5.95754178836661,0.304412557474079,1.49167462713682e-86,9.77842440575754e-84,"Up","Zfp990"
"ENSMUSG00000027794",775.181727489417,5.91026860980477,0.4188987316735,1.83737214371349e-46,6.45245724611955e-44,"Up","Sohlh2"
"ENSMUSG00000031594",12.5217854455004,5.67651389982353,1.23012979270779,8.44286776956746e-08,1.65211380653048e-06,"Up","Fgl1"
"ENSMUSG00000039224",809.029008954101,5.6363728569541,0.288646388613647,4.58869923023097e-86,2.82004247067882e-83,"Up","D1Pas1"
"ENSMUSG00000117964",7.4957432381068,5.63571921643525,1.44827103858401,9.13778500543775e-07,1.42058244993628e-05,"Up",NA
"ENSMUSG00000117486",4.68472769454244,5.55630042691095,1.36692464534115,5.88430553977405e-07,9.5716089946399e-06,"Up",NA
"ENSMUSG00000117465",8.08557694544426,5.5282810540081,1.28897679296949,2.95920694405432e-07,5.1821695246458e-06,"Up",NA
"ENSMUSG00000028109",448.335840959251,5.51189121313424,0.506598970227131,1.0449366572159e-28,1.68440363121377e-26,"Up","Hormad1"
"ENSMUSG00000044533",41301.2557497776,5.48849341995475,0.0803173504336787,0,0,"Up","Rps2"
"ENSMUSG00000060499",708.984386590987,5.48636208852749,0.506772041532205,1.92272934084096e-28,2.93119342767273e-26,"Up","Rpl10l"
"ENSMUSG00000031965",23.9524121564846,5.48168196354616,0.778157512238909,1.1301709966694e-13,5.54262913229436e-12,"Up","Tbx20"
"ENSMUSG00000026888",540.927562384993,5.45244473148503,0.226491162848732,3.90377826442697e-129,4.04061596569583e-126,"Up","Grb14"
"ENSMUSG00000070495",20.5874040472147,5.42932030630244,1.24994338022282,2.57858549814939e-07,4.57675653489224e-06,"Up","Ctcfl"
"ENSMUSG00000030491",1604.46784080388,5.42271356802607,0.209352547869837,5.30516740261849e-149,6.52071388374345e-146,"Up","Tdrd12"
"ENSMUSG00000065999",779.176000647659,5.42068647285862,0.39372232165697,3.23473270160036e-44,1.09679747085642e-41,"Up","Zfp985"
"ENSMUSG00000085666",350.913693510806,5.38411619028444,0.237932822846784,1.95858137512703e-114,1.75079369651128e-111,"Up",NA
"ENSMUSG00000094125",80.9225834568717,5.38301668483339,0.495379665445823,1.33316568274514e-28,2.04828408725516e-26,"Up","Gm13698"
"ENSMUSG00000094336",80.9225834568717,5.38301668483339,0.495379665445823,1.33316568274514e-28,2.04828408725516e-26,"Up","Gm13693"
"ENSMUSG00000095824",80.9225834568717,5.38301668483339,0.495379665445823,1.33316568274514e-28,2.04828408725516e-26,"Up","Gm13697"
"ENSMUSG00000096337",80.9225834568717,5.38301668483339,0.495379665445823,1.33316568274514e-28,2.04828408725516e-26,"Up","Gm13694"
