"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000113626",35.952254766977,8.99130458624738,1.1646977527105,6.66788252192364e-17,4.08312117331935e-15,"Up",NA
"ENSMUSG00000093954",65.8731521182902,7.82702041422896,1.1564183810714,2.89154683042743e-13,1.21092484929615e-11,"Up","Gm16867"
"ENSMUSG00000028794",91.418030021215,7.78928522893505,1.15431749099145,3.45529004191172e-13,1.43514905449813e-11,"Up","A3galt2"
"ENSMUSG00000112428",19.6983705988573,7.77324830343995,1.27722731559078,2.35208541820635e-11,7.72681026606556e-10,"Up",NA
"ENSMUSG00000117730",102.103639506691,6.96795809997195,0.74390072628549,4.63290506618857e-22,4.38805386853159e-20,"Up",NA
"ENSMUSG00000113251",34.8642824436047,6.91992605207552,1.17441075107533,1.55022118841003e-10,4.60724827974822e-09,"Up","Gm18363"
"ENSMUSG00000100141",8.33994357599523,6.91676868645116,1.23010854987674,6.81971233281127e-10,1.85045179750671e-08,"Up",NA
"ENSMUSG00000004359",52.6755900206304,6.83445965311221,0.488251596963347,1.21279943961665e-45,3.61503409435146e-43,"Up","Spic"
"ENSMUSG00000112003",177.796584155472,6.70813147480195,0.415832194438586,1.28390455553581e-59,5.65727422525115e-57,"Up",NA
"ENSMUSG00000079247",80.4712699191862,6.55696661286607,0.720696414380749,7.61342439543732e-21,6.62302571120683e-19,"Up","Cwc22rt6"
"ENSMUSG00000095134",51.2509864289991,6.39387987884635,1.0481819655009,6.21699207852385e-11,1.92385057159695e-09,"Up","Mid1-ps1"
"ENSMUSG00000005681",26.72557043188,6.37636062005671,1.01959758450379,2.49313589585029e-11,8.17692095032192e-10,"Up","Apoa2"
"ENSMUSG00000085666",350.913693510806,6.13051632994055,0.374134551234589,2.97336248472949e-61,1.43493057626148e-58,"Up",NA
"ENSMUSG00000026888",540.927562384993,6.11198715114446,0.299411683672336,1.61368688871297e-93,1.3628258144718e-90,"Up","Grb14"
"ENSMUSG00000094125",80.9225834568717,6.08406336132825,0.59629182858248,2.19180642405942e-25,2.53861282338631e-23,"Up","Cwc22rt1"
"ENSMUSG00000094336",80.9225834568717,6.08406336132825,0.59629182858248,2.19180642405942e-25,2.53861282338631e-23,"Up","Cwc22rt2"
"ENSMUSG00000095824",80.9225834568717,6.08406336132825,0.59629182858248,2.19180642405942e-25,2.53861282338631e-23,"Up","Cwc22rt7"
"ENSMUSG00000096337",80.9225834568717,6.08406336132825,0.59629182858248,2.19180642405942e-25,2.53861282338631e-23,"Up","Cwc22rt5"
"ENSMUSG00000096484",80.9225834568717,6.08406336132825,0.59629182858248,2.19180642405942e-25,2.53861282338631e-23,"Up","Cwc22rt4"
"ENSMUSG00000046192",11.1771079407557,5.82802064777444,1.23728005686408,5.93107255988519e-08,1.20337246963276e-06,"Up","Iqub"
