"ENSEMBL","SYMBOL","sexBias","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000365","Rnf17","unbiased",1850.66863711295,0.544705580058972,0.140379544102894,4.17784935791145e-06,5.82399096530311e-05
"ENSMUSG00000001948","Spa17","Sperm-biased",34.0224635620817,0.562557606412918,0.420741046899967,0.00994036528705461,0.0470201316227094
"ENSMUSG00000006241","Ccdc159","unbiased",38.804961986699,0.829265238736124,0.379735180830535,0.000847440741321175,0.00625747773618903
"ENSMUSG00000007888","Crlf1","Sperm-biased",347.284645381431,0.587914950890313,0.528008140139947,0.0151965212732559,0.0656055995074809
"ENSMUSG00000009628","Tex15","unbiased",1280.23485644576,1.27383620924919,0.168820958417925,7.61048809572737e-15,3.75368991009024e-13
"ENSMUSG00000009670","Tex11","unbiased",108.774601079566,0.859836540646215,0.298460096967201,0.000126861577737843,0.00119598014845039
"ENSMUSG00000010592","Dazl","unbiased",678.773662315058,2.48870770091717,0.21603664230374,3.9545799081951e-33,7.031173698176e-31
"ENSMUSG00000011349","Dmrtc2","unbiased",20.7778004162517,0.637730435938734,0.415319308706587,0.00533516838283288,0.02862322073892
"ENSMUSG00000011486","Slc25a41","Sperm-biased",4.58853931173963,0.773794350310489,1.12801142785153,0.0108675986982481,0.0505450569102318
"ENSMUSG00000018509","Cenpv","Sperm-biased",801.777742627638,0.719426756374263,0.151380489384735,8.68701499898373e-08,1.71114778439651e-06
"ENSMUSG00000018554","Ybx2","Sperm-biased",736.692993865581,1.11033454795693,0.135495726024836,4.01920347396897e-17,2.52214350507359e-15
"ENSMUSG00000019892","Lrriq1","Sperm-biased",50.0333181159031,0.502040534095131,0.472778356947074,0.0213016761848234,0.0860601304744241
"ENSMUSG00000020639","Pfn4","Sperm-biased",14.609339516862,1.82616323204626,1.39020437579206,0.000809889835794089,0.00602409434191207
"ENSMUSG00000020712","Tcam1","Sperm-biased",13.4219961980046,1.0614829957754,0.867276709637049,0.00377297529629754,0.021505746985561
"ENSMUSG00000020805","Slc13a5","Sperm-biased",15.2413436685441,2.44521261823183,0.532617452541096,2.40868809372328e-08,5.18277059147316e-07
"ENSMUSG00000021090","Lrrc9","Sperm-biased",66.0142225571496,0.510366675971527,0.358602341496299,0.00921248131518445,0.0443639305719823
"ENSMUSG00000021203","Otub2","Sperm-biased",323.336826452688,0.703056376470839,0.219849176487098,4.62433000164784e-05,0.000498036901187035
"ENSMUSG00000021363","Mak","Sperm-biased",145.768065934929,1.77346067175811,0.248829377167904,5.50876440552423e-14,2.49234700302613e-12
"ENSMUSG00000021758","Ddx4","unbiased",626.600505159901,1.6081271828301,0.20576405476167,5.08418976181834e-16,2.8467249249253e-14
"ENSMUSG00000022113","Trim52","Sperm-biased",29.8521334442461,1.154104915753,0.664799166683952,0.00146901147935158,0.00991851887907298
"ENSMUSG00000022429","Dmc1","unbiased",507.386419529687,1.18964606928574,0.216376914154503,4.53679631664783e-09,1.09082235518547e-07
"ENSMUSG00000022432","Smc1b","unbiased",375.720388555464,2.2242577892273,0.475253890116197,2.85983100816306e-08,6.0824674401319e-07
"ENSMUSG00000022768","Ccdc116","Sperm-biased",111.073521217622,0.684651903003227,0.393513882535693,0.00300674505313319,0.0179140845038085
"ENSMUSG00000023403","Stk31","unbiased",77.6526523469021,2.19437245184669,0.265199636335377,1.46201895602428e-18,1.04343881055128e-16
"ENSMUSG00000023443","Esx1","unbiased",18.1200937166305,0.680689455877932,0.519856895578294,0.00820188648759482,0.040340703037384
"ENSMUSG00000023806","Rsph3b","unbiased",116.68225602355,0.671001165536835,0.275148285199068,0.000483604016038441,0.00386210406805804
"ENSMUSG00000024266","Adad2","unbiased",101.380719091876,0.553409289146765,0.422619453479333,0.0108223628124595,0.0503577759058174
"ENSMUSG00000025977","Boll","Sperm-biased",47.3896948633221,2.43918640388014,0.368979225684521,1.91294628998372e-13,8.1116126258745e-12
"ENSMUSG00000027071","P2rx3","Sperm-biased",44.4180598113537,0.531703916480421,0.445551437158044,0.014838498886353,0.0644166917814282
"ENSMUSG00000027719","Adad1","Sperm-biased",13.3927729605848,0.597259384322513,0.934832308903079,0.0204966813917688,0.0834398945832017
"ENSMUSG00000027794","Sohlh2","unbiased",775.181727489417,0.745730954459888,0.360781984529495,0.00122555314020388,0.00856281854491293
"ENSMUSG00000027855","Sycp1","unbiased",297.206240052919,5.55303420130993,0.470456213069276,5.40401722418729e-33,9.52469783626541e-31
"ENSMUSG00000027939","Nup210l","Sperm-biased",26.8581964999888,2.38548826165408,0.39326137664359,7.90639618455761e-12,2.75825721626159e-10
"ENSMUSG00000028109","Hormad1","unbiased",448.335840959251,0.874300972305511,0.171359696470652,1.96205129430686e-08,4.29468873480623e-07
"ENSMUSG00000028758","Kif17","Sperm-biased",14.5848003264798,0.69771697020608,0.556191765059795,0.0088401872069541,0.0428664484444384
"ENSMUSG00000028845","Tekt2","Sperm-biased",50.4464821672763,1.61545552306844,0.388461179039998,1.49064044826558e-06,2.2875731315556e-05
"ENSMUSG00000029279","Brdt","Sperm-biased",25.8166243558178,1.21894916352254,0.662831602733849,0.00108692065395806,0.0077382489410172
"ENSMUSG00000029736","Nobox","Egg-biased",4.71138481536902,0.930351982064644,1.24225045903617,0.00693380121020321,0.0354275817316887
"ENSMUSG00000030491","Tdrd12","Sperm-biased",1604.46784080388,1.1931278967766,0.152053110143939,7.34628038554884e-16,4.04624340039917e-14
"ENSMUSG00000030792","Dkkl1","Sperm-biased",19.0372418911185,0.905986239058792,0.469304773403393,0.00145076415683903,0.00982805437666117
"ENSMUSG00000030889","Vwa3a","Sperm-biased",10.0176754207089,0.601073110147674,0.54693533241959,0.0150916059188433,0.0652777977740153
"ENSMUSG00000031027","Stk33","Sperm-biased",5.50492672489473,1.16882669753715,0.823288560626536,0.00231698749333622,0.0144546074184155
