"ENSEMBL","SYMBOL","sexBias","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000002076","Hsf2bp","unbiased",1344.64857346223,0.804149178126899,0.128817471275237,3.72997989088759e-11,2.03196079042093e-09
"ENSMUSG00000005131","4930550C14Rik","Sperm-biased",17.9205243436696,0.866541294528959,0.515877162153745,0.00146027160976568,0.0125295381665147
"ENSMUSG00000005493","Msh4","unbiased",12.935572730774,1.07246067785482,0.637110686659556,0.000871569353477001,0.00817067721469132
"ENSMUSG00000006056","Calcoco2","Egg-biased",365.480236538355,1.00349192224017,0.324343323963927,4.95028136544828e-05,0.000721662218924432
"ENSMUSG00000009596","Taf7l","unbiased",192.967201782017,1.19838314161918,0.177049976851693,1.113663141543e-12,7.34942930925659e-11
"ENSMUSG00000009628","Tex15","unbiased",1280.23485644576,1.68382936982384,0.1718291283566,1.58447645246261e-24,2.64070456899404e-22
"ENSMUSG00000009670","Tex11","unbiased",108.774601079566,1.1077618850254,0.232071952667499,1.23634066048329e-07,3.71771795551442e-06
"ENSMUSG00000010342","Tex14","unbiased",748.111228754191,1.85661365374821,0.174040661745663,1.06208507253855e-28,2.22201755707907e-26
"ENSMUSG00000010592","Dazl","unbiased",678.773662315058,2.16814620349486,0.219420230622053,1.47363726562771e-25,2.73401419489005e-23
"ENSMUSG00000010760","Phlda2","Egg-biased",342.060457740409,0.864223254688127,0.358971844265928,0.000314538000485882,0.00348294162024514
"ENSMUSG00000011349","Dmrtc2","unbiased",20.7778004162517,1.15489251720378,0.490913558236429,0.000216363171874773,0.00254181489730543
"ENSMUSG00000018509","Cenpv","Sperm-biased",801.777742627638,0.667057016651141,0.157225677304264,6.86809806400703e-07,1.72942402723127e-05
"ENSMUSG00000018727","Cpsf4l","unbiased",103.785050454244,0.882793649408778,0.433368044040101,0.000699553144510211,0.0067737135105553
"ENSMUSG00000020059","Sycp3","unbiased",217.150303913767,0.572198943094065,0.318184699474866,0.00207691544793934,0.0167122009816592
"ENSMUSG00000020435","Osbp2","Sperm-biased",14.9354691553506,0.63993041382795,0.516585450480728,0.00582717949986,0.0379586989215789
"ENSMUSG00000021953","Tdh","unbiased",3500.81001837408,1.32258359714165,0.228014232860279,3.4544664805805e-10,1.64492827620088e-08
"ENSMUSG00000022113","Trim52","Sperm-biased",29.8521334442461,1.22472034031539,0.695570833191568,0.000536444096746221,0.00545980192510957
"ENSMUSG00000022429","Dmc1","unbiased",507.386419529687,0.61539759968562,0.243145337724595,0.000270063731671251,0.00305585347931347
"ENSMUSG00000022432","Smc1b","unbiased",375.720388555464,2.87130302598542,0.497511770533525,2.47713934320935e-11,1.38790376990185e-09
"ENSMUSG00000022652","Morc1","Sperm-biased",1147.73492311792,1.63668519080503,0.148648179603332,5.74582556588764e-30,1.26963377054771e-27
"ENSMUSG00000022768","Ccdc116","Sperm-biased",111.073521217622,0.692366538276167,0.314558763244105,0.00062538151424665,0.00618027781868071
"ENSMUSG00000023403","Stk31","unbiased",77.6526523469021,1.08053842982253,0.276237737042434,3.9200583413803e-06,8.03040284808176e-05
"ENSMUSG00000023931","Efhb","Sperm-biased",30.354144693901,0.971508276974346,0.552980350452013,0.000989793949545377,0.00906627285130852
