"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000047674",94.6541336499955,3.76879772646028,0.26202382526179,9.90428859199038e-48,3.44949553055756e-45,"Up","Pdha2"
"ENSMUSG00000053211",58.7635081143433,3.71376652211165,0.314767200265813,4.31289270797079e-33,9.47758172576582e-31,"Up","Zfy1"
"ENSMUSG00000071470",165.715328765355,3.31994772157418,0.221365265365388,2.02756605473394e-52,8.50610041007585e-50,"Up","Ccnb1ip1"
"ENSMUSG00000034151",26.3687158257371,3.28243109178661,0.498007628629092,2.82411684815221e-13,1.90256835401612e-11,"Up","Zbbx"
"ENSMUSG00000027855",297.206240052919,3.12610126262659,0.38597707820227,2.35222266383492e-18,2.55409871480758e-16,"Up","Sycp1"
"ENSMUSG00000030491",1604.46784080388,2.82718429515895,0.158351367138184,2.62127246598953e-74,1.6684851189552e-71,"Up","Tdrd12"
"ENSMUSG00000010592",678.773662315058,2.75805080233651,0.220394806245977,4.36985923334224e-39,1.20392882967559e-36,"Up","Dazl"
"ENSMUSG00000046000",167.408318744205,2.74592674510962,0.188817127514338,4.13266882113089e-51,1.56785410321324e-48,"Up","Naa11"
"ENSMUSG00000022432",375.720388555464,2.70950868086847,0.51224567987812,1.39401183166691e-10,6.80742444464008e-09,"Up","Smc1b"
"ENSMUSG00000046192",11.1771079407557,2.65618067322821,0.617769999795825,2.39230035879624e-08,8.23870752295146e-07,"Up","Iqub"
"ENSMUSG00000033794",4.96426362293216,2.64241864358275,2.11409012586802,0.000248187214005025,0.00303195750054186,"Up","Lpcat2b"
"ENSMUSG00000045257",53.0418994196989,2.11026482901989,0.347001564280076,2.91040246471378e-12,1.77891122834939e-10,"Up","Morn2"
"ENSMUSG00000060499",708.984386590987,2.08477884633682,0.232109152261744,6.43542052343422e-22,8.60807445232407e-20,"Up","Rpl10l"
"ENSMUSG00000050197",36.9846532107436,1.92599492358957,0.273795072286372,1.23860324305035e-14,9.89756591492049e-13,"Up","Rhox13"
"ENSMUSG00000027794",775.181727489417,1.87244286269431,0.315372916532573,2.36696942076489e-11,1.28128705389733e-09,"Up","Sohlh2"
"ENSMUSG00000072479",150.112933367112,1.8339102530378,0.560968267283664,5.08123820132805e-06,0.00010341188088017,"Up","Xlr5b"
"ENSMUSG00000045631",13.530890508456,1.7745665592265,0.54403037160451,6.09457549883503e-06,0.000122282357753256,"Up","Tmprss12"
"ENSMUSG00000010342",748.111228754191,1.77122586489613,0.17121012269939,6.919316239062e-27,1.2400355189985e-24,"Up","Tex14"
"ENSMUSG00000022652",1147.73492311792,1.76297664195148,0.143610880290352,2.04600049745349e-36,5.10366529493162e-34,"Up","Morc1"
"ENSMUSG00000009628",1280.23485644576,1.7382890375042,0.170857115466176,4.88491531198942e-26,8.34913442074192e-24,"Up","Tex15"
"ENSMUSG00000039224",809.029008954101,1.7332963721463,0.181573021214526,2.58631057272767e-23,3.75911077653386e-21,"Up","D1Pas1"
"ENSMUSG00000028109",448.335840959251,1.66193628029736,0.166179022882677,4.23711473012599e-25,6.80112180899092e-23,"Up","Hormad1"
"ENSMUSG00000037108",1109.73249512646,1.64776656026324,0.0983491183305701,1.66164313413039e-64,9.02125606262145e-62,"Up","Zcwpw1"
"ENSMUSG00000058328",193.182743869848,1.58545764895561,0.503781332818468,1.37186585450834e-05,0.000248511008914323,"Up","Xlr5a"
"ENSMUSG00000051257",2017.94872927791,1.48771522951554,0.191587219536157,4.83332831067839e-16,4.48333704958856e-14,"Up","Trap1a"
"ENSMUSG00000060461",6467.81537890203,1.47533913851385,0.168280449330106,1.17771604311813e-19,1.35027704595761e-17,"Up","Dppa5a"
"ENSMUSG00000078653",227.755337690717,1.41474857835842,0.479693612218838,3.29966450198685e-05,0.000535293262127023,"Up","Cntd1"
"ENSMUSG00000055403",90.4240251463457,1.40111300222385,0.258451824399663,3.69410915918774e-09,1.45393520190718e-07,"Up","4933427D06Rik"
"ENSMUSG00000062859",19.7133461242036,1.38158392238415,0.443473323432805,2.41577462521796e-05,0.000407985213237861,"Up","Tcp11"
"ENSMUSG00000092074",315.442922941329,1.29677036714902,0.12951832830059,1.67684296203698e-24,2.62312239290175e-22,"Up","Dynlt1a"
"ENSMUSG00000070291",114.895733739797,1.28792638047999,0.202027827794398,1.88396120945817e-11,1.03500118944608e-09,"Up","Ddx43"
"ENSMUSG00000039209",109.028929239597,1.27249171156126,0.153585118573418,1.49422397102414e-17,1.54088716654383e-15,"Up","Rpl39l"
