"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000023443",276.074215998293,4.61015706845352,0.421850785971173,3.154851456916e-29,1.12171148018784e-26,"Up","Esx1"
"ENSMUSG00000068048",541.429120215867,4.55453793269149,0.401023182792669,2.62101006954338e-31,1.02378129941756e-28,"Up","Rhox9"
"ENSMUSG00000006200",442.741751940787,4.39072721861413,0.366113315961549,1.48233750825493e-34,6.96774001973458e-32,"Up","Rhox6"
"ENSMUSG00000029848",1035.87971574411,3.72785167110748,0.279671395789036,2.89923587695175e-42,2.17309482636494e-39,"Up","Stra8"
"ENSMUSG00000056436",707.670582583944,3.36365114640602,0.273293108424944,7.71024525475977e-37,4.27656463300506e-34,"Up","Cyct"
"ENSMUSG00000010592",1680.66292114548,3.35829106074104,0.486810844982893,3.96150356535238e-14,3.19373192959063e-12,"Up","Dazl"
"ENSMUSG00000006056",447.516768290267,3.14368830538184,0.337325777483105,7.67184391859731e-23,1.59972366461999e-20,"Up","Calcoco2"
"ENSMUSG00000046323",290.244160146268,2.26622281669384,0.194638510704853,3.02694444819199e-33,1.33248016478902e-30,"Up","Dppa3"
"ENSMUSG00000062859",63.1020006291134,1.97260541075334,0.397366845768987,1.66963444278764e-08,5.25584245196705e-07,"Up","Tcp11"
"ENSMUSG00000009628",2983.37723507699,1.87798945167549,0.285628719204981,1.80767807977205e-12,1.17131626603547e-10,"Up","Tex15"
"ENSMUSG00000040726",26.3200969762308,1.87265057620494,0.865692464313013,0.000219319584937274,0.00233220477341465,"Up","Hesx1"
"ENSMUSG00000004948",35.9374882098542,1.7950348167292,0.442756170877394,1.26330441127434e-06,2.63027186470505e-05,"Up","Zp3"
"ENSMUSG00000062939",98.1140470546752,1.60522858952401,0.254553396663154,1.94194908638457e-11,1.0643492887886e-09,"Up","Stat4"
"ENSMUSG00000053654",45.5524442460377,1.52620014316064,0.379607922073898,2.05693677449478e-06,4.10691343175405e-05,"Up","Krt42"
"ENSMUSG00000032285",91.5294805864053,1.52564298922605,0.236248131529387,8.24751050081437e-12,4.90833065920783e-10,"Up","Dnaja4"
"ENSMUSG00000040364",35.4184092017573,1.51941504559753,0.482161755357501,3.41983503113794e-05,0.000482412436004825,"Up","Sec1"
"ENSMUSG00000027794",1310.55280452169,1.47137984722209,0.289471868412653,2.20237859023747e-08,6.72671425584315e-07,"Up","Sohlh2"
"ENSMUSG00000050860",38.765267698286,1.44999099108011,0.669723561376317,0.000417738833697318,0.0040198303521609,"Up","Phospho1"
"ENSMUSG00000071773",47.0320241966974,1.43524007278185,0.531778728380218,0.00012470772973163,0.00143388037671944,"Up","Rhox1"
"ENSMUSG00000023403",311.161639578315,1.40154277744564,0.274807933136597,2.07369977470083e-08,6.36876144537964e-07,"Up","Stk31"
"ENSMUSG00000039329",1215.17536637296,1.38238175387192,0.265172427362613,1.17726454418925e-08,3.84559217950537e-07,"Up","Tex19.1"
"ENSMUSG00000027702",50.4414468366541,1.3789379162535,0.369074195026333,6.2007101581486e-06,0.000108426415394663,"Up","Lrrc34"
"ENSMUSG00000030491",875.242408276099,1.34288913369238,0.130410115809219,8.27468898434677e-26,2.20655720772009e-23,"Up","Tdrd12"
"ENSMUSG00000024206",140.523648758965,1.32131234926977,0.334166103325155,2.88829808671317e-06,5.52803111378994e-05,"Up","Rfx2"
