"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000010796",119.85702754573,9.44458391361643,1.07462028568128,8.34728198088652e-22,6.2677836628411e-20,"Up","Asz1"
"ENSMUSG00000010592",912.647893963388,7.55007999833367,0.419793556201971,2.16780092224517e-74,7.95273252617944e-72,"Up","Dazl"
"ENSMUSG00000051827",165.058303717767,7.01544482025615,0.509005006354515,5.45049991459229e-45,1.21712032875417e-42,"Up","Rhox2a"
"ENSMUSG00000053211",154.023706277993,7.00221861545774,0.506588258181306,3.19833885247776e-45,7.26843732138309e-43,"Up","Zfy1"
"ENSMUSG00000039224",277.600651535841,6.4383191273572,0.328804470796579,7.62965075223275e-87,3.76787367917956e-84,"Up","D1Pas1"
"ENSMUSG00000025519",30.725255229097,6.30110438146116,1.0282378137055,1.5662094288517e-11,3.95479431002082e-10,"Up","Tktl2"
"ENSMUSG00000037910",53.6441856594981,6.27853841926329,0.745871853685306,1.07181796987294e-18,6.2272139064111e-17,"Up","1700018B24Rik"
"ENSMUSG00000021940",159.750215647006,6.1375001055436,0.406241465399435,5.99328961104364e-53,1.63731571501703e-50,"Up","Ptpn20"
"ENSMUSG00000071773",51.2725445503004,6.0522680395605,0.753846173292583,2.9796532095685e-17,1.48289717871549e-15,"Up","Rhox1"
"ENSMUSG00000050197",567.092140364321,5.43826829649421,0.273065018372351,1.64400524048234e-89,8.4436109151173e-87,"Up","Rhox13"
"ENSMUSG00000055403",344.151822803835,5.40816375359188,0.313572298878276,6.2644736041445e-68,2.26579834020325e-65,"Up","4933427D06Rik"
"ENSMUSG00000060499",70.1754341312484,5.09479750488271,0.431156775046093,1.26532853031167e-33,2.04362494706942e-31,"Up","Rpl10l"
"ENSMUSG00000073243",20.7893093455223,4.98451998405668,0.903074293484173,5.11899216035569e-10,1.05333107915011e-08,"Up","Gm9"
"ENSMUSG00000046000",257.459786825726,4.92091352812387,0.318165384151396,2.26340918323522e-55,6.5308255983686e-53,"Up","Naa11"
"ENSMUSG00000027794",8986.44022589205,4.82242678309738,0.24113978239203,2.13316154311062e-90,1.11795078422614e-87,"Up","Sohlh2"
"ENSMUSG00000072479",140.185376225182,4.48035552560558,0.369830941019458,1.88581671159762e-35,3.2501861177065e-33,"Up","Xlr5b"
"ENSMUSG00000028109",55.2762334094085,4.28512185409786,0.589619465965328,4.68977958735987e-15,1.80639228165247e-13,"Up","Hormad1"
"ENSMUSG00000067702",213.417090961222,4.28410167158754,0.298707006088109,2.06852465918827e-48,5.10766473538027e-46,"Up","Tuba3a"
"ENSMUSG00000009596",346.709827601627,4.28344952475744,0.319748819763896,1.08193818818646e-42,2.27739120267445e-40,"Up","Taf7l"
"ENSMUSG00000070732",85.5803482709995,4.28277064368298,0.581052586738566,2.19143734103626e-15,8.86237967209625e-14,"Up","Rbm44"
"ENSMUSG00000047674",4.08367541082032,4.20359592940916,1.29776420259542,4.9647887260102e-06,5.1018717280489e-05,"Up","Pdha2"
"ENSMUSG00000058328",240.297668053776,4.07848939240517,0.338175890572632,2.18110634498613e-35,3.73405406261625e-33,"Up","Xlr5a"
"ENSMUSG00000010342",341.045893619142,4.02706086032359,0.344204644968283,1.52498428835776e-33,2.41738250154489e-31,"Up","Tex14"
"ENSMUSG00000020419",113.912147350486,3.93678403006428,0.268147536030128,9.47297452770637e-51,2.48230597828061e-48,"Up","Hormad2"
"ENSMUSG00000025038",121.921993128535,3.85907485848097,0.338846546823287,4.73469036145023e-32,6.83072182483382e-30,"Up","Efhc2"
"ENSMUSG00000051582",35.3145948778997,3.85280304427105,0.493462809355395,5.38084590307262e-17,2.58280603347486e-15,"Up","Otud6a"
"ENSMUSG00000079638",4.13356373869737,3.82959440518956,1.75320746131698,5.98789899676065e-05,0.000479850880573175,"Up","Rhox2b"
"ENSMUSG00000071470",102.679149168538,3.82272520221118,0.266077884940817,8.26267484631837e-49,2.10084643617283e-46,"Up","Ccnb1ip1"
"ENSMUSG00000046323",40.6397922210072,3.76690659844774,1.29150151609407,1.3237507923172e-05,0.000124292213333476,"Up","Dppa3"
"ENSMUSG00000067764",36.6026567987515,3.5733045970706,0.539484153349374,2.88383454418068e-13,9.09789571186238e-12,"Up","Xlr5c"
"ENSMUSG00000034151",2.89415805996401,3.44677368133966,1.53042994961109,6.68191597888766e-05,0.000528299268281512,"Up","Zbbx"
"ENSMUSG00000027855",53.0780137905886,3.24104833456438,0.38219241546925,1.97065290925802e-19,1.23430162706697e-17,"Up","Sycp1"
"ENSMUSG00000068048",179.341104833029,3.21868752398187,0.44148389644587,2.80448672984929e-15,1.11312549030185e-13,"Up","Rhox9"
"ENSMUSG00000022113",17.3051398547885,3.20446570732552,0.61157463011429,1.54323746145988e-09,2.94211863476539e-08,"Up","Trim52"
"ENSMUSG00000069041",111.442971692463,3.18254916806682,0.513889640725014,5.66387321032021e-12,1.53264767166515e-10,"Up","Slc25a31"
"ENSMUSG00000039329",446.028371620755,2.87782652388337,0.200982994197878,2.09163217924349e-48,5.1155347012355e-46,"Up","Tex19.1"
"ENSMUSG00000016626",9.77322183345312,2.87346485967318,0.791492127974288,2.75742302302683e-06,2.98905121280409e-05,"Up","Nlrp14"
"ENSMUSG00000006200",281.669540823963,2.81627908987935,0.296196953997068,2.79517505837135e-23,2.3534457540648e-21,"Up","Rhox6"
"ENSMUSG00000057719",228.173729674557,2.71373072020036,0.400566345203188,2.22260576142391e-13,7.15244560819123e-12,"Up","Sh3rf2"
"ENSMUSG00000046337",147.304160208089,2.60793614764925,0.371419409227864,4.80378221281284e-14,1.6647925401489e-12,"Up","Fam178b"
"ENSMUSG00000067338",9.71377784814877,2.57987942635176,0.847999062514586,2.11655511928136e-05,0.00019051221683542,"Up","Tuba3b"
"ENSMUSG00000030491",172.282070971126,2.4132034077993,0.405558583092943,8.31299351077384e-11,1.8908562741955e-09,"Up","Tdrd12"
"ENSMUSG00000054753",99.2047415786816,2.38770405952168,0.430137477752605,8.89793857804498e-10,1.75633407136199e-08,"Up","AU018091"
"ENSMUSG00000023443",96.4093961465572,2.2546232553811,0.389250098408335,2.8526035253367e-10,6.07924137183788e-09,"Up","Esx1"
"ENSMUSG00000039209",22.2136946293565,2.17776632039309,0.48897642949403,2.83303763255697e-07,3.79419489554976e-06,"Up","Rpl39l"
"ENSMUSG00000029848",80.7259871125037,2.09423147951123,0.330879487032829,1.41457621787914e-11,3.59666507674616e-10,"Up","Stra8"
"ENSMUSG00000022432",265.601613711378,2.06427406800457,0.435808968134862,9.34047857960651e-08,1.34982267824589e-06,"Up","Smc1b"
"ENSMUSG00000056436",339.909100891655,1.97376221711713,0.666763835667225,4.94099935904841e-05,0.000403577810242886,"Up","Cyct"
"ENSMUSG00000051257",2568.63000503456,1.87837239332067,0.186512527081667,7.2024335982261e-25,6.67720197842766e-23,"Up","Trap1a"
"ENSMUSG00000029074",7.44025720163893,1.81885774458029,0.860005451491359,0.000372280149781057,0.00244317767604844,"Up","Ttll10"
"ENSMUSG00000072419",93.7831039874648,1.80845481886755,0.316953140748984,8.01383140608244e-10,1.59903022927892e-08,"Up","Dppa2"
"ENSMUSG00000022487",4.33539142038825,1.80518443479183,1.28663399523767,0.00129346137159795,0.00721931928333741,"Up","Gtsf1"
"ENSMUSG00000045915",47.4048914853981,1.73636364926786,0.27575633373647,2.37538637269205e-11,5.84290441098963e-10,"Up","Ccdc42"
"ENSMUSG00000053909",4.47601898871882,1.65673248444945,1.2067970394804,0.00165565731431061,0.00892040050500673,"Up","Rhox10"
"ENSMUSG00000002076",244.604039889648,1.65492412832521,0.556627797412258,6.2953965266837e-05,0.000500823366806808,"Up","Hsf2bp"
"ENSMUSG00000076438",6.08716267642123,1.61089591631772,0.909777338731916,0.000916541458580447,0.00533592941653727,"Up","Oxct2b"
"ENSMUSG00000076430",10.807595975583,1.59299652312281,0.599289703646295,0.000144460444865292,0.00104795034580246,"Up","Hus1b"
"ENSMUSG00000010760",57.1626447691915,1.57635837691408,0.323369828980981,6.18677779284683e-08,9.27474919558124e-07,"Up","Phlda2"
"ENSMUSG00000060445",95.3008473325128,1.57043867197931,0.407255800227207,4.37430903223747e-06,4.56264240243128e-05,"Up","Sycp2"
"ENSMUSG00000045257",112.570877639905,1.52967973490536,0.179897230941909,1.61621196742913e-18,9.24372457095324e-17,"Up","Morn2"
"ENSMUSG00000031397",2.80801030917422,1.52509538366661,1.4785446531554,0.0030098041775212,0.0148096898407251,"Up","Tktl1"
"ENSMUSG00000036743",233.121948315608,1.51915736663667,0.363148585659391,1.26993304732359e-06,1.46834221770688e-05,"Up","Psma8"
"ENSMUSG00000041805",7.55923793117787,1.49139774188552,0.78818316316705,0.000845170275075606,0.00498254652523911,"Up","Pramel1"
"ENSMUSG00000009670",72.1427351436585,1.40506315179214,0.455174656619406,5.25529193543112e-05,0.000426670556123526,"Up","Tex11"
"ENSMUSG00000009628",1258.4424341361,1.4009567829345,0.156667645462536,2.88829755130318e-20,1.92653197707703e-18,"Up","Tex15"
"ENSMUSG00000078653",258.015171992067,1.37232114469011,0.746617226094358,0.00108672339627249,0.0061809649648455,"Up","Cntd1"
"ENSMUSG00000040629",171.969861127963,1.29357486652302,0.755834916661484,0.00154595380219747,0.00840662940263986,"Up","Mael"
"ENSMUSG00000021791",5.00453506940635,1.28649340295596,1.00037806383173,0.00333246385795347,0.0161497776697953,"Up","Dydc2"
"ENSMUSG00000047654",12.7979386051013,1.27480502057192,0.613115887845796,0.000722856456648297,0.00437186853667646,"Up","Tssk6"
"ENSMUSG00000032680",34.7365136458426,1.26367618516063,0.276671122227261,2.24467975216784e-07,3.07759615780406e-06,"Up","6820408C15Rik"
"ENSMUSG00000043319",1.9724152409868,1.25156466896706,1.39242673099232,0.00535238750045025,0.0241435642036822,"Up","Cox8c"
"ENSMUSG00000081984",114.074510510883,1.24304046425333,0.177012483022574,1.23290142580532e-13,4.0800139967372e-12,"Up","Dnajb3"
"ENSMUSG00000033794",1.44581343910146,1.23386478087558,1.43488126635032,0.00561307099377247,0.0251077622574599,"Up","Lpcat2b"
"ENSMUSG00000022245",9.47869117103505,1.23119498344239,0.632640970244439,0.00101680383315505,0.00582326548515202,"Up","Skor1"
"ENSMUSG00000026523",2.91395759910014,1.12523397944808,1.24091866720206,0.00693573615498418,0.0299444694788154,"Up","Wdr64"
"ENSMUSG00000070708",6.06872554712762,1.11946661848578,1.26706195156387,0.00710892429475072,0.0305586166536991,"Up","Gtsf1l"
"ENSMUSG00000036602",5.58184393653163,1.09302766999786,0.828416582310821,0.00438028174156179,0.0203852183985695,"Up","Alx1"
"ENSMUSG00000044042",158.031401212481,1.05980993587343,0.501760884916057,0.000827599717352104,0.00489356682974949,"Up","Fmn1"
"ENSMUSG00000027233",38.7653383316361,1.04581847271832,0.648782406893576,0.00264224030272233,0.0133018488480512,"Up","Patl2"
"ENSMUSG00000035032",10.2046188106336,1.0173224252932,0.640109571750037,0.00288825329149415,0.0142937646031162,"Up","Nek11"
"ENSMUSG00000037418",25.0225012513554,0.991583702127698,0.460580423481756,0.000804916696062262,0.00479032694203451,"Up","Best1"
"ENSMUSG00000046173",2.99657939109753,0.975006844284398,1.17528152965797,0.0101723830049851,0.0410540304208733,"Up","Pabpc6"
"ENSMUSG00000020878",32.847878491486,0.959456560109087,0.424280973851086,0.000634845513640909,0.00390206624947308,"Up","Lrrc46"
"ENSMUSG00000073894",256.058556845388,0.955739992327604,0.227675780638325,1.16159675363067e-06,1.35466869360742e-05,"Up","Rbmxl2"
"ENSMUSG00000030200",5.03087902120446,0.936646016646311,0.908260987168098,0.0093318827630526,0.0381839944797946,"Up","Bcl2l14"
"ENSMUSG00000032065",2.63125034808147,0.902743126650447,1.1293623299454,0.0123602023388974,0.0481800236889627,"Up","Tex12"
"ENSMUSG00000079637",2.47548823654633,0.892946674428586,1.24632259909643,0.0126638545860178,0.049117623586911,"Up","Rhox2c"
"ENSMUSG00000025977",6.76605110712813,0.891377737361718,0.683204415271358,0.00640502417111015,0.0280253911593301,"Up","Boll"
"ENSMUSG00000044595",200.733696354489,0.882868886921613,0.285833466017322,6.70303196386075e-05,0.000529805665841625,"Up","Dnd1"
"ENSMUSG00000038347",57.133821722191,0.81160284299777,0.325477877610467,0.000411310318169147,0.00266593865991511,"Up","Tcte2"
"ENSMUSG00000032595",4.91815990117846,0.782091420336563,0.740477904353303,0.0127069998718838,0.0492477749335913,"Up","Cdhr4"
"ENSMUSG00000025480",45.1436461763478,0.760396592565366,0.330219178313759,0.000742365836284888,0.00447195746558666,"Up","Syce1"
"ENSMUSG00000092074",785.830629996402,0.751848098557297,0.17976588436346,1.44775904457398e-06,1.6582717334817e-05,"Up","Dynlt1a"
"ENSMUSG00000032567",458.393626119641,0.679870353592909,0.112251787151938,1.0347714620492e-10,2.31673331695061e-09,"Up","Aste1"
"ENSMUSG00000046826",59.2073922325142,0.672058117110501,0.280196109763717,0.000667745738189043,0.00407309039351416,"Up","Fam187b"
"ENSMUSG00000071573",41.1004280025054,0.664889216937223,0.242866292501272,0.000254887286218754,0.00173482785849393,"Up","Rnls"
"ENSMUSG00000021758",478.564918895173,0.655361943628086,0.382989645518681,0.00406223716970476,0.0191620592428395,"Up","Ddx4"
"ENSMUSG00000070280",51.6747070361716,0.623901986829003,0.324270994525442,0.0025920369194134,0.0131107953694182,"Up","Slc22a14"
"ENSMUSG00000037279",31.7495405587953,0.598349651352231,0.3378201288014,0.00403592759194834,0.0190484507556025,"Up","Ovol2"
"ENSMUSG00000044083",34.547314562857,0.589658320592478,0.295888384999976,0.00236677639148724,0.0121387692697009,"Up","Efcab8"
"ENSMUSG00000002190",388.483707403306,0.583756959331886,0.138302107729491,1.23349565433704e-06,1.43136775433236e-05,"Up","Clgn"
"ENSMUSG00000005131",36.7785364409893,0.581411645990795,0.361245117959185,0.00622264168132528,0.0273578904941676,"Up","4930550C14Rik"
"ENSMUSG00000028457",15.9348830010023,0.56091068607343,0.405743915096792,0.0110759275402132,0.0440976463926627,"Up","Atp8b5"
"ENSMUSG00000044362",55.3053505516774,0.550831664331857,0.259190204528165,0.00185039818291282,0.00983203503769939,"Up","Ccdc89"
"ENSMUSG00000022620",706.996173277794,-0.503762177138157,0.19230415907416,0.000504066071920906,0.00318985133734078,"Down","Arsa"
"ENSMUSG00000031787",1440.03523975479,-0.542221246986824,0.067123432473043,3.98868126081087e-17,1.94363064094162e-15,"Down","Katnb1"
"ENSMUSG00000060260",251.248835644881,-0.555955739816171,0.188322751038552,0.000155286167590251,0.00111650401763062,"Down","Pwwp2b"
"ENSMUSG00000042320",74.1021098552474,-0.573971753776756,0.309322186525317,0.00349518724282793,0.0168240690526375,"Down","Prox2"
"ENSMUSG00000030792",60.7410042587243,-0.605320372285864,0.468965126687163,0.0120117930484822,0.0471511533911685,"Down","Dkkl1"
"ENSMUSG00000055862",146.459013900888,-0.637721248897053,0.167285502915465,6.64325541342056e-06,6.63034586150952e-05,"Down","Izumo4"
"ENSMUSG00000000942",95.1933780386551,-0.646880065806648,0.28424717455071,0.000981770332709906,0.00565035009950479,"Down","Hoxa4"
"ENSMUSG00000029279",101.560104454408,-0.65147380653193,0.213516284288925,9.79745304586597e-05,0.00074108569725431,"Down","Brdt"
"ENSMUSG00000028610",183.421417850854,-0.66483765997767,0.175945889254371,7.48858164619879e-06,7.41352261659156e-05,"Down","Dmrtb1"
"ENSMUSG00000041540",699.839517571799,-0.666530225962748,0.202650187151137,4.3755792840842e-05,0.000362000244894595,"Down","Sox5"
"ENSMUSG00000031027",26.4562309447278,-0.707474986569717,0.544098216694081,0.00925592245424724,0.037915471147722,"Down","Stk33"
"ENSMUSG00000031576",8.47611220091914,-0.73258480966864,0.632638547053347,0.0117667937339149,0.0463310737637127,"Down","Kcnu1"
"ENSMUSG00000037196",110.53581715351,-0.744224408605273,0.430585852299809,0.00324001425327853,0.0157731878718848,"Down","Pacrg"
"ENSMUSG00000035578",258.477594092922,-0.750045078943593,0.223217002121301,3.16839582476518e-05,0.000273126568579959,"Down","Iqcg"
"ENSMUSG00000027971",17.0971796369252,-0.772714651897509,0.596298088362418,0.00816350377209749,0.0342211519535527,"Down","Ndst4"
"ENSMUSG00000057156",1514.61533369879,-0.787618560612732,0.0821052061382917,7.48053507877504e-23,6.05994135088149e-21,"Down","Homez"
"ENSMUSG00000027956",368.98583931997,-0.804124398227484,0.42353515040197,0.00193349329127619,0.0102059830873531,"Down","Tmem144"
"ENSMUSG00000020435",50.4797702990862,-0.83771759844801,0.225952278919735,8.62576822241039e-06,8.42242311602657e-05,"Down","Osbp2"
"ENSMUSG00000058550",805.353048203336,-0.841281824067426,0.227835134192621,9.08408808207096e-06,8.81297249518633e-05,"Down","Dppa4"
"ENSMUSG00000090369",6.50398035782084,-0.855535994671198,0.772198231462463,0.00990825809058909,0.0401648094343059,"Down","4933411K16Rik"
"ENSMUSG00000039782",1142.26406963831,-0.863232721361477,0.187897640372718,2.21508569538959e-07,3.04026727191901e-06,"Down","Cpeb2"
"ENSMUSG00000074881",18.0630305185174,-0.887723591127036,0.443282891637321,0.00132298604067064,0.00735382058770369,"Down","Mageb3"
"ENSMUSG00000090173",14.0034011385808,-0.896427999833586,0.599476869000418,0.0042563127774969,0.0199310926561124,"Down","Fbxw10"
"ENSMUSG00000052525",32.8154392135097,-0.915020961497736,0.410257684207809,0.000722758490743272,0.00437186853667646,"Down","Spdya"
"ENSMUSG00000037363",276.726531813819,-0.932060570704714,0.20409663016606,2.36082863765587e-07,3.22136447476104e-06,"Down","Letm2"
"ENSMUSG00000035270",19.0939994687231,-0.960241786108276,0.41411583355261,0.000547627766776014,0.00343001976848977,"Down","Impg2"
"ENSMUSG00000001120",872.262474872434,-1.04786440784185,0.131093900362822,6.93152851284427e-17,3.29632689277483e-15,"Down","Pcbp3"
"ENSMUSG00000007033",9.01379275475916,-1.04894180616598,0.613186648658354,0.00212280582885413,0.0110485718858886,"Down","Hspa1l"
"ENSMUSG00000021097",743.958266542076,-1.10137572328371,0.127940881529081,3.89794986432605e-19,2.37202257146666e-17,"Down","Clmn"
"ENSMUSG00000079330",10.0863537679111,-1.15058733937498,0.550768477738032,0.000798508212294664,0.00475880503405128,"Down","Lemd1"
"ENSMUSG00000031651",37.8267993387486,-1.16769037395059,0.703164527713659,0.00202096584551951,0.0105936727725946,"Down","Triml1"
"ENSMUSG00000048827",9.74866933960211,-1.19620324891336,0.606517375406115,0.000996228047858237,0.00572457737055259,"Down","Pkd1l3"
"ENSMUSG00000024033",71.387832470805,-1.21100490217716,0.453981167216044,0.000180931980405586,0.00127822097849118,"Down","Rsph1"
"ENSMUSG00000054320",88.2665093420351,-1.29521836435445,0.322028402811352,2.2803140062555e-06,2.50893160585438e-05,"Down","Lrrc36"
"ENSMUSG00000034391",156.181411412372,-1.30194390657746,0.840989528179394,0.00209125530303861,0.0109153325573235,"Down","Fbxo15"
"ENSMUSG00000015980",144.654810556327,-1.33688869065683,0.173147130074382,7.53885809887554e-16,3.22663126631873e-14,"Down","Lrrc27"
"ENSMUSG00000033949",274.836959284529,-1.35439530437237,0.212211976450924,1.07167469698225e-11,2.7693482146613e-10,"Down","Trim36"
"ENSMUSG00000056617",2.29227933940022,-1.37028317629374,1.68221268622743,0.0042053432745058,0.0197385579625992,"Down","4931429L15Rik"
"ENSMUSG00000020286",1.55217067911855,-1.43022056004941,1.52942643732723,0.00375379526154014,0.0179077581862067,"Down","1700093K21Rik"
"ENSMUSG00000074673",29.2582945496148,-1.43740614841119,0.282249738576031,1.97497443683351e-08,3.2181055544343e-07,"Down","Ttll9"
"ENSMUSG00000031554",38.5139706955302,-1.51704081402762,0.406766915706368,6.85542849567494e-06,6.82354278174156e-05,"Down","Adam5"
"ENSMUSG00000003436",545.53392350004,-1.52174467640391,0.309805684613621,5.07173858451974e-08,7.73869559420481e-07,"Down","Dll3"
"ENSMUSG00000091490",200.315416161311,-1.73446802573837,0.504475698823267,1.62874016945967e-05,0.000150075520458286,"Down","Triml2"
