"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000046000",167.408318744205,9.9026840420412,1.24167834281219,5.24653912472959e-20,4.44734648391949e-18,"Up","Naa11"
"ENSMUSG00000027855",297.206240052919,7.42614783370365,0.797316150704066,1.16493903597485e-22,1.23170382158503e-20,"Up","Sycp1"
"ENSMUSG00000071470",165.715328765355,7.12775492318973,1.16228771137978,8.63876180790757e-12,3.35088539870434e-10,"Up","Ccnb1ip1"
"ENSMUSG00000053211",58.7635081143433,7.09979279373636,1.16541141446026,1.14739584257919e-11,4.29803555050711e-10,"Up","Zfy1"
"ENSMUSG00000047674",94.6541336499955,6.03875980664813,1.16956747592075,5.98968510347248e-09,1.49105249677076e-07,"Up","Pdha2"
"ENSMUSG00000027794",775.181727489417,5.91026832307495,0.418898603266273,1.83737214465615e-46,6.45245724942997e-44,"Up","Sohlh2"
"ENSMUSG00000039224",809.029008954101,5.63637280178973,0.288646347660952,4.58869923390312e-86,2.82004247293558e-83,"Up","D1Pas1"
"ENSMUSG00000028109",448.335840959251,5.51189113223263,0.50659876092477,1.04493665732734e-28,1.6844036313934e-26,"Up","Hormad1"
"ENSMUSG00000060499",708.984386590987,5.48636202859382,0.506771833328812,1.92272934108923e-28,2.93119342805123e-26,"Up","Rpl10l"
"ENSMUSG00000030491",1604.46784080388,5.42271357092554,0.209352532984105,5.30516741387596e-149,6.52071389758029e-146,"Up","Tdrd12"
"ENSMUSG00000060461",6467.81537890203,5.29025214944999,0.190156328488615,2.2881205492023e-171,2.99987858137417e-168,"Up","Dppa5a"
"ENSMUSG00000050197",36.9846532107436,5.04099901865592,0.618832500457111,3.24659314357249e-17,2.19407219111672e-15,"Up","Rhox13"
"ENSMUSG00000009596",192.967201782017,4.88030735702661,0.351838091967748,1.07663984560922e-44,3.71459635153525e-42,"Up","Taf7l"
"ENSMUSG00000022113",29.8521334442461,4.86463596576035,0.990467068439411,3.19901846229207e-08,6.86062127365713e-07,"Up","Trim52"
"ENSMUSG00000005493",12.935572730774,4.82510090346256,1.34610535966162,2.85648959342504e-06,3.96161666743983e-05,"Up","Msh4"
"ENSMUSG00000055403",90.4240251463457,4.74300001239492,0.466810330947423,3.22434797990109e-25,4.038855246671e-23,"Up","4933427D06Rik"
"ENSMUSG00000031651",685.248886591611,4.69267602374942,0.613166411008478,1.750800381402e-15,1.01268353825446e-13,"Up","Triml1"
