"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000010342",64.3725606667747,3.40428195987848,0.351814951721091,2.20898900736002e-25,2.05159854058562e-21,"Up","Tex14"
"ENSMUSG00000039224",10.8642038717226,3.02408308993986,1.6549530469286,3.91221877805928e-07,0.000234417625169197,"Up","D1Pas1"
"ENSMUSG00000071470",13.8711168238438,2.10524666972036,0.616752894967221,1.6277864100322e-06,0.000817192772063461,"Up","Ccnb1ip1"
"ENSMUSG00000020299",19.8721449292537,1.9788517652316,0.594949659018982,2.69043264888769e-06,0.00108640840115411,"Up","4930524B15Rik"
"ENSMUSG00000032514",80.9723921102698,1.81636432013762,0.38827093809881,1.01358554827236e-07,7.24128906121501e-05,"Up","Ttc21a"
"ENSMUSG00000032595",40.3444329554603,1.75550500192832,0.364237102834894,6.65530350958124e-08,5.6191937586578e-05,"Up","Cdhr4"
"ENSMUSG00000042707",52.0957677707556,1.60556024384197,0.611233842697831,1.8196062970044e-05,0.00456745769822388,"Up","Dnali1"
"ENSMUSG00000049353",17.8403872828284,1.60129793451896,0.905874682760689,3.66653745623524e-05,0.0081870978318711,"Up","Rd3"
"ENSMUSG00000038932",57.4353355670659,1.54645828009603,0.753980878047518,3.70237533177482e-05,0.0081870978318711,"Up","Tcfl5"
"ENSMUSG00000053153",27.2452026732496,1.30945198782838,0.838411111560685,9.51258147436912e-05,0.0163607593413339,"Up","Spag16"
"ENSMUSG00000051435",196.97421029877,1.06014690531704,0.387062030950662,4.33287979362298e-05,0.00925094737546515,"Up","Fhad1"
"ENSMUSG00000059854",81.6627864283033,1.03443357682584,0.441898542394033,7.5564835157096e-05,0.0141779476064955,"Up","Hydin"
"ENSMUSG00000046000",12.6385303029207,0.89861717790447,1.1179425066162,0.000154296980653088,0.0244962941506932,"Up","Naa11"
"ENSMUSG00000039021",32.7913484760515,0.843939281665927,0.580982393977744,0.000308833717794008,0.0372505604417123,"Up","Ttc16"
"ENSMUSG00000000365",24.6266272511735,0.837732068378326,0.632227374407157,0.000365916552943753,0.0416987728277927,"Up","Rnf17"
"ENSMUSG00000026650",21.9078743804837,0.808758473709329,0.610841681949472,0.000385579361895775,0.0428870457917008,"Up","Meig1"
"ENSMUSG00000079022",98.4440147421337,0.803383013178779,0.555339046149699,0.000329330712240237,0.0387358500386478,"Up","Col22a1"
