"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000046192",11.1771079407557,5.82802064777444,1.23728005686408,5.93107255988519e-08,1.13177213422514e-06,"Up","Iqub"
"ENSMUSG00000027855",297.206240052919,5.55303420091811,0.470456213721088,5.4040172266147e-33,8.95798090356139e-31,"Up","Sycp1"
"ENSMUSG00000034151",26.3687158257371,4.55474012421463,0.60967733435821,3.15592235839081e-15,1.52693776441635e-13,"Up","Zbbx"
"ENSMUSG00000071470",165.715328765355,4.0815604368602,0.22952860759628,2.9214880914922e-72,1.74038523400362e-69,"Up","Ccnb1ip1"
"ENSMUSG00000046000",167.408318744205,3.23989860448787,0.233791461707901,2.31991997062471e-46,6.60069170149534e-44,"Up","Naa11"
"ENSMUSG00000053211",58.7635081143433,3.19092276997023,0.26091903809725,4.0953941675294e-37,7.80704990156129e-35,"Up","Zfy1"
"ENSMUSG00000070291",114.895733739797,2.79438672291281,0.248510119782607,4.57860714513707e-32,7.15426131211049e-30,"Up","Ddx43"
"ENSMUSG00000010592",678.773662315058,2.48870770104506,0.216036642693444,3.95457991105354e-33,6.61282077582575e-31,"Up","Dazl"
"ENSMUSG00000020805",15.2413436685441,2.44521261878952,0.532617454184459,2.40868809489657e-08,4.87439715000142e-07,"Up","Slc13a5"
"ENSMUSG00000025977",47.3896948633221,2.4391864039177,0.368979226850938,1.91294629049559e-13,7.62897387776516e-12,"Up","Boll"
"ENSMUSG00000047674",94.6541336499955,2.4071782765364,0.236543960720563,1.27606870722035e-26,1.53960112441402e-24,"Up","Pdha2"
"ENSMUSG00000027939",26.8581964999888,2.38548826139639,0.393261377857513,7.90639618749808e-12,2.59414166131284e-10,"Up","Nup210l"
"ENSMUSG00000037108",1109.73249512646,2.32107487680142,0.113505377369555,4.08279557131476e-95,3.38392747721623e-92,"Up","Zcwpw1"
"ENSMUSG00000022432",375.720388555464,2.22425778838169,0.475253891091982,2.859831008163e-08,5.72056227792353e-07,"Up","Smc1b"
"ENSMUSG00000038932",2209.67975873613,2.22205618416609,0.142646661282327,1.03880175109282e-56,3.96053555621647e-54,"Up","Tcfl5"
"ENSMUSG00000023403",77.6526523469021,2.19437245082497,0.265199636695016,1.46201895719308e-18,9.81354485245484e-17,"Up","Stk31"
"ENSMUSG00000038180",42.150625294906,1.99969243447107,0.385592962386154,4.65823182585002e-09,1.05088607451099e-07,"Up","Spag4"
"ENSMUSG00000078653",227.755337690717,1.88340226839268,0.456164973795008,8.7004189648908e-07,1.31736367535912e-05,"Up","Cntd1"
"ENSMUSG00000044122",32.2382691552868,1.8587386941663,0.444545667281572,7.57658229755801e-07,1.16665903342769e-05,"Up","Proca1"
"ENSMUSG00000045257",53.0418994196989,1.85336597157687,0.289068666879839,5.6981034422812e-12,1.8923858174252e-10,"Up","Morn2"
"ENSMUSG00000033794",4.96426362293216,1.84960677548375,1.75568789842103,0.00112362238412486,0.00749723958997974,"Up","Lpcat2b"
"ENSMUSG00000020639",14.609339516862,1.82616323305828,1.39020437569061,0.000809889835809089,0.00567607718383407,"Up","Pfn4"
"ENSMUSG00000050197",36.9846532107436,1.81667994655332,0.407450104013595,2.71014284464677e-07,4.62934167092306e-06,"Up","Rhox13"
"ENSMUSG00000070639",415.215706641007,1.80239483394566,0.222432741370993,2.68248002632151e-17,1.60805398559016e-15,"Up","Lrrc8b"
"ENSMUSG00000021363",145.768065934929,1.77346067108746,0.248829376682267,5.508764407151e-14,2.34405303333749e-12,"Up","Mak"
"ENSMUSG00000039224",809.029008954101,1.67787527910413,0.178522565431968,4.30379757251389e-22,3.8517977992879e-20,"Up","D1Pas1"
"ENSMUSG00000028845",50.4464821672763,1.61545552305832,0.388461178039053,1.49064044844442e-06,2.15146315127152e-05,"Up","Tekt2"
"ENSMUSG00000021758",626.600505159901,1.60812718288434,0.205764054338381,5.0841897632358e-16,2.67734556509846e-14,"Up","Ddx4"
"ENSMUSG00000072479",150.112933367112,1.59675224362452,0.537158137585627,5.6744933416489e-05,0.000560771729247553,"Up","Xlr5b"
"ENSMUSG00000070732",117.847942418754,1.42107420445467,0.411332556750034,2.09354854312093e-05,0.000232436318447958,"Up","Rbm44"
"ENSMUSG00000060499",708.984386590987,1.40285698771289,0.221093392309586,2.90359973677007e-11,8.87040413173845e-10,"Up","Rpl10l"
"ENSMUSG00000032010",133.589625765339,1.38345520890868,0.214135080692401,1.41978552376542e-11,4.48102176151329e-10,"Up","Usp2"
"ENSMUSG00000009628",1280.23485644576,1.27383621009702,0.168820958385274,7.61048809824996e-15,3.53034638052329e-13,"Up","Tex15"
"ENSMUSG00000062859",19.7133461242036,1.26011501093706,0.488932437523317,0.000231435713305196,0.00190824351329453,"Up","Tcp11"
"ENSMUSG00000029279",25.8166243558178,1.21894916375135,0.662831602450797,0.00108692065400845,0.00729319550417564,"Up","Brdt"
"ENSMUSG00000044042",256.266263851257,1.21831064585232,0.147413331259406,2.5265811889192e-17,1.52418408874578e-15,"Up","Fmn1"
"ENSMUSG00000030491",1604.46784080388,1.19312789748779,0.152053110241821,7.34628038842764e-16,3.8054930175162e-14,"Up","Tdrd12"
"ENSMUSG00000022429",507.386419529687,1.18964607022536,0.216376914464911,4.53679631745896e-09,1.02591872123037e-07,"Up","Dmc1"
"ENSMUSG00000022113",29.8521334442461,1.15410491601911,0.664799166499257,0.00146901147946197,0.00935017223138018,"Up","Trim52"
"ENSMUSG00000018554",736.692993865581,1.11033454841765,0.135495726216799,4.01920347533989e-17,2.37207665171531e-15,"Up","Ybx2"
"ENSMUSG00000070345",57.116213831425,1.08057668149955,0.558023040369225,0.00114045876513831,0.007575109909349,"Up","Hsf5"
"ENSMUSG00000039179",21.9290840230156,1.04304154787077,0.447046550136826,0.000502017092962374,0.00375179736925384,"Up","Tekt5"
"ENSMUSG00000036432",185.553081998494,1.03612705103389,0.257276929610854,3.24250187035704e-06,4.36524104199267e-05,"Up","Siah2"
"ENSMUSG00000092074",315.442922941329,1.01364438211085,0.128548354261371,3.78990874867861e-16,2.03512761904395e-14,"Up","Dynlt1a"
"ENSMUSG00000034401",354.952414520693,0.999694962193812,0.155593000375291,1.31343879601584e-11,4.17998059573457e-10,"Up","Spata6"
"ENSMUSG00000030792",19.0372418911185,0.90598623926989,0.469304774013006,0.00145076415699744,0.00926496386091865,"Up","Dkkl1"
"ENSMUSG00000028109",448.335840959251,0.874300971641332,0.17135969679394,1.96205129481925e-08,4.03915592150534e-07,"Up","Hormad1"
"ENSMUSG00000009670",108.774601079566,0.859836540071687,0.298460097454426,0.000126861577752411,0.00112534306965762,"Up","Tex11"
"ENSMUSG00000006241",38.804961986699,0.8292652383862,0.379735181324691,0.00084744074138479,0.00589589885146651,"Up","Ccdc159"
"ENSMUSG00000036928",1211.59370817461,0.776125764915965,0.136218282583473,6.21674806796857e-10,1.59716803800114e-08,"Up","Stag3"
"ENSMUSG00000038936",644.64159144679,0.765311291167542,0.135202917041786,7.5814169142792e-10,1.92442810435292e-08,"Up","Sccpdh"
"ENSMUSG00000027794",775.181727489417,0.745730953860041,0.360781984736068,0.0012255531402688,0.00807002401137968,"Up","Sohlh2"
"ENSMUSG00000018509",801.777742627638,0.719426755703303,0.15138048917119,8.68701500036464e-08,1.60933495580128e-06,"Up","Cenpv"
"ENSMUSG00000021203",323.336826452688,0.703056375652664,0.219849176249088,4.62433000202803e-05,0.000468403840747399,"Up","Otub2"
"ENSMUSG00000023806",116.68225602355,0.671001164756759,0.275148284934272,0.000483604016072432,0.00363660682082736,"Up","Rsph3b"
"ENSMUSG00000040629",344.316896159778,0.659379777174777,0.31508964397449,0.00126356216729327,0.00828178340938292,"Up","Mael"
"ENSMUSG00000059970",219.164039606715,0.567073743715841,0.1988101746884,0.00016117324634538,0.00139403157671596,"Up","Hspa2"
"ENSMUSG00000059540",131.725885404621,0.552373240735022,0.239172137756852,0.000838386910197039,0.00585005881689804,"Up","Tcea2"
"ENSMUSG00000000365",1850.66863711295,0.544705580093345,0.1403795439385,4.17784935833967e-06,5.47746508377091e-05,"Up","Rnf17"
"ENSMUSG00000062170",518.765346934801,0.52926144248692,0.0952994845471792,1.31776597766775e-09,3.2666544645358e-08,"Up","Fmr1nb"
"ENSMUSG00000037628",203.446468985528,-0.557640083736383,0.157747369447091,1.56638707695832e-05,0.000179915062711508,"Down","Cdkn3"
"ENSMUSG00000033949",103.766398118514,-0.588036582741984,0.265383495198103,0.00101223413306275,0.00687677094746084,"Down","Trim36"
"ENSMUSG00000023935",41.7610596674998,-0.589954370712973,0.270318148399075,0.00110518798557863,0.00739494509269408,"Down","Spats1"
"ENSMUSG00000039329",422.49361705999,-0.601123013819567,0.279385888606,0.00117826454538592,0.00778823059247287,"Down","Tex19.1"
"ENSMUSG00000047446",1046.65379050823,-0.612795288206368,0.103254134366348,1.43530374727145e-10,4.05351041988675e-09,"Down","Arl4a"
"ENSMUSG00000057156",303.421361236005,-0.621062775992225,0.292977213938589,0.00124202103063174,0.00816154667595063,"Down","Homez"
"ENSMUSG00000044320",48.8487024530164,-0.651510831408527,0.314692889370181,0.00135501065669517,0.00875019246225611,"Down","1700001O22Rik"
"ENSMUSG00000004032",313.093142443766,-0.678863029470445,0.236652945153563,0.000134589073392827,0.0011872612244736,"Down","Gstm5"
"ENSMUSG00000044595",169.278416335964,-0.697443109166935,0.172045689301282,1.92713945736836e-06,2.71522982082875e-05,"Down","Dnd1"
"ENSMUSG00000053654",210.844098252857,-0.757197482985417,0.186683750188906,1.98297553458116e-06,2.78361285830049e-05,"Down","Krt42"
"ENSMUSG00000091490",1129.2516367859,-0.771401538567513,0.197871339933871,3.77224791439222e-06,4.99377513833742e-05,"Down","Triml2"
"ENSMUSG00000040594",337.169396905199,-0.78296609362239,0.116466448277858,9.76675218111337e-13,3.553122076881e-11,"Down","Ranbp17"
"ENSMUSG00000031651",685.248886591611,-0.821089481706813,0.164277990486926,2.97130503300896e-08,5.90635952494784e-07,"Down","Triml1"
"ENSMUSG00000034813",310.834011591183,-0.849241348603637,0.406961761472272,0.00106134682670536,0.00716193081680862,"Down","Grip1"
"ENSMUSG00000004633",93.9662972940503,-0.855761445333171,0.292338882150111,0.000110614120826928,0.00100030217520101,"Down","Chn2"
"ENSMUSG00000039782",145.586864724258,-0.880992275473224,0.257893930032136,2.41044571478421e-05,0.000264386229349432,"Down","Cpeb2"
"ENSMUSG00000058741",36.2428431716255,-0.900429993955109,0.45536014382508,0.00131065960752007,0.00852733928264681,"Down","Prr19"
"ENSMUSG00000004948",56.3943687738195,-0.915938503424318,0.420346585939992,0.000802371437187786,0.00563094370309759,"Down","Zp3"
"ENSMUSG00000015980",79.1663930932711,-0.92709942303957,0.33581324712131,0.00017895904402822,0.00152435042730561,"Down","Lrrc27"
"ENSMUSG00000018727",103.785050454244,-0.934881570743194,0.296199336878488,5.71604016621777e-05,0.000564000381411021,"Down","Cpsf4l"
"ENSMUSG00000041703",2390.04053342879,-0.959071603121841,0.225595508095539,1.19672843740418e-06,1.75216852551735e-05,"Down","Zic5"
"ENSMUSG00000051176",3313.25972644018,-0.973819200584369,0.129214980416308,4.95491877016517e-15,2.36139041289146e-13,"Down","Zfp42"
"ENSMUSG00000030200",64.6347004192836,-0.977055983340683,0.24758256373392,4.08834941661442e-06,5.37862007791032e-05,"Down","Bcl2l14"
"ENSMUSG00000025480",175.453080201777,-1.07435750298486,0.17846763604306,1.96934880050592e-10,5.4329516908892e-09,"Down","Syce1"
"ENSMUSG00000020696",560.586320279028,-1.10562775581963,0.116281932435796,3.36456274232464e-22,3.05422188366355e-20,"Down","Rffl"
"ENSMUSG00000040875",110.059703043329,-1.11456012176967,0.192738556854448,8.51479932605222e-10,2.14139339779068e-08,"Down","Osbpl10"
"ENSMUSG00000028950",43.0406341483359,-1.19268428452013,0.273694119384944,1.01506303876938e-06,1.51173021156724e-05,"Down","Tas1r1"
"ENSMUSG00000040726",79.7226541722813,-1.2223831334596,0.292624815694822,2.08634380710366e-06,2.91797300035342e-05,"Down","Hesx1"
"ENSMUSG00000079022",81.645999112632,-1.22681536685884,0.391314870352883,6.04824118000923e-05,0.000592771055865064,"Down","Col22a1"
"ENSMUSG00000059891",21.4995982593163,-1.30107860595938,0.311672882128528,2.08994642853825e-06,2.92086867794902e-05,"Down","Tsks"
"ENSMUSG00000071773",17.3110422062499,-1.33431439599348,0.528198505917219,0.000234870380962483,0.00193155050573245,"Down","Rhox1"
"ENSMUSG00000056436",536.056797032461,-1.35318247910759,0.260397329197548,2.18567320796556e-08,4.46097305818494e-07,"Down","Cyct"
"ENSMUSG00000040936",154.149514125617,-1.36072574666225,0.176787305918141,2.21036909777106e-15,1.10016360602636e-13,"Down","Ulk4"
"ENSMUSG00000046323",510.062980897109,-1.381006897073,0.2489151969645,3.34207238694316e-09,7.72241526209667e-08,"Down","Dppa3"
"ENSMUSG00000039198",25.2440603608577,-1.48760028925242,0.296658649621821,4.58419921529773e-08,8.87193803464168e-07,"Down","Ptchd3"
"ENSMUSG00000029769",985.872960568651,-1.53477932119498,0.136133997739423,2.14787163394107e-30,3.19881851232959e-28,"Down","Ccdc136"
"ENSMUSG00000043773",22.0012721931116,-1.64006149165366,0.454684202618341,9.40271150441977e-06,0.000113733432365961,"Down","1700048O20Rik"
"ENSMUSG00000037101",9.82375710862805,-1.74161440573236,0.64190697171381,7.79416988500739e-05,0.000740343394226263,"Down","Ttc29"
"ENSMUSG00000029848",12.7434643116621,-1.91584337840928,1.10692547076656,0.000370088019822982,0.00287372216777414,"Down","Stra8"
"ENSMUSG00000101959",49.256045214989,-1.96103066449526,0.455431220862989,3.41551260653405e-07,5.69142629531107e-06,"Down","Ldhal6b"
"ENSMUSG00000073643",1165.28937706716,-2.02440779566578,0.114907106595616,4.06862004920757e-71,2.21600297137268e-68,"Down","Wdfy1"
"ENSMUSG00000068048",58.6908970958777,-2.60719664820419,0.326443628468773,4.11149591175468e-18,2.67499817630646e-16,"Down","Rhox9"
"ENSMUSG00000057132",48.3172774790074,-2.68619559427935,0.360052760532142,2.21824289080403e-16,1.22214925512709e-14,"Down","Rpgrip1"
