"SYMBOL","Cluster","ENSEMBL","Sample_DEG","sexBias"
"Cpsf4l",1,"ENSMUSG00000018727","All","unbiased"
"D1Pas1",1,"ENSMUSG00000039224","All","XY"
"Dkkl1",1,"ENSMUSG00000030792","All","XY"
"Dppa2",1,"ENSMUSG00000072419","All","unbiased"
"Fbxo15",1,"ENSMUSG00000034391","All","unbiased"
"Hsf2bp",1,"ENSMUSG00000002076","All","unbiased"
"Rfx2",1,"ENSMUSG00000024206","All","XY"
"Sec1",1,"ENSMUSG00000040364","All","unbiased"
"Stk31",1,"ENSMUSG00000023403","All","unbiased"
"Tcp11",1,"ENSMUSG00000062859","All","XY"
"Tdh",1,"ENSMUSG00000021953","All","unbiased"
"Tdrd12",1,"ENSMUSG00000030491","All","XY"
"Tex19.1",1,"ENSMUSG00000039329","All","unbiased"
"Zp3",1,"ENSMUSG00000004948","All","XX"
"Lrrc34",2,"ENSMUSG00000027702","XY 5CKO and XX 5CHET","XY"
"Phospho1",2,"ENSMUSG00000050860","All","XY"
"Rhox6",2,"ENSMUSG00000006200","All","XX"
"Rhox9",2,"ENSMUSG00000068048","All","unbiased"
"Rpph1",2,"ENSMUSG00000092837","All","XY"
"Stra8",2,"ENSMUSG00000029848","All","XX"
"Zfp42",2,"ENSMUSG00000051176","XY 5CKO and XX 5CHET","unbiased"
"4930519F16Rik",3,"ENSMUSG00000031325","All","XY"
"AU018091",3,"ENSMUSG00000054753","All","unbiased"
"Calcoco2",3,"ENSMUSG00000006056","All","XX"
"Krt42",3,"ENSMUSG00000053654","All","XY"
"Pramel1",3,"ENSMUSG00000041805","All","unbiased"
"Rbmxl2",3,"ENSMUSG00000073894","All","unbiased"
"Sh3rf2",3,"ENSMUSG00000057719","XY 5CKO and XX 5CHET","XY"
"Tcl1",3,"ENSMUSG00000041359","XY 5CKO and XX 5CHET","unbiased"
"Tmem217",3,"ENSMUSG00000091614","All","XY"
"Xkr8",3,"ENSMUSG00000037752","XY 5CKO and XX 5CHET","XY"
"Zbtb32",3,"ENSMUSG00000006310","XY 5CKO and XX 5CHET","XY"
"Cyct",4,"ENSMUSG00000056436","All","unbiased"
"Dazl",4,"ENSMUSG00000010592","All","unbiased"
"Fam178b",4,"ENSMUSG00000046337","All","XY"
"Hesx1",4,"ENSMUSG00000040726","All","XY"
"Hormad1",4,"ENSMUSG00000028109","XY 5CKO and XX 5CKO","unbiased"
"Rhox1",4,"ENSMUSG00000071773","All","unbiased"
"Rhox10",4,"ENSMUSG00000053909","All","XY"
"Sohlh2",4,"ENSMUSG00000027794","XY 5CKO and XX 5CKO","unbiased"
"Stat4",4,"ENSMUSG00000062939","All","XY"
"Tex14",4,"ENSMUSG00000010342","All","unbiased"
"Tex15",4,"ENSMUSG00000009628","All","unbiased"
"Trap1a",4,"ENSMUSG00000051257","All","unbiased"
"Aste1",5,"ENSMUSG00000032567","XY 5CKO and XX 5CKO","XY"
"Bag5",5,"ENSMUSG00000049792","XY 5CKO and XX 5CKO","XY"
"Dnaja4",5,"ENSMUSG00000032285","XY 5CKO and XX 5CKO","unbiased"
"Dppa3",5,"ENSMUSG00000046323","All","unbiased"
"Papolb",5,"ENSMUSG00000074817","XY 5CKO and XX 5CKO","XY"
"Ube2j1",5,"ENSMUSG00000028277","XY 5CKO and XX 5CKO","XY"
