"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"nESC","GO:0051321","meiotic cell cycle","29/131","345/23189",0.0840579710144927,14.879544197367,19.5774062170951,7.85183144787848e-26,8.58205177253118e-23,7.71959007612474e-23,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000010592/ENSMUSG00000025977/ENSMUSG00000037108/ENSMUSG00000022432/ENSMUSG00000078653/ENSMUSG00000021758/ENSMUSG00000072479/ENSMUSG00000060499/ENSMUSG00000009628/ENSMUSG00000029279/ENSMUSG00000030491/ENSMUSG00000022429/ENSMUSG00000070345/ENSMUSG00000058328/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000039329/ENSMUSG00000024033/ENSMUSG00000029423/ENSMUSG00000058741/ENSMUSG00000025480/ENSMUSG00000029848",29
"nESC","GO:0007281","germ cell development","32/131","489/23189",0.065439672801636,11.5838211648636,17.8295536134883,4.3045949684867e-25,2.35246115027798e-22,2.11604826345609e-22,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000010592/ENSMUSG00000027939/ENSMUSG00000023403/ENSMUSG00000020639/ENSMUSG00000021758/ENSMUSG00000072479/ENSMUSG00000062859/ENSMUSG00000029279/ENSMUSG00000030491/ENSMUSG00000022429/ENSMUSG00000031027/ENSMUSG00000018554/ENSMUSG00000029736/ENSMUSG00000058328/ENSMUSG00000028109/ENSMUSG00000045631/ENSMUSG00000006241/ENSMUSG00000027794/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000024266/ENSMUSG00000000365/ENSMUSG00000024033/ENSMUSG00000044595/ENSMUSG00000004633/ENSMUSG00000029423/ENSMUSG00000004948/ENSMUSG00000051176/ENSMUSG00000029769/ENSMUSG00000029848",32
"nESC","GO:0140013","meiotic nuclear division","22/131","218/23189",0.100917431192661,17.8639260452413,18.8561689654235,1.86445323539116e-21,6.7928246209418e-19,6.11017305914156e-19,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000010592/ENSMUSG00000037108/ENSMUSG00000078653/ENSMUSG00000021758/ENSMUSG00000060499/ENSMUSG00000009628/ENSMUSG00000029279/ENSMUSG00000030491/ENSMUSG00000022429/ENSMUSG00000070345/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000039329/ENSMUSG00000025480/ENSMUSG00000029848",22
"nESC","GO:1903046","meiotic cell cycle process","22/131","247/23189",0.0890688259109312,15.766542015638,17.5860425905113,2.91252517650933e-20,7.95847504481175e-18,7.15868030226241e-18,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000010592/ENSMUSG00000037108/ENSMUSG00000078653/ENSMUSG00000021758/ENSMUSG00000060499/ENSMUSG00000009628/ENSMUSG00000029279/ENSMUSG00000030491/ENSMUSG00000022429/ENSMUSG00000070345/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000039329/ENSMUSG00000025480/ENSMUSG00000029848",22
"nESC","GO:0007127","meiosis I","18/131","138/23189",0.130434782608696,23.088947892466,19.6167096827155,9.41263752197913e-20,2.05760256230464e-17,1.850821778006e-17,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000037108/ENSMUSG00000078653/ENSMUSG00000021758/ENSMUSG00000060499/ENSMUSG00000009628/ENSMUSG00000029279/ENSMUSG00000022429/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000039329/ENSMUSG00000025480",18
"nESC","GO:0061982","meiosis I cell cycle process","18/131","145/23189",0.124137931034483,21.9743090286918,19.0962990242981,2.35367071024382e-19,4.28760347716083e-17,3.85671656731181e-17,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000037108/ENSMUSG00000078653/ENSMUSG00000021758/ENSMUSG00000060499/ENSMUSG00000009628/ENSMUSG00000029279/ENSMUSG00000022429/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000039329/ENSMUSG00000025480",18
"nESC","GO:0007286","spermatid development","22/131","299/23189",0.0735785953177258,13.0245347085706,15.7738408371903,1.82652198856552e-18,2.85198361928873e-16,2.56537073281232e-16,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000027939/ENSMUSG00000020639/ENSMUSG00000072479/ENSMUSG00000062859/ENSMUSG00000029279/ENSMUSG00000022429/ENSMUSG00000031027/ENSMUSG00000018554/ENSMUSG00000058328/ENSMUSG00000045631/ENSMUSG00000006241/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000024266/ENSMUSG00000000365/ENSMUSG00000024033/ENSMUSG00000004633/ENSMUSG00000029423/ENSMUSG00000051176/ENSMUSG00000029769",22
"nESC","GO:0048515","spermatid differentiation","22/131","310/23189",0.0709677419354839,12.5623737995568,15.4477705304841,3.95883711043114e-18,5.40876120212655e-16,4.86520244887196e-16,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000027939/ENSMUSG00000020639/ENSMUSG00000072479/ENSMUSG00000062859/ENSMUSG00000029279/ENSMUSG00000022429/ENSMUSG00000031027/ENSMUSG00000018554/ENSMUSG00000058328/ENSMUSG00000045631/ENSMUSG00000006241/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000024266/ENSMUSG00000000365/ENSMUSG00000024033/ENSMUSG00000004633/ENSMUSG00000029423/ENSMUSG00000051176/ENSMUSG00000029769",22
"nESC","GO:0007140","male meiotic nuclear division","13/131","62/23189",0.209677419354839,37.1161044077813,21.4631554320749,2.13166378999147e-17,2.58878724717853e-15,2.32862453783864e-15,"ENSMUSG00000021758/ENSMUSG00000060499/ENSMUSG00000009628/ENSMUSG00000029279/ENSMUSG00000030491/ENSMUSG00000022429/ENSMUSG00000070345/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000040629/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000039329",13
"nESC","GO:0007129","homologous chromosome pairing at meiosis","12/131","60/23189",0.2,35.4030534351145,20.1117871173807,7.02218677199153e-16,7.67525014178674e-14,6.9039183632001e-14,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000037108/ENSMUSG00000009628/ENSMUSG00000022429/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000039329/ENSMUSG00000025480",12
"nESC","GO:0070192","chromosome organization involved in meiotic cell cycle","12/131","75/23189",0.16,28.3224427480916,17.8636038085721,1.22071405064844e-14,1.21294587032613e-12,1.09104968737382e-12,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000037108/ENSMUSG00000009628/ENSMUSG00000022429/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000039329/ENSMUSG00000025480",12
"nESC","GO:0045143","homologous chromosome segregation","12/131","76/23189",0.157894736842105,27.949779027722,17.7374147570005,1.44272284609292e-14,1.31408005898297e-12,1.18202029671122e-12,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000037108/ENSMUSG00000009628/ENSMUSG00000022429/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000039329/ENSMUSG00000025480",12
"nESC","GO:0000280","nuclear division","22/131","465/23189",0.0473118279569892,8.37491586637117,12.1087031554755,1.89043652847889e-14,1.58942086586725e-12,1.42969045959456e-12,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000010592/ENSMUSG00000037108/ENSMUSG00000078653/ENSMUSG00000021758/ENSMUSG00000060499/ENSMUSG00000009628/ENSMUSG00000029279/ENSMUSG00000030491/ENSMUSG00000022429/ENSMUSG00000070345/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000011349/ENSMUSG00000059970/ENSMUSG00000039329/ENSMUSG00000025480/ENSMUSG00000029848",22
"nESC","GO:0045132","meiotic chromosome segregation","12/131","108/23189",0.111111111111111,19.6683630195081,14.6570740153128,1.11383861273162e-12,8.69589716939758e-11,7.82199446835589e-11,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000037108/ENSMUSG00000009628/ENSMUSG00000022429/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000039329/ENSMUSG00000025480",12
"nESC","GO:0070193","synaptonemal complex organization","7/131","31/23189",0.225806451612903,39.971189362226,16.3655444720568,3.66881618232386e-10,2.67334405818665e-08,2.40468372932666e-08,"ENSMUSG00000027855/ENSMUSG00000009628/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000059970/ENSMUSG00000025480",7
"nESC","GO:0007130","synaptonemal complex assembly","6/131","28/23189",0.214285714285714,37.9318429661941,14.7386538405661,9.8534313692985e-09,6.73112530415204e-07,6.05467427560842e-07,"ENSMUSG00000027855/ENSMUSG00000009628/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000025480",6
"nESC","GO:0007141","male meiosis I","6/131","29/23189",0.206896551724138,36.6238483811529,14.4686173615318,1.23665491853806e-08,7.95096368213003e-07,7.1519238013285e-07,"ENSMUSG00000021758/ENSMUSG00000060499/ENSMUSG00000029279/ENSMUSG00000022429/ENSMUSG00000011349/ENSMUSG00000059970",6
"nESC","GO:0010526","negative regulation of transposition, RNA-mediated","6/131","31/23189",0.193548387096774,34.2610194533366,13.9676181804484,1.89916343651703e-08,1.15321424228506e-06,1.03732084778182e-06,"ENSMUSG00000021758/ENSMUSG00000009628/ENSMUSG00000030491/ENSMUSG00000040629/ENSMUSG00000039329/ENSMUSG00000029423",6
"nESC","GO:0032197","transposition, RNA-mediated","6/131","33/23189",0.181818181818182,32.1845940319223,13.5120663900177,2.83055602477763e-08,1.62831459741155e-06,1.46467552750266e-06,"ENSMUSG00000021758/ENSMUSG00000009628/ENSMUSG00000030491/ENSMUSG00000040629/ENSMUSG00000039329/ENSMUSG00000029423",6
"nESC","GO:0032196","transposition","6/131","34/23189",0.176470588235294,31.237988325101,13.2992281703903,3.4212446526216e-08,1.86971020265771e-06,1.68181184502557e-06,"ENSMUSG00000021758/ENSMUSG00000009628/ENSMUSG00000030491/ENSMUSG00000040629/ENSMUSG00000039329/ENSMUSG00000029423",6
"nESC","GO:0048477","oogenesis","9/131","129/23189",0.0697674418604651,12.3499023610865,9.74347343461885,5.13879660002663e-08,2.67462127801386e-06,2.40583259369668e-06,"ENSMUSG00000010592/ENSMUSG00000023403/ENSMUSG00000022429/ENSMUSG00000018554/ENSMUSG00000029736/ENSMUSG00000028109/ENSMUSG00000027794/ENSMUSG00000004948/ENSMUSG00000029848",9
"nESC","GO:0034587","piRNA metabolic process","5/131","21/23189",0.238095238095238,42.1464921846601,14.2185289988338,1.00836656569606e-07,4.95941713166031e-06,4.46101565076393e-06,"ENSMUSG00000023403/ENSMUSG00000021758/ENSMUSG00000030491/ENSMUSG00000040629/ENSMUSG00000029423",5
"nESC","GO:0009566","fertilization","11/131","236/23189",0.0466101694915254,8.25071160564109,8.43865789724236,1.04361019238964e-07,4.95941713166031e-06,4.46101565076393e-06,"ENSMUSG00000009628/ENSMUSG00000030491/ENSMUSG00000030792/ENSMUSG00000009670/ENSMUSG00000045631/ENSMUSG00000060445/ENSMUSG00000040629/ENSMUSG00000001948/ENSMUSG00000033949/ENSMUSG00000004948/ENSMUSG00000029769",11
"nESC","GO:0007292","female gamete generation","10/131","189/23189",0.0529100529100529,9.36588715214669,8.70433229858127,1.25242863776254e-07,5.70376875447688e-06,5.13056292837811e-06,"ENSMUSG00000010592/ENSMUSG00000023403/ENSMUSG00000022429/ENSMUSG00000018554/ENSMUSG00000029736/ENSMUSG00000028109/ENSMUSG00000060445/ENSMUSG00000027794/ENSMUSG00000004948/ENSMUSG00000029848",10
"nESC","GO:0031048","heterochromatin assembly by small RNA","5/131","25/23189",0.2,35.4030534351145,12.972291300414,2.58548896910922e-07,1.13037577729455e-05,1.0167775566939e-05,"ENSMUSG00000021758/ENSMUSG00000009628/ENSMUSG00000030491/ENSMUSG00000040629/ENSMUSG00000029423",5
"nESC","GO:0098813","nuclear chromosome segregation","12/131","326/23189",0.0368098159509202,6.5158994052358,7.55988180122503,3.46807979382468e-07,1.45792739025014e-05,1.31141154956771e-05,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000037108/ENSMUSG00000009628/ENSMUSG00000022429/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000039329/ENSMUSG00000025480",12
"nESC","GO:2000241","regulation of reproductive process","10/131","222/23189",0.045045045045045,7.97366068358435,7.86940035255045,5.55137816338416e-07,2.24728012317736e-05,2.02143750666698e-05,"ENSMUSG00000010592/ENSMUSG00000078653/ENSMUSG00000062859/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000045631/ENSMUSG00000060445/ENSMUSG00000040629/ENSMUSG00000004948/ENSMUSG00000029848",10
"nESC","GO:0007131","reciprocal meiotic recombination","6/131","57/23189",0.105263157894737,18.6331860184813,10.0465766339042,8.30037979428341e-07,3.12838452246612e-05,2.81399445657376e-05,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000078653/ENSMUSG00000022429/ENSMUSG00000009670/ENSMUSG00000039329",6
"nESC","GO:0140527","reciprocal homologous recombination","6/131","57/23189",0.105263157894737,18.6331860184813,10.0465766339042,8.30037979428341e-07,3.12838452246612e-05,2.81399445657376e-05,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000078653/ENSMUSG00000022429/ENSMUSG00000009670/ENSMUSG00000039329",6
"nESC","GO:0007059","chromosome segregation","13/131","431/23189",0.0301624129930394,5.33920759462284,6.85391150606181,1.05179208646305e-06,3.83202916834704e-05,3.44692564475961e-05,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000037108/ENSMUSG00000039224/ENSMUSG00000009628/ENSMUSG00000022429/ENSMUSG00000028109/ENSMUSG00000009670/ENSMUSG00000060445/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000039329/ENSMUSG00000025480",13
"nESC","GO:0035825","homologous recombination","6/131","64/23189",0.09375,16.5951812977099,9.41664114626773,1.66038656409916e-06,5.85420165987221e-05,5.26587793164217e-05,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000078653/ENSMUSG00000022429/ENSMUSG00000009670/ENSMUSG00000039329",6
