ENSEMBL,SYMBOL,sexBias,KDM5C_binding
ENSMUSG00000000103,Zfy2,XY,Unbound
ENSMUSG00000000365,Rnf17,unbiased,Bound
ENSMUSG00000000411,Tssk3,XY,Bound
ENSMUSG00000000811,Txnrd3,XY,Bound
ENSMUSG00000000942,Hoxa4,XY,Bound
ENSMUSG00000001120,Pcbp3,XY,Bound
ENSMUSG00000001558,Klhl10,XY,Unbound
ENSMUSG00000001829,Clpb,XY,Unbound
ENSMUSG00000001948,Spa17,XY,Unbound
ENSMUSG00000002076,Hsf2bp,unbiased,Bound
ENSMUSG00000002190,Clgn,XY,Unbound
ENSMUSG00000002228,Ppm1j,XY,Unbound
ENSMUSG00000002319,Ipo4,unbiased,Bound
ENSMUSG00000002409,Dyrk1b,unbiased,Unbound
ENSMUSG00000002768,Mea1,unbiased,Bound
ENSMUSG00000003153,Slc2a3,XY,Bound
ENSMUSG00000003341,Atp8b3,XY,Unbound
ENSMUSG00000003345,Csnk1g2,unbiased,Unbound
ENSMUSG00000003354,Ccdc65,XY,Unbound
ENSMUSG00000003436,Dll3,XY,Bound
ENSMUSG00000003604,Aven,unbiased,Bound
ENSMUSG00000004032,Gstm5,XY,Bound
ENSMUSG00000004070,Hmox2,unbiased,Bound
ENSMUSG00000004371,Il11,XY,Unbound
ENSMUSG00000004542,Psg19,XY,Unbound
ENSMUSG00000004633,Chn2,XY,Bound
ENSMUSG00000004948,Zp3,XX,Unbound
ENSMUSG00000005131,4930550C14Rik,XY,Unbound
ENSMUSG00000005474,Myl10,XY,Unbound
ENSMUSG00000005493,Msh4,unbiased,Bound
ENSMUSG00000005983,1700037C18Rik,XY,Unbound
ENSMUSG00000006056,Calcoco2,XX,Unbound
ENSMUSG00000006200,Rhox6,XX,Unbound
ENSMUSG00000006241,Ccdc159,unbiased,Unbound
ENSMUSG00000006310,Zbtb32,XY,Bound
ENSMUSG00000007033,Hspa1l,XY,Unbound
ENSMUSG00000007107,Atp1a4,XY,Unbound
ENSMUSG00000007591,Tssk4,XY,Unbound
ENSMUSG00000007888,Crlf1,XY,Unbound
ENSMUSG00000008028,1700008O03Rik,XY,Unbound
ENSMUSG00000008307,1700109H08Rik,XY,Unbound
ENSMUSG00000008438,Adam21,XY,Unbound
ENSMUSG00000008482,Rnf151,XY,Unbound
ENSMUSG00000008813,Tppp2,XY,Unbound
ENSMUSG00000009093,Gstt4,XY,Unbound
ENSMUSG00000009596,Taf7l,unbiased,Bound
ENSMUSG00000009628,Tex15,unbiased,Bound
ENSMUSG00000009670,Tex11,unbiased,Bound
ENSMUSG00000009734,Pou6f2,XY,Unbound
ENSMUSG00000009941,Nxf2,XY,Unbound
ENSMUSG00000010044,Zmynd10,XY,Unbound
ENSMUSG00000010342,Tex14,unbiased,Unbound
ENSMUSG00000010592,Dazl,unbiased,Bound
ENSMUSG00000010760,Phlda2,XX,Unbound
ENSMUSG00000010796,Asz1,unbiased,Unbound
ENSMUSG00000011349,Dmrtc2,unbiased,Unbound
ENSMUSG00000011486,Slc25a41,XY,Unbound
ENSMUSG00000012042,4930579F01Rik,XY,Unbound
ENSMUSG00000012126,Ubxn11,XY,Unbound
ENSMUSG00000012211,Tex22,XY,Unbound
ENSMUSG00000012396,Nanog,unbiased,Unbound
ENSMUSG00000012609,Ttll5,XY,Unbound
ENSMUSG00000013091,Tmem190,XY,Unbound
ENSMUSG00000013158,4933405L10Rik,XY,Unbound
ENSMUSG00000013353,4931406B18Rik,XY,Unbound
ENSMUSG00000013668,4933402N03Rik,XY,Unbound
ENSMUSG00000013822,Elof1,unbiased,Unbound
ENSMUSG00000014609,Chrne,XY,Unbound
ENSMUSG00000014747,Ankrd53,XY,Unbound
