PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_unbound_germDEGs_HOMER.txt -m ../../HOMER/motifs/ebox.motif -size -300,50)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E-box(bHLH)/Promoter/Homer Distance From Peak(sequence,strand,conservation)
NM_008955	chrX	37826755	37827105	+	0	NA	promoter-TSS (NM_008955)	promoter-TSS (NM_008955)	0	NM_008955	19202		NM_008955	ENSMUSG00000006200	Rhox6	Psx1	reproductive homeobox 6	protein-coding	0.045714	0.558405	
NR_002142	chr14	50807721	50808071	-	0	NA	promoter-TSS (NR_002142)	promoter-TSS (NR_002142)	0	NR_002142	85029		NR_002142	ENSMUSG00000092837	Rpph1	Gm24821|H1RNA|Rmrp5|Rpr	ribonuclease P RNA component H1	ncRNA	0.071429	0.566952	
NM_001033461	chr5	123489025	123489375	+	0	NA	promoter-TSS (NM_001289821)	promoter-TSS (NM_001289821)	0	NM_001033461	381741		NM_001033461	ENSMUSG00000063409	Lrrc43	Gm1061	leucine rich repeat containing 43	protein-coding	0.031429	0.507123	
NM_001033155	chr3	137867375	137867725	+	0	NA	promoter-TSS (NM_001033155)	promoter-TSS (NM_001033155)	0	NM_001033155	70604		NM_001033155	ENSMUSG00000074212	Dnajb14	5730496F10Rik	DnaJ heat shock protein family (Hsp40) member B14	protein-coding	0.085714	0.698006	
NM_011635	chrX	139333383	139333733	+	0	NA	promoter-TSS (NM_011635)	promoter-TSS (NM_011635)	0	NM_011635	22037		NM_011635	ENSMUSG00000051257	Trap1a	Tra-P1A	tumor rejection antigen P1A	protein-coding	0.031429	0.464387	
NM_013687	chr17	28080534	28080884	-	0	NA	promoter-TSS (NM_001357681)	promoter-TSS (NM_001357681)	0	NM_013687	21463		NM_013687	ENSMUSG00000062859	Tcp11	D17Ken1|Tcp-11	t-complex protein 11	protein-coding	0.068571	0.672365	
NM_019464	chr3	144720285	144720635	-	0	NA	promoter-TSS (NM_019464)	promoter-TSS (NM_019464)	0	NM_019464	54673		NM_019464	ENSMUSG00000037062	Sh3glb1	Bif-1|mKIAA0491	SH3-domain GRB2-like B1 (endophilin)	protein-coding	0.097143	0.720798	
NM_010264	chr2	38926411	38926761	-	0	NA	promoter-TSS (NM_010264)	promoter-TSS (NM_010264)	0	NM_010264	14536		NM_010264	ENSMUSG00000063972	Nr6a1	1700113M01Rik|Gcnf|NCNF|RTR	nuclear receptor subfamily 6, group A, member 1	protein-coding	0.040000	0.461538	
NM_026682	chr11	113709476	113709826	-	0	NA	promoter-TSS (NM_001164532)	promoter-TSS (NM_001164532)	0	NM_026682	52670		NM_026682	ENSMUSG00000018727	Cpsf4l	0610010C04Rik|1500000C01Rik|D11Ertd636e	cleavage and polyadenylation specific factor 4-like	protein-coding	0.022857	0.601140	
NM_007957	chrX	137120276	137120626	-	0	NA	promoter-TSS (NM_007957)	promoter-TSS (NM_007957)	0	NM_007957	13984		NM_007957	ENSMUSG00000023443	Esx1	Spx1	extraembryonic, spermatogenesis, homeobox 1	protein-coding	0.074286	0.547009	
