"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",7078344,7078900,557,"*","Promoter",1,7079001,7163709,84709,1,"319263","uc007agb.1",-101,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",10983679,10984015,337,"*","Promoter",1,10983546,11293763,310218,1,"109294","uc007ahs.2",133,"ENSMUSG00000048960","Prex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
"chr1",14745253,14745982,730,"*","Promoter",1,14743429,14746047,2619,2,"17681","uc007aja.1",65,"ENSMUSG00000025930","Msc","musculin"
"chr1",15795833,15796099,267,"*","Promoter",1,15795739,15833510,37772,1,"21749","uc007aji.1",94,"ENSMUSG00000025925","Terf1","telomeric repeat binding factor 1"
"chr1",21069538,21069910,373,"*","Promoter",1,20991459,21069306,77848,2,"170829","uc007alg.1",-232,"ENSMUSG00000041779","Tram2","translocating chain-associating membrane protein 2"
"chr1",30930794,30931097,304,"*","Promoter",1,30872160,30930717,58558,2,"213109","uc007ang.1",-77,"ENSMUSG00000048874","Phf3","PHD finger protein 3"
"chr1",33870776,33871762,987,"*","Promoter",1,33818598,33871272,52675,2,"98403","uc007anz.1",0,"ENSMUSG00000042197","Zfp451","zinc finger protein 451"
"chr1",36603676,36604075,400,"*","Promoter",1,36595018,36604046,9029,2,"109346","uc007aqo.1",0,"ENSMUSG00000079610","Ankrd39","ankyrin repeat domain 39"
"chr1",39707277,39707829,553,"*","Promoter",1,39675251,39708027,32777,2,"263764","uc007atm.1",198,"ENSMUSG00000050967","Creg2","cellular repressor of E1A-stimulated genes 2"
"chr1",53353558,53354292,735,"*","Promoter",1,53246032,53353840,107809,2,"227099","uc007ayv.1",0,"ENSMUSG00000026098","Pms1","PMS1 homolog 1, mismatch repair system component"
"chr1",55294078,55294348,271,"*","Promoter",1,55294021,55296902,2882,1,"212679","uc007baj.1",57,"ENSMUSG00000046994","Mars2","methionine-tRNA synthetase 2 (mitochondrial)"
"chr1",57434579,57435283,705,"*","Promoter",1,57434464,57442266,7803,1,"73467","uc007bay.2",115,"ENSMUSG00000038323","1700066M21Rik","RIKEN cDNA 1700066M21 gene"
"chr1",58026372,58026965,594,"*","Promoter",1,58011945,58026928,14984,2,"51960","uc007bbf.2",0,"ENSMUSG00000054770","Kctd18","potassium channel tetramerisation domain containing 18"
"chr1",64578846,64579258,413,"*","Promoter",1,64579378,64651122,71745,1,"12912","uc007bgr.1",-120,"ENSMUSG00000025958","Creb1","cAMP responsive element binding protein 1"
"chr1",71603560,71604400,841,"*","Promoter",1,71603730,71609772,6043,1,"108147","uc007bjr.2",0,"ENSMUSG00000026192","Atic","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"chr1",72757545,72758109,565,"*","Promoter",1,72757834,72760387,2554,1,"19981","uc007bkv.2",0,"ENSMUSG00000046330","Rpl37a","ribosomal protein L37a"
"chr1",75137979,75138375,397,"*","Promoter",1,75131789,75138161,6373,2,"69171","uc007bnp.1",0,"ENSMUSG00000033159","Cnppd1","cyclin Pas1/PHO80 domain containing 1"
"chr1",75176334,75177025,692,"*","Promoter",1,75168215,75176857,8643,2,"74104","uc007bnx.1",0,"ENSMUSG00000026198","Abcb6","ATP-binding cassette, sub-family B (MDR/TAP), member 6"
"chr1",75215954,75216401,448,"*","Promoter",1,75211549,75215828,4280,2,"22145","uc007bok.1",-126,"ENSMUSG00000026202","Tuba4a","tubulin, alpha 4A"
"chr1",75501793,75503006,1214,"*","Promoter",1,75482400,75503027,20628,2,"98733","uc007bpn.2",21,"ENSMUSG00000026211","Obsl1","obscurin-like 1"
"chr1",82312796,82313219,424,"*","Promoter",1,82313154,82441941,128788,1,"76867","uc007brq.2",0,"ENSMUSG00000026142","Rhbdd1","rhomboid domain containing 1"
"chr1",87942753,87943155,403,"*","Promoter",1,87942438,87952031,9594,1,"72792","uc011wog.1",315,"ENSMUSG00000026227","2810459M11Rik","RIKEN cDNA 2810459M11 gene"
"chr1",88422427,88422844,418,"*","Promoter",1,88423311,88427273,3963,1,"19231","uc007bvp.1",-467,"ENSMUSG00000026238","Ptma","prothymosin alpha"
"chr1",88600071,88600469,399,"*","Promoter",1,88600379,88776611,176233,1,"208718","uc011wol.1",0,"ENSMUSG00000053333","Dis3l2","DIS3 like 3'-5' exoribonuclease 2"
"chr1",90101840,90102591,752,"*","Promoter",1,90101307,90102323,1017,2,"15504","uc007byj.2",0,"ENSMUSG00000081984","Dnajb3","DnaJ heat shock protein family (Hsp40) member B3"
