chr,start,end,strand,pvalue,qvalue,meth.diff
chr1,5307240,5308239,*,3.85437620039368e-05,0.000826419646974933,-37.9227053140097
chr1,5587967,5588966,*,5.85815708400592e-08,2.94974677221816e-06,28.8105867346939
chr1,9942050,9943049,*,7.99297974533823e-09,5.04673272223988e-07,-30.188607786699
chr1,17726546,17727545,*,7.0196187841322e-08,3.4605756573934e-06,-31.9613314729918
chr1,36682684,36683683,*,4.31331458479565e-46,9.08758284912691e-43,-29.8009367681499
chr1,54154597,54155596,*,0.000383245557578626,0.00533210381442605,30.5555555555556
chr1,66435583,66436582,*,1.92074003344992e-07,8.65857599176748e-06,31.2187812187812
chr1,72640689,72641688,*,5.04103595550007e-42,8.07180453749253e-39,-29.1567852437418
chr1,74235585,74236584,*,3.38697078766799e-09,2.37863303154394e-07,-27.3929049531459
chr1,77027293,77028292,*,2.04332281922421e-09,1.51472598436145e-07,33.7964666912035
chr1,79513365,79514364,*,1.62901118264374e-05,0.000402035187822643,31.2695780357472
chr1,87544193,87545192,*,3.25551406417575e-06,0.000102211612878445,28.7738577212261
chr1,92848272,92849271,*,9.64272241314692e-07,3.52836246304958e-05,-28.7390575526169
chr1,100252549,100253548,*,0.000260627357399158,0.0038929251796521,46.4895635673624
chr1,100596576,100597575,*,5.33714727483182e-05,0.00108893268664265,35.7466063348416
chr1,101155310,101156309,*,5.40967793987425e-07,2.15046703880158e-05,85.4545454545455
chr1,101371129,101372128,*,4.51980141809859e-07,1.83312910015559e-05,56.0891938250429
chr1,123373679,123374678,*,5.47157627177862e-05,0.0011112625623783,37.4207188160677
chr1,124845540,124846539,*,1.64481000842164e-05,0.000405434372664772,25.6377551020408
chr1,130731477,130732476,*,1.31792107737427e-31,1.12248978126233e-28,47.5126017197641
chr1,134833643,134834642,*,2.361465458604e-15,4.82299016637081e-13,32.3232323232323
chr1,135231496,135232495,*,6.88684202788257e-06,0.000194006773716441,-25.5123317049923
chr1,149411680,149412679,*,0.000527784788346081,0.00685512036766664,36.046511627907
chr1,153185948,153186947,*,9.08814227141469e-15,1.68433375625017e-12,-30.2331100680344
chr1,154884002,154885001,*,6.83569454505489e-32,6.08080370921535e-29,45.9179133103184
chr1,155817995,155818994,*,6.48386218956132e-15,1.23596260542333e-12,87.4509803921569
chr1,155882047,155883046,*,2.3475648958004e-15,4.81918774318835e-13,67.4347158218126
chr1,156310228,156311227,*,1.64060683518311e-06,5.57506681308304e-05,-28.5172457681049
chr1,164151718,164152717,*,0.00033347734636982,0.00476249013955406,32.3017408123791
chr1,169018590,169019589,*,0.000446702147606427,0.00601470015188185,41.7417417417417
chr1,169347133,169348132,*,3.41565942346154e-13,5.06409269623933e-11,56.876026272578
chr1,170976048,170977047,*,1.48832509821755e-18,4.16631995061659e-16,38.4797617436036
chr1,171018421,171019420,*,1.14561837205394e-05,0.000301509920346162,25.833047062865
chr1,171027466,171028465,*,6.87145430967918e-13,9.61774991715625e-11,50.6031666247801
chr1,171652536,171653535,*,4.56407085162832e-10,3.82221692622425e-08,71.9529411764706
chr1,173097749,173098748,*,4.36282805828164e-09,2.97017215108143e-07,87.8787878787879
chr1,173598775,173599774,*,4.14881803129419e-08,2.17381148351889e-06,47.9813664596273
chr1,173741248,173742247,*,3.68153029490738e-09,2.56301639460048e-07,31.7476383265857
chr1,173766444,173767443,*,1.19013980334394e-08,7.15867586355136e-07,40.6825084866893
chr1,173831755,173832754,*,3.50905933356863e-18,9.42747291844654e-16,45.8943439563595
chr1,174096392,174097391,*,1.7083749345309e-05,0.000419552619216383,55.8904109589041
chr1,174120663,174121662,*,1.26116956749159e-05,0.000328039176496702,43.2321152856408
chr1,175380177,175381176,*,1.27410411956093e-16,2.96529102636488e-14,67.2033392963626
chr1,176178702,176179701,*,1.21963273025013e-31,1.06135846802161e-28,77.5466062416315
chr1,183917631,183918630,*,2.73653212265336e-06,8.80584466826909e-05,25.9523809523809
chr1,186966917,186967916,*,3.48809360152534e-156,4.65433593553191e-152,-60.0321135319116
chr1,186967104,186968103,*,1.08697478635731e-198,4.35121277159613e-194,-62.8995989265387
chr1,191097348,191098347,*,2.32993008795651e-15,4.80764077752433e-13,-29.6187924994849
chr2,9240333,9241332,*,0.000465973973081578,0.00621564947325238,28.0846063454759
chr2,15342126,15343125,*,0.000145914216325402,0.00243515442447482,-62.5
chr2,24367081,24368080,*,1.360749265691e-13,2.17885811451322e-11,-26.8233082706767
chr2,28323551,28324550,*,2.24950978111209e-06,7.460560663573e-05,-31.3090418353576
chr2,36928398,36929397,*,1.91602385673566e-05,0.000461488351181664,-35.7859531772575
chr2,38822758,38823757,*,1.60279469001656e-16,3.64549139511022e-14,32.4132450331126
chr2,51544476,51545475,*,3.08977150308312e-09,2.17755372076495e-07,-33.2680023228804
chr2,51731510,51732509,*,5.24606371702902e-05,0.00107363228087278,-31.9250369883281
chr2,57079249,57080248,*,8.93025766726444e-08,4.32787583828687e-06,-39.1322033898305
chr2,66408995,66409994,*,5.60324547294733e-08,2.83565907720809e-06,33.309742863883
chr2,71537392,71538391,*,7.4133966082336e-37,8.72829001769719e-34,41.370722403493
chr2,71718918,71719917,*,5.52786473387766e-21,2.06806640629872e-18,31.7868970874845
chr2,77314252,77315251,*,9.76660496267786e-25,5.43002683305019e-22,-34.2718226161302
chr2,78237048,78238047,*,1.16232023524251e-06,4.12484419911018e-05,-27.9269406392694
chr2,85914694,85915693,*,0.000121237961272859,0.00210441837595309,-61.5384615384615
chr2,86167023,86168022,*,8.34984757198689e-05,0.0015633697227202,-28.0661907852044
chr2,86705249,86706248,*,0.000652344196351989,0.00810228187032745,31.5789473684211
chr2,89530988,89531987,*,3.00228050232921e-05,0.000671411978544084,-29.6296296296296
chr2,92914599,92915598,*,9.36439897414824e-11,9.18778017769139e-09,-30.1317920022956
chr2,104040170,104041169,*,2.8958294500092e-13,4.3743946008449e-11,-25.2685333148058
chr2,110314061,110315060,*,8.84924493902756e-08,4.29381291457302e-06,-26.3469594106601
chr2,110720841,110721840,*,1.42126217732674e-06,4.93441578969667e-05,-29.0117755714616
chr2,111776930,111777929,*,2.70284659494058e-12,3.43480189417613e-10,-56.2475518997258
chr2,128423155,128424154,*,1.56126207103177e-06,5.35289946975621e-05,-25.1842751842752
chr2,141126781,141127780,*,1.79970257318662e-09,1.35419110127305e-07,-27.1187813968563
chr2,144931179,144932178,*,6.15035922748111e-06,0.000176362365235259,25.1564455569462
chr2,145877787,145878786,*,2.67462002416913e-12,3.40975593480754e-10,-47.531494722506
chr2,146542432,146543431,*,5.86568841472056e-08,2.94982853280659e-06,-38.2352941176471
chr2,147402763,147403762,*,5.42710261407912e-10,4.47937214358901e-08,-30.5026455026455
chr2,150181256,150182255,*,5.07422287541002e-12,6.15526066460412e-10,-35.1515151515151
chr2,153779432,153780431,*,3.7206025729479e-06,0.000114215893346338,-26.4109697933227
chr2,154651206,154652205,*,5.48612837059547e-14,9.30560926338836e-12,-32.6855895196507
chr2,156392480,156393479,*,7.98891155253921e-14,1.32148761512317e-11,-36.0430107526882
chr2,156447109,156448108,*,3.49081471394816e-08,1.87066941787911e-06,-33.2480818414322
chr2,156455152,156456151,*,1.390838632327e-10,1.31002223054243e-08,-28.5978249392884
chr2,156571293,156572292,*,4.6739814418441e-20,1.59916019905846e-17,-36.395474137931
chr2,158379035,158380034,*,2.27624984136878e-05,0.000533445111064343,-27.7529595711414
chr2,175175372,175176371,*,1.58655912003145e-10,1.4701558059177e-08,-27.5988869012125
chr2,177172371,177173370,*,1.42099737125972e-10,1.33528670751054e-08,37.3109243697479
chr2,177397821,177398820,*,4.39279944672769e-21,1.65892350655345e-18,-39.0767832485624
chr2,177758789,177759788,*,4.44079645528933e-13,6.53556011833327e-11,-25.4378326076439
chr2,181714517,181715516,*,0.000118952702396469,0.00207573424192162,-33.5858585858586
chr3,12630761,12631760,*,0.000207472025229601,0.00324929802912285,27.2486772486772
chr3,15574566,15575565,*,1.59503231014749e-06,5.44330065849983e-05,47.0588235294118
chr3,17789422,17790421,*,0.000176534320393066,0.0028312317458863,25.3194805194805
chr3,33282619,33283618,*,2.56174266586237e-08,1.42032965334516e-06,-42.4105461393597
chr3,37063028,37064027,*,2.89425600006372e-33,2.69438304553924e-30,-46.984513835999
chr3,38613748,38614747,*,4.08384204402608e-05,0.000869102483078105,-44.1576086956522
chr3,41555232,41556231,*,6.77304038221158e-12,7.97435559994991e-10,-27.0845313398505
chr3,95559178,95560177,*,4.60559531291588e-35,5.12122814977589e-32,-25.0912859914039
chr3,98448477,98449476,*,2.04822522633965e-07,9.13045087853828e-06,33.4829931972789
chr3,99180782,99181781,*,1.71687551245768e-10,1.57270844824192e-08,51.2743926722421
chr3,100007861,100008860,*,1.41196498052849e-06,4.91065532229686e-05,25.802538260545
chr3,100413061,100414060,*,3.48521538892887e-05,0.000761544005568905,42.7536231884058
chr3,100437335,100438334,*,5.43460616121414e-05,0.00110543658330267,37.9247572815534
chr3,105800837,105801836,*,3.41488303378619e-13,5.06409269623933e-11,-34.9263272783971
chr3,106825788,106826787,*,9.35492893895264e-06,0.00025337100213085,27.5499092558984
chr3,108165944,108166943,*,0.000283314621918823,0.00416497307384343,29.953560371517
chr3,116253004,116254003,*,0.000131539698823444,0.00223782317072934,28.0225988700565
chr3,121758147,121759146,*,4.55694742976951e-10,3.82221692622425e-08,25.207887859349
chr3,127780028,127781027,*,8.65258103235903e-19,2.50990589794302e-16,-25.0339535620938
chr3,129835385,129836384,*,5.15372368733076e-08,2.634815555287e-06,28.335308056872
chr3,139205195,139206194,*,8.8934182595449e-45,1.61821747677251e-41,-33.3034872008058
chr3,159839173,159840172,*,2.46610350792208e-11,2.66089808918249e-09,-25.274274240962
chr4,3871606,3872605,*,7.82777063413589e-11,7.79476253152218e-09,-28.0265682656827
chr4,12113785,12114784,*,5.10799040473398e-18,1.33644008171836e-15,-26.0506146059291
chr4,26593668,26594667,*,4.02516581791822e-06,0.000122438707664753,47.9757085020243
chr4,36644954,36645953,*,0.000288901637113123,0.00423311588841851,26.201448321264
chr4,43663544,43664543,*,2.14043967681887e-10,1.91256334937486e-08,-46.8322787282244
chr4,55465315,55466314,*,8.35765226368439e-09,5.26039107406169e-07,-48.5743730676743
chr4,57567680,57568679,*,6.35147740732582e-10,5.18883102284593e-08,-28.7234801212337
chr4,58206360,58207359,*,9.39104591016474e-09,5.84647155549418e-07,-25.2997312476866
chr4,62938842,62939841,*,5.27649105826173e-08,2.68728365599125e-06,34.1833508956797
chr4,71130634,71131633,*,6.04641679695269e-07,2.37295094096117e-05,35.9213250517598
chr4,87431773,87432772,*,2.75497617824002e-11,2.94874417542711e-09,-25.6700494405412
chr4,88781632,88782631,*,2.30549592506638e-07,1.00663475963272e-05,29.3025246041934
chr4,100527302,100528301,*,1.36394984718444e-20,4.91888051277568e-18,27.3159403461664
chr4,127108072,127109071,*,2.69448959122222e-14,4.73077740157111e-12,-47.2553268327916
chr4,127357682,127358681,*,4.52932383625756e-09,3.07828572497776e-07,-26.033317617476
chr4,133601669,133602668,*,2.49050867157491e-16,5.59528851172806e-14,-28.2538552649237
chr4,137387883,137388882,*,1.52265086998062e-69,5.54113205275378e-66,-29.9511651719909
chr4,138972389,138973388,*,1.46941678466906e-34,1.50824272653344e-31,-32.588005962619
chr4,140957403,140958402,*,8.67496427712388e-25,4.89102853600782e-22,25.5967261904762
chr4,144685869,144686868,*,2.28007376999241e-05,0.000533445111064343,31.986531986532
chr4,145314665,145315664,*,6.15678047155658e-12,7.33508652922897e-10,-26.5353460304804
chr4,145640858,145641857,*,1.66580667867228e-24,8.66013623520725e-22,-32.2861890154835
chr4,145836720,145837719,*,3.39739292212615e-72,1.51110317659467e-68,-36.1115522059492
chr4,146474833,146475832,*,7.63511510411664e-30,5.9928894017996e-27,-28.5096870020561
chr4,146932243,146933242,*,3.41202753202908e-10,2.93731433168825e-08,-31.1599752032965
chr4,146941977,146942976,*,1.12695364800086e-06,4.01714166796467e-05,-26.8785197103781
chr4,146971477,146972476,*,1.75497106566865e-09,1.32301963566438e-07,-26.3550600343053
chr4,147642014,147643013,*,1.17920646961006e-08,7.13054482099106e-07,-56.8627450980392
chr4,147868317,147869316,*,1.74582455426126e-135,1.74715508418671e-131,36.1818930251026
chr4,147868480,147869479,*,4.43094222073816e-134,3.54745530863542e-130,38.0878927199782
chr4,154836960,154837959,*,1.11188572153873e-07,5.29242860039272e-06,-41.3412563667233
chr4,156022659,156023658,*,3.78297559863541e-05,0.00081416315797507,-27.8868813825609
chr4,156058915,156059914,*,7.51873139493425e-12,8.7748823085931e-10,-28.9103758931345
chr4,156254002,156255001,*,1.12513624934377e-10,1.06982778104126e-08,29.617676266137
chr5,3844674,3845673,*,4.08251901637324e-15,8.05050323293499e-13,26.5178571428571
chr5,7261900,7262899,*,2.27944599034718e-05,0.000533445111064343,30.5185185185185
chr5,13768163,13769162,*,1.3866572175751e-05,0.000354687289061868,36.958041958042
chr5,22404219,22405218,*,1.24024035754076e-06,4.36269093506282e-05,43.1818181818182
