PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_bound_germDEGS_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_033077	chr1	186967116	186967716	+	0	NA	promoter-TSS (NM_033077)	promoter-TSS (NM_033077)	0	NM_033077	110957		NM_033077	ENSMUSG00000039224	D1Pas1	DDX3XL|Pl10	DNA segment, Chr 1, Pasteur Institute 1	protein-coding	0.076667	0.587354	-147(GCGGGA,-,0.00)
NM_054103	chr7	109438753	109439353	-	0	NA	promoter-TSS (NM_001355145)	promoter-TSS (NM_001355145)	0	NM_054103	117229		NM_054103	ENSMUSG00000031027	Stk33	4921505G21Rik	serine/threonine kinase 33	protein-coding	0.096667	0.668885	186(GCGGGA,-,0.00)
NM_029916	chr6	49395304	49395904	+	0	NA	promoter-TSS (NM_029916)	promoter-TSS (NM_029916)	0	NM_029916	77485		NM_029916	ENSMUSG00000023403	Stk31	C330007K24Rik	serine threonine kinase 31	protein-coding	0.078333	0.653910	
NM_009337	chr12	105222437	105223037	-	0	NA	promoter-TSS (NM_001289468)	promoter-TSS (NM_001289468)	0	NM_009337	21432		NM_009337	ENSMUSG00000041359	Tcl1	Tcl1a	T cell lymphoma breakpoint 1	protein-coding	0.031667	0.569052	
NM_009989	chr2	76360153	76360753	-	0	NA	promoter-TSS (NM_009989)	promoter-TSS (NM_009989)	0	NM_009989	13067		NM_009989	ENSMUSG00000056436	Cyct	T-Cc	cytochrome c, testis	protein-coding	0.025000	0.535774	-23(GCGGGA,-,0.00)
NM_010059	chr15	79604809	79605409	-	0	NA	promoter-TSS (NM_001278226)	promoter-TSS (NM_001278226)	0	NM_010059	13404		NM_010059	ENSMUSG00000022429	Dmc1	Dmc1h|Lim15|Mei11|sgdp	DNA meiotic recombinase 1	protein-coding	0.073333	0.633943	-240(TCCCGC,+,0.00),-13(TCCCGC,+,0.00),170(GCGGGA,-,0.00)
NM_153104	chr11	95824200	95824800	+	0	NA	promoter-TSS (NM_153104)	promoter-TSS (NM_153104)	0	NM_153104	237928		NM_153104	ENSMUSG00000050860	Phospho1	D11Moh36|Phospo1	phosphatase, orphan 1	protein-coding	0.101667	0.703827	-143(TCCCGC,+,0.00)
NM_001033043	chr14	56402397	56402997	+	0	NA	promoter-TSS (NM_001033043)	promoter-TSS (NM_001033043)	0	NM_001033043	30054		NM_001033043	ENSMUSG00000000365	Rnf17	MMIP-2|Mmip2|TDRD4	ring finger protein 17	protein-coding	0.050000	0.590682	
NM_001111119	chr14	50795428	50796028	-	0	NA	promoter-TSS (NM_001111119)	promoter-TSS (NM_001111119)	0	NM_001111119	239083		NM_001111119	ENSMUSG00000071470	Ccnb1ip1	Gm288|Hei10|mei4	cyclin B1 interacting protein 1	protein-coding	0.031667	0.490849	-21(TCCCGC,+,0.00)
NM_031870	chr3	153905838	153906438	-	0	NA	promoter-TSS (NM_031870)	promoter-TSS (NM_031870)	0	NM_031870	55993		NM_031870	ENSMUSG00000005493	Msh4	4930485C04Rik|mMsh4	mutS homolog 4	protein-coding	0.043333	0.515807	209(TCCCGC,+,0.00)
NM_026262	chr11	31965333	31965933	+	0	NA	promoter-TSS (NM_026262)	promoter-TSS (NM_026262)	0	NM_026262	67592		NM_026262	ENSMUSG00000020299	4930524B15Rik	-	RIKEN cDNA 4930524B15 gene	protein-coding	0.060000	0.673877	-4(TCCCGC,+,0.00)
NM_025728	chr1	69951315	69951915	+	0	NA	promoter-TSS (NM_025728)	promoter-TSS (NM_025728)	0	NM_025728	66722		NM_025728	ENSMUSG00000053153	Spag16	4921511D23Rik|4930524F24Rik|4930585K05Rik|Pf20|Wdr29	sperm associated antigen 16	protein-coding	0.016667	0.480865	
NM_021397	chr7	30592642	30593242	-	0	NA	promoter-TSS (NM_021397)	promoter-TSS (NM_021397)	0	NM_021397	58206		NM_021397	ENSMUSG00000006310	Zbtb32	4930524C15Rik|FAXF|FAZF|PLZP|Rog|Tzfp	zinc finger and BTB domain containing 32	protein-coding	0.010000	0.510815	
NM_028735	chr9	119937306	119937906	+	0	NA	promoter-TSS (NM_028976)	promoter-TSS (NM_028976)	0	NM_028735	74052		NM_028735	ENSMUSG00000032514	Ttc21a	4921538N17Rik|Thm2	tetratricopeptide repeat domain 21A	protein-coding	0.058333	0.657238	-78(TCCCGC,+,0.00),79(TCCCGC,+,0.00)
NM_028966	chr14	46882665	46883265	+	0	NA	promoter-TSS (NM_001037221)	promoter-TSS (NM_001037221)	0	NM_028966	74480		NM_028966	ENSMUSG00000021838	Samd4	1700024G08Rik|1700111L17Rik|4933436G17Rik|Samd4a|Smaug|Smaug1|sunk	sterile alpha motif domain containing 4	protein-coding	0.096667	0.697171	
