PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_bound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_026619	chr19	47865494	47866094	+	0	NA	promoter-TSS (NM_026619)	promoter-TSS (NM_026619)	0	NM_026619	68214		NM_026619	ENSMUSG00000025069	Gsto2	1700020F09Rik|4930425C18Rik|GSTO 2-2	glutathione S-transferase omega 2	protein-coding	0.068333	0.552413	
NM_029458	chr11	4440782	4441382	-	0	NA	promoter-TSS (NM_029458)	promoter-TSS (NM_029458)	0	NM_029458	75828		NM_029458	ENSMUSG00000020419	Hormad2	4930529M09Rik	HORMA domain containing 2	protein-coding	0.050000	0.577371	
NM_009554	chr4	62208246	62208846	-	0	NA	promoter-TSS (NM_001348347)	promoter-TSS (NM_001348347)	0	NM_009554	22696		NM_009554	ENSMUSG00000028389	Zfp37	Tzn|Zfp-37	zinc finger protein 37	protein-coding	0.078333	0.615641	-128(TCCCGC,+,0.00)
NM_010059	chr15	79604809	79605409	-	0	NA	promoter-TSS (NM_001278226)	promoter-TSS (NM_001278226)	0	NM_010059	13404		NM_010059	ENSMUSG00000022429	Dmc1	Dmc1h|Lim15|Mei11|sgdp	DNA meiotic recombinase 1	protein-coding	0.073333	0.633943	-240(TCCCGC,+,0.00),-13(TCCCGC,+,0.00),170(GCGGGA,-,0.00)
NM_028735	chr9	119937306	119937906	+	0	NA	promoter-TSS (NM_028976)	promoter-TSS (NM_028976)	0	NM_028735	74052		NM_028735	ENSMUSG00000032514	Ttc21a	4921538N17Rik|Thm2	tetratricopeptide repeat domain 21A	protein-coding	0.058333	0.657238	-78(TCCCGC,+,0.00),79(TCCCGC,+,0.00)
NM_011849	chr14	30951077	30951677	+	0	NA	promoter-TSS (NM_011849)	promoter-TSS (NM_011849)	0	NM_011849	23955		NM_011849	ENSMUSG00000021918	Nek4	Stk2	NIMA (never in mitosis gene a)-related expressed kinase 4	protein-coding	0.080000	0.589018	191(TCCCGC,+,0.00)
NM_011020	chr3	40745313	40745913	+	0	NA	promoter-TSS (NM_011020)	promoter-TSS (NM_011020)	0	NM_011020	18415		NM_011020	ENSMUSG00000025757	Hspa4l	94kDa|APG-1|Osp94	heat shock protein 4 like	protein-coding	0.115000	0.698835	28(GCGGGA,-,0.00),60(GCGGGA,-,0.00)
NM_019586	chr4	33031080	33031680	+	0	NA	promoter-TSS (NM_019586)	promoter-TSS (NM_019586)	0	NM_019586	56228		NM_019586	ENSMUSG00000028277	Ube2j1	0710008M05Rik|1110030I22Rik|NCUBE-1|Ncube|Ncube1|Ubc6p	ubiquitin-conjugating enzyme E2J 1	protein-coding	0.171667	0.797005	-217(GCGGGA,-,0.00),-121(GCGGGA,-,0.00),-112(GCGGGA,-,0.00),0(TCCCGC,+,0.00)
NM_177873	chr5	106925590	106926190	-	0	NA	promoter-TSS (NM_177873)	promoter-TSS (NM_177873)	0	NM_177873	330149		NM_177873	ENSMUSG00000043410	Hfm1	A330009G12Rik|Gm1046|Mer3|Sec63d1	HFM1, ATP-dependent DNA helicase homolog	protein-coding	0.090000	0.658902	4(TCCCGC,+,0.00)
NM_028958	chrX	134476190	134476790	-	0	NA	promoter-TSS (NM_028958)	promoter-TSS (NM_028958)	0	NM_028958	74469		NM_028958	ENSMUSG00000009596	Taf7l	4933438I11Rik|Taf2q	TATA-box binding protein associated factor 7 like	protein-coding	0.056667	0.529118	
NM_028937	chr3	55181744	55182344	+	0	NA	promoter-TSS (NM_028937)	promoter-TSS (NM_028937)	0	NM_028937	74434		NM_028937	ENSMUSG00000027794	Sohlh2	4933406N12Rik|Sosf2	spermatogenesis and oogenesis specific basic helix-loop-helix 2	protein-coding	0.050000	0.635607	202(TCCCGC,+,0.00),267(GCGGGA,-,0.00)
NM_009881	chr13	35659562	35660162	+	0	NA	promoter-TSS (NM_009881)	promoter-TSS (NM_009881)	0	NM_009881	12593		NM_009881	ENSMUSG00000059288	Cdyl	-	chromodomain protein, Y chromosome-like	protein-coding	0.010000	0.472546	
NM_031384	chrX	101059339	101059939	-	0	NA	promoter-TSS (NM_001167997)	promoter-TSS (NM_001167997)	0	NM_031384	83558		NM_031384	ENSMUSG00000009670	Tex11	4930565P14Rik|ZIP4H	testis expressed gene 11	protein-coding	0.056667	0.510815	-274(GCGGGA,-,0.00),-223(GCGGGA,-,0.00)
NM_011516	chr3	102935800	102936400	-	0	NA	promoter-TSS (NM_011516)	promoter-TSS (NM_011516)	0	NM_011516	20957		NM_011516	ENSMUSG00000027855	Sycp1	SCP1	synaptonemal complex protein 1	protein-coding	0.085000	0.627288	2(TCCCGC,+,0.00)
NR_033553	chr9	121936975	121937575	+	0	NA	promoter-TSS (NR_033553)	promoter-TSS (NR_033553)	0	NR_033553	69430		NR_033553	ENSMUSG00000043773	1700048O20Rik	1700022O21Rik	RIKEN cDNA 1700048O20 gene	ncRNA	0.005000	0.534110	196(GCGGGA,-,0.00)
NR_026907	chr5	135001050	135001650	-	0	NA	promoter-TSS (NR_026907)	promoter-TSS (NR_026907)	0	NR_026907	71304		NR_026907	ENSMUSG00000054909	Wbscr25	4933433J03Rik|4933439O14Rik	Williams Beuren syndrome chromosome region 25 (human)	ncRNA	0.031667	0.570715	72(TCCCGC,+,0.00)
NM_026273	chr16	64770639	64771239	-	0	NA	promoter-TSS (NM_026273)	promoter-TSS (NM_026273)	0	NM_026273	67609		NM_026273	ENSMUSG00000059920	4930453N24Rik	din	RIKEN cDNA 4930453N24 gene	protein-coding	0.090000	0.658902	
NM_011517	chr10	88459287	88459887	+	0	NA	promoter-TSS (NM_011517)	promoter-TSS (NM_011517)	0	NM_011517	20962		NM_011517	ENSMUSG00000020059	Sycp3	Cor1|Scp3	synaptonemal complex protein 3	protein-coding	0.051667	0.599002	-147(GCGGGA,-,0.00)
NM_025728	chr1	69951315	69951915	+	0	NA	promoter-TSS (NM_025728)	promoter-TSS (NM_025728)	0	NM_025728	66722		NM_025728	ENSMUSG00000053153	Spag16	4921511D23Rik|4930524F24Rik|4930585K05Rik|Pf20|Wdr29	sperm associated antigen 16	protein-coding	0.016667	0.480865	
NM_182785	chr7	24869391	24869991	-	0	NA	promoter-TSS (NM_027732)	promoter-TSS (NM_027732)	0	NM_182785	232973		NM_182785	ENSMUSG00000062732	Lypd4	4933400F01Rik	Ly6/Plaur domain containing 4	protein-coding	0.046667	0.582363	
NM_177191	chr2	178407358	178407958	-	0	NA	promoter-TSS (NM_177191)	promoter-TSS (NM_177191)	0	NM_177191	320558		NM_177191	ENSMUSG00000060445	Sycp2	3830402K23Rik|4930518F03Rik	synaptonemal complex protein 2	protein-coding	0.061667	0.630616	
NM_028145	chr7	99465704	99466304	+	0	NA	promoter-TSS (NM_028145)	promoter-TSS (NM_028145)	0	NM_028145	72184		NM_028145	ENSMUSG00000035298	Klhl35	2810406K13Rik	kelch-like 35	protein-coding	0.016667	0.550749	-47(TCCCGC,+,0.00)
NM_029049	chr11	121829918	121830518	+	0	NA	promoter-TSS (NM_029049)	promoter-TSS (NM_029049)	0	NM_029049	74675		NM_029049	ENSMUSG00000039198	Ptchd3	4930451E13Rik|4933440L20Rik|RNDEu-3	patched domain containing 3	protein-coding	0.055000	0.600666	168(GCGGGA,-,0.00)
NM_009337	chr12	105222437	105223037	-	0	NA	promoter-TSS (NM_001289468)	promoter-TSS (NM_001289468)	0	NM_009337	21432		NM_009337	ENSMUSG00000041359	Tcl1	Tcl1a	T cell lymphoma breakpoint 1	protein-coding	0.031667	0.569052	
NM_028824	chr5	103655424	103656024	-	0	NA	promoter-TSS (NM_001163550)	promoter-TSS (NM_001163550)	0	NM_028824	74218		NM_028824	ENSMUSG00000029320	1700016H13Rik	-	RIKEN cDNA 1700016H13 gene	protein-coding	0.076667	0.657238	-244(TCCCGC,+,0.00)
NM_001081411	chr3	41742214	41742814	-	0	NA	promoter-TSS (NR_155540)	promoter-TSS (NR_155540)	0	NM_001081411	67161		NM_001081411	ENSMUSG00000059834	Sclt1	2610207F23Rik|4931421F20Rik|CAGGS-SB10|Tg(ACTB-sb10)1Dla|Tg(CAG-sb10)1Dla	sodium channel and clathrin linker 1	protein-coding	0.125000	0.667221	74(TCCCGC,+,0.00),147(TCCCGC,+,0.00)
NM_198418	chr17	43629999	43630599	-	0	NA	promoter-TSS (NM_001161367)	promoter-TSS (NM_001161367)	0	NM_198418	210510		NM_198418	ENSMUSG00000040140	Tdrd6	Tdr2	tudor domain containing 6	protein-coding	0.083333	0.678869	-156(TCCCGC,+,0.00),260(GCGGGA,-,0.00)
NM_031377	chr4	143394141	143394741	+	0	NA	promoter-TSS (NM_031377)	promoter-TSS (NM_031377)	0	NM_031377	83491		NM_031377	ENSMUSG00000041805	Pramel1	-	PRAME like 1	protein-coding	0.063333	0.565724	
