PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_unbound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_172526	chr3	88078004	88078604	-	0	NA	promoter-TSS (NM_172526)	promoter-TSS (NM_172526)	0	NM_172526	214191		NM_172526	ENSMUSG00000121872	Ttc24	A430025D11Rik	tetratricopeptide repeat domain 24	protein-coding	0.008333	0.499168	
NM_008676	chr11	101552354	101552954	+	0	NA	promoter-TSS (NM_001252223)	promoter-TSS (NM_001252223)	0	NM_008676	17966		NM_008676	ENSMUSG00000017119	Nbr1	mKIAA0049	NBR1, autophagy cargo receptor	protein-coding	0.056667	0.552413	
NR_030274	chrX	53048067	53048667	-	0	NA	promoter-TSS (NR_030498)	promoter-TSS (NR_030498)	0	NR_030274	723938		NR_030274	ENSMUSG00000076399	Mir450-2	Mirn450-2|mir-450a-2	microRNA 450-2	ncRNA	0.006667	0.342762	
NM_016685	chr8	70373248	70373848	+	0	NA	promoter-TSS (NM_016685)	promoter-TSS (NM_016685)	0	NM_016685	12845		NM_016685	ENSMUSG00000031849	Comp	TSP5	cartilage oligomeric matrix protein	protein-coding	0.053333	0.622296	-133(TCCCGC,+,0.00),91(TCCCGC,+,0.00),250(GCGGGA,-,0.00)
NM_009355	chr1	34498112	34498712	+	0	NA	promoter-TSS (NM_009355)	promoter-TSS (NM_009355)	0	NM_009355	21755		NM_009355	ENSMUSG00000026125	Prss39	Tesp1	serine protease 39	protein-coding	0.031667	0.547421	
NM_145746	chr11	68926781	68927381	-	0	NA	promoter-TSS (NM_145746)	promoter-TSS (NM_145746)	0	NM_145746	252868		NM_145746	ENSMUSG00000032921	Odf4	Oppo1	outer dense fiber of sperm tails 4	protein-coding	0.013333	0.529118	26(GCGGGA,-,0.00)
NM_001097977	chr2	151092050	151092650	-	0	NA	promoter-TSS (NM_001097977)	promoter-TSS (NM_001097977)	0	NM_001097977	433486		NM_001097977	ENSMUSG00000079006	Gm14151	-	predicted gene 14151	protein-coding	0.011667	0.432612	
NM_030231	chr4	110397398	110397998	+	0	NA	promoter-TSS (NM_001284190)	promoter-TSS (NM_001284190)	0	NM_030231	78933		NM_030231	ENSMUSG00000061298	Agbl4	4930578N11Rik|4931433A01Rik	ATP/GTP binding protein-like 4	protein-coding	0.045000	0.579035	
NR_029585	chr9	21496264	21496864	-	0	NA	promoter-TSS (NR_029585)	promoter-TSS (NR_029585)	0	NR_029585	387194		NR_029585	ENSMUSG00000065547	Mir199a-1	Mirn199|Mirn199a-1|mir-199a-1	microRNA 199a-1	ncRNA	0.025000	0.547421	
NM_054073	chr6	30915273	30915873	-	0	NA	promoter-TSS (NM_054073)	promoter-TSS (NM_054073)	0	NM_054073	116732		NM_054073	ENSMUSG00000039032	Tsga13	1700023D02Rik|Vme1	testis specific gene A13	protein-coding	0.010000	0.442596	-142(GCGGGA,-,0.00)
NR_029752	chr2	94241153	94241753	-	0	NA	promoter-TSS (NR_106139)	promoter-TSS (NR_106139)	0	NR_029752	723953		NR_029752	ENSMUSG00000065511	Mir129-2	Mirn129-2|mir-129-2	microRNA 129-2	ncRNA	0.096667	0.628952	
NM_028916	chrX	17319641	17320241	-	0	NA	promoter-TSS (NM_028916)	promoter-TSS (NM_028916)	0	NM_028916	74405		NM_028916	ENSMUSG00000025038	Efhc2	4933407D04Rik|mRib72-2	EF-hand domain (C-terminal) containing 2	protein-coding	0.013333	0.425957	
NR_030438	chr12	109571690	109572290	+	0	NA	promoter-TSS (NR_030438)	promoter-TSS (NR_030438)	0	NR_030438	751547		NR_030438	ENSMUSG00000076316	Mir673	Mirn673|mir-673|mmu-mir-673	microRNA 673	ncRNA	0.013333	0.545757	
NM_001159275	chr18	37638423	37639023	-	0	NA	promoter-TSS (NM_001159275)	promoter-TSS (NM_001159275)	0	NM_001159275	83885		NM_001159275	ENSMUSG00000050304	Slc25a2	Ornt2	solute carrier family 25 (mitochondrial carrier, ornithine transporter) member 2	protein-coding	0.038333	0.540765	
NM_010205	chr19	45742584	45743184	-	0	NA	promoter-TSS (NM_001379139)	promoter-TSS (NM_001379139)	0	NM_010205	14179		NM_010205	ENSMUSG00000025219	Fgf8	Aigf|Fgf-8|Fgf6c|HBGF-8	fibroblast growth factor 8	protein-coding	0.130000	0.805324	-269(TCCCGC,+,0.00),-30(TCCCGC,+,0.00),89(TCCCGC,+,0.00)
NM_001037744	chr14	122034374	122034974	+	0	NA	promoter-TSS (NM_001037744)	promoter-TSS (NM_001037744)	0	NM_001037744	223262		NM_001037744	ENSMUSG00000071229	Timm8a2	-	translocase of inner mitochondrial membrane 8A2	protein-coding	0.036667	0.549085	
NM_001040689	chr2	151842627	151843227	+	0	NA	promoter-TSS (NM_001040689)	promoter-TSS (NM_001040689)	0	NM_001040689	228770		NM_001040689	ENSMUSG00000032852	Rspo4	A730099F22|A930029K19Rik	R-spondin 4	protein-coding	0.085000	0.682196	
NM_001277340	chr12	55564905	55565505	+	0	NA	promoter-TSS (NM_001277340)	promoter-TSS (NM_001277340)	0	NM_001277340	79459		NM_001277340	ENSMUSG00000063129	Aldoart2	4933425L11Rik|Aldo1-ps1|Aldoa-ps1	aldolase 1 A, retrogene 2	protein-coding	0.043333	0.534110	
NM_032004	chr8	69901884	69902484	+	0	NA	promoter-TSS (NM_032004)	promoter-TSS (NM_032004)	0	NM_032004	83984		NM_032004	ENSMUSG00000047654	Tssk6	Sstk|TSK-6|TSSK-6	testis-specific serine kinase 6	protein-coding	0.065000	0.625624	
NR_030603	chrX	66801285	66801885	-	0	NA	promoter-TSS (NR_030538)	promoter-TSS (NR_030538)	0	NR_030603	100124479		NR_030603	ENSMUSG00000077872	Mir878	Mirn878|mir-878|mmu-mir-878	microRNA 878	ncRNA	0.008333	0.357737	
NM_027066	chr9	108914319	108914919	+	0	NA	promoter-TSS (NM_027066)	promoter-TSS (NM_027066)	0	NM_027066	69384		NM_027066	ENSMUSG00000025652	Tmem89	1700024B07Rik	transmembrane protein 89	protein-coding	0.016667	0.572379	
NM_001033191	chr5	97392030	97392630	-	0	NA	promoter-TSS (NR_045981)	promoter-TSS (NR_045981)	0	NM_001033191	97243		NM_001033191	ENSMUSG00000046000	Naa11	Ard1b|Ard2	N(alpha)-acetyltransferase 11, NatA catalytic subunit	protein-coding	0.056667	0.592346	-31(TCCCGC,+,0.00)
NM_026222	chr3	33844010	33844610	-	0	NA	promoter-TSS (NM_026222)	promoter-TSS (NM_026222)	0	NM_026222	51938		NM_026222	ENSMUSG00000027676	Ccdc39	4921507O14Rik|D3Ertd789e|b2b1304Clo|b2b1735Clo|b2b2025.1Clo|prh	coiled-coil domain containing 39	protein-coding	0.035000	0.549085	
NM_177677	chr5	31108019	31108619	+	0	NA	promoter-TSS (NM_001347324)	promoter-TSS (NM_001347324)	0	NM_177677	231098		NM_177677	ENSMUSG00000053856	Dnajc5g	4922503E23Rik	DnaJ heat shock protein family (Hsp40) member C5 gamma	protein-coding	0.035000	0.540765	
NR_003953	chr5	24645153	24645753	+	0	NA	promoter-TSS (NR_003953)	promoter-TSS (NR_003953)	0	NR_003953	72252		NR_003953	ENSMUSG00000121722	1700022A21Rik	-	glycerol-3-phosphate dehydrogenase 1-like pseudogene	pseudo	0.003333	0.449251	
NM_001114153	chrX	37643170	37643770	-	0	NA	promoter-TSS (NM_001114153)	promoter-TSS (NM_001114153)	0	NM_001114153	434766		NM_001114153	ENSMUSG00000079629	Rhox2g	EG434766|Rhox2.7|Rhox2f	reproductive homeobox 2G	protein-coding	0.016667	0.484193	
NM_011569	chr11	72361582	72362182	-	0	NA	promoter-TSS (NM_001282007)	promoter-TSS (NM_001282007)	0	NM_011569	21689		NM_011569	ENSMUSG00000020799	Tekt1	MT14	tektin 1	protein-coding	0.053333	0.544093	
NM_007593	chr18	9619169	9619769	-	0	NA	promoter-TSS (NM_007593)	promoter-TSS (NM_007593)	0	NM_007593	26369		NM_007593	ENSMUSG00000050996	Cetn1	caltractin	centrin 1	protein-coding	0.030000	0.482529	183(GCGGGA,-,0.00)
NR_029436	chr7	44235822	44236422	-	0	NA	promoter-TSS (NM_001378659)	promoter-TSS (NM_001378659)	0	NR_029436	70004		NR_029436	ENSMUSG00000038782	1700028J19Rik	-	RIKEN cDNA 1700028J19 gene	ncRNA	0.010000	0.527454	
NR_029773	chr12	108836673	108837273	+	0	NA	promoter-TSS (NR_029773)	promoter-TSS (NR_029773)	0	NR_029773	723946		NR_029773	ENSMUSG00000065429	Mir345	Mirn345|mir-345|mmu-mir-345	microRNA 345	ncRNA	0.016667	0.544093	
NM_001013771	chr1	59515964	59516564	+	0	NA	promoter-TSS (NM_001013771)	promoter-TSS (NM_001013771)	0	NM_001013771	381260		NM_001013771	ENSMUSG00000047361	Gm973	-	predicted gene 973	protein-coding	0.035000	0.549085	
NR_029439	chr13	31582213	31582813	-	0	NA	promoter-TSS (NR_029439)	promoter-TSS (NR_029439)	0	NR_029439	71307		NR_029439	ENSMUSG00000038408	1700018A04Rik	4930551G20Rik|4933439J11Rik	RIKEN cDNA 1700018A04 gene	ncRNA	0.013333	0.367720	
NM_010086	chr8	40674777	40675377	+	0	NA	promoter-TSS (NM_010086)	promoter-TSS (NM_010086)	0	NM_010086	13526		NM_010086	ENSMUSG00000046723	Adam24	Dtgn5	ADAM metallopeptidase domain 24	protein-coding	0.001667	0.374376	
NM_001081197	chr1	152750251	152750851	+	0	NA	promoter-TSS (NM_001081197)	promoter-TSS (NM_001081197)	0	NM_001081197	71281		NM_001081197	ENSMUSG00000055547	Apobec4	4933431M11Rik	apolipoprotein B mRNA editing enzyme catalytic polypeptide-like 4	protein-coding	0.013333	0.435940	
NM_198621	chr5	25515767	25516367	+	0	NA	promoter-TSS (NM_198621)	promoter-TSS (NM_198621)	0	NM_198621	242891		NM_198621	ENSMUSG00000038044	Cct8l1	Gm443	chaperonin containing TCP1 subunit 8-like 1	protein-coding	0.016667	0.479201	
NM_028499	chr4	14795752	14796352	-	0	NA	promoter-TSS (NM_028499)	promoter-TSS (NM_028499)	0	NM_028499	73314		NM_028499	ENSMUSG00000023151	Lrrc69	1700034K16Rik	leucine rich repeat containing 69	protein-coding	0.005000	0.420965	
NM_027069	chr5	145042690	145043290	+	0	NA	promoter-TSS (NM_027069)	promoter-TSS (NM_027069)	0	NM_027069	69396		NM_027069	ENSMUSG00000029620	1700018F24Rik	-	RIKEN cDNA 1700018F24 gene	protein-coding	0.011667	0.517471	
NM_001004025	chr4	49681683	49682283	-	0	NA	promoter-TSS (NM_001004025)	promoter-TSS (NM_001004025)	0	NM_001004025	19059		NM_001004025	ENSMUSG00000028310	Ppp3r2	CaNB2|CnB2	protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type II)	protein-coding	0.036667	0.540765	
NM_008085	chr7	30739107	30739707	-	0	NA	promoter-TSS (NM_008085)	promoter-TSS (NM_008085)	0	NM_008085	14447		NM_008085	ENSMUSG00000061099	Gapdhs	Gapd-s|Gapds	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	protein-coding	0.011667	0.565724	101(GCGGGA,-,0.00)
NM_009356	chr1	34560643	34561243	-	0	NA	promoter-TSS (NM_009356)	promoter-TSS (NM_009356)	0	NM_009356	21756		NM_009356	ENSMUSG00000037529	Prss40	Tesp2	serine protease 40	protein-coding	0.035000	0.564060	-81(TCCCGC,+,0.00)
NM_145500	chr19	41981463	41982063	+	0	NA	promoter-TSS (NM_145500)	promoter-TSS (NM_145500)	0	NM_145500	226122		NM_145500	ENSMUSG00000025171	Ubtd1	-	ubiquitin domain containing 1	protein-coding	0.101667	0.737105	-210(GCGGGA,-,0.00),74(GCGGGA,-,0.00)
NM_183287	chr16	17124902	17125502	-	0	NA	promoter-TSS (NM_001358255)	promoter-TSS (NM_001358255)	0	NM_183287	70458		NM_183287	ENSMUSG00000049916	2610318N02Rik	-	RIKEN cDNA 2610318N02 gene	protein-coding	0.041667	0.554077	
NM_027655	chr8	105707989	105708589	+	0	NA	promoter-TSS (NM_027655)	promoter-TSS (NM_027655)	0	NM_027655	71046		NM_027655	ENSMUSG00000013158	4933405L10Rik	-	RIKEN cDNA 4933405L10 gene	protein-coding	0.038333	0.603993	
NR_029736	chr14	115043551	115044151	+	0	NA	promoter-TSS (NR_029815)	promoter-TSS (NR_029815)	0	NR_029736	387135		NR_029736	ENSMUSG00000065403	Mir18	Mirn18|mir-18a|mmu-mir-18|mmu-mir-18a	microRNA 18	ncRNA	0.021667	0.452579	
