chr,start,end,strand,pvalue,qvalue,meth.diff
chr1,36683086,36683438,*,2.08351658474785e-164,1.1530896331145e-162,72.4851932789685
chr1,55362483,55363657,*,6.27261413445543e-11,1.95576342823624e-10,10.2740371033054
chr1,69826865,69827202,*,7.64377588041583e-12,2.52556900641028e-11,16.5802362431576
chr1,166238499,166238965,*,3.09304199507273e-08,8.45331192966878e-08,22.2195512820513
chr1,186967391,186968306,*,7.97940353278362e-288,1.76643038206552e-285,68.1124285527292
chr2,178407227,178407650,*,4.32875131629929e-26,1.87896442558953e-25,36.0287918611983
chr3,37063502,37063863,*,1.59127258202175e-39,9.27015680690821e-39,59.3064611736811
chr3,40708700,40709241,*,3.79260008522899e-80,5.99701468022212e-79,46.4762214680861
chr3,65666033,65666732,*,1.23292128838846e-59,9.41159977579994e-59,27.2187232455434
chr3,95559528,95559728,*,7.43838007895247e-126,2.05832749760508e-124,78.0078214860824
chr3,102935376,102936230,*,7.85035946666706e-64,7.55592789071039e-63,51.064438750477
chr3,107895767,107896270,*,5.93378223191038e-18,2.30453254287698e-17,19.976911976912
chr3,141211322,141211889,*,5.05506019843057e-166,3.73019189591935e-164,64.7478210505666
chr3,153905621,153906071,*,2.01022994199672e-159,8.90024230480811e-158,60.1835509509163
chr4,34049769,34050143,*,6.65593996425942e-52,4.33367736948039e-51,56.4687855010436
chr4,107683546,107683992,*,3.10761211643665e-32,1.56350842846248e-31,41.2980583772663
chr4,123116261,123117456,*,1.46313233100178e-102,2.69915893655177e-101,32.1730194758388
chr4,123322420,123323615,*,2.44010336940022e-125,6.00194224958196e-124,34.0117662187359
chr4,143394308,143394853,*,8.80568841416219e-75,1.1466753849363e-73,58.936709123561
chr5,92675036,92675257,*,7.61898016656762e-13,2.55551835522645e-12,48.6818345973276
chr5,97391968,97392401,*,2.40914245218831e-53,1.61612384395957e-52,52.0280169644005
chr5,107331015,107331244,*,1.89242584048535e-70,1.99492086195656e-69,56.3183332551265
chr5,123489275,123489478,*,3.08302916223865e-16,1.13750281346166e-15,34.6631629240325
chr5,128736038,128736348,*,3.51609201157062e-74,4.09668647132279e-73,64.3175891046074
chr5,142529776,142530207,*,3.03466969127241e-118,6.71796171251781e-117,60.2721220504607
chr6,29402793,29403103,*,8.38470402702439e-07,2.13350950256899e-06,10.8972560462376
chr6,34921373,34921757,*,6.93697051313988e-18,2.64769498025033e-17,54.8164572554817
chr6,49395413,49395824,*,4.28927603898552e-59,3.16511022459282e-58,55.5138657905055
chr6,125285875,125286114,*,8.24076715721331e-29,3.80060296753972e-28,88.5281385281385
chr6,144781481,144781906,*,2.3020306426687e-06,5.60010029578503e-06,22.4672419303292
chr7,16061525,16061849,*,1.14608782327656e-13,3.96427726245726e-13,14.0118478640993
chr7,16062008,16062250,*,8.46031478484725e-11,2.5656047990136e-10,44.8406529343179
chr7,24869700,24870221,*,1.15183859962182e-41,6.8915355580977e-41,33.8471760797342
chr7,28301285,28301506,*,2.57864045330322e-07,6.87762981314269e-07,15.0187055742611
chr7,35537405,35537789,*,1.41495977643396e-108,2.84759030856995e-107,76.8780926675663
chr7,45694004,45694347,*,2.02662869090151e-96,3.45109513518241e-95,52.4341454851198
chr7,107209179,107210585,*,1.14423638865181e-35,6.03104489987807e-35,12.308593046298
chr7,109438771,109439363,*,5.71167957296664e-15,2.03938040927235e-14,11.349231926093
chr7,140787636,140787929,*,4.89496731101014e-63,4.16775849215611e-62,56.5424895019984
chr8,70500891,70501273,*,2.79571086733691e-27,1.23779392663749e-26,23.7618220970052
chr8,84001298,84001819,*,5.58355357450695e-17,2.09500359765271e-16,10.5642739124585
chr8,105979060,105979549,*,7.52453037581148e-77,1.1104889408504e-75,35.2352167478218
chr8,119612565,119612847,*,3.03752212117241e-63,2.68971049727736e-62,46.9487808366485
chr9,21066915,21067224,*,6.4073581640214e-63,5.253410457265e-62,77.3350785340314
chr9,50561132,50561392,*,2.73788811155677e-74,3.36720290981359e-73,61.5970742566386
chr9,62282067,62282293,*,1.46671402942231e-75,2.02932478969819e-74,74.7710622710623
chr9,110834517,110834728,*,4.16271200669239e-37,2.30378778633007e-36,45.5984848484849
chr9,121838956,121839539,*,1.52998495882853e-19,6.04818729395494e-19,22.7555923777962
chr10,80634311,80634553,*,4.59598314634422e-20,1.84987266547805e-19,26.3006363599672
chr10,80638390,80638765,*,3.22253314605891e-150,1.18897367725635e-148,78.8858411703239
chr10,88459496,88459991,*,4.58812138984224e-24,1.95324919152647e-23,46.7244722822816
chr11,3774666,3775008,*,2.13076088179926e-07,5.75237194943492e-07,13.7362637362637
chr11,70615354,70615727,*,9.54223621983326e-10,2.78628894804696e-09,10.2158109950023
chr11,72361872,72362178,*,1.91922750915967e-11,6.15748647207487e-11,12.4462624181699
chr11,87616904,87617970,*,5.87403427375266e-61,4.64413185943591e-60,38.6661211129296
chr11,100265545,100265746,*,1.20355478967444e-63,1.11014759135122e-62,58.986327204149
chr11,104685612,104685883,*,6.66579191977547e-67,6.70741486289253e-66,80.2681620076063
chr11,121830177,121830581,*,5.10700367677895e-36,2.75745485539019e-35,30.5784436528751
chr12,66283874,66284400,*,1.88711378102255e-238,2.08878715277223e-236,73.7136828436942
chr12,71111373,71111657,*,3.76392378899787e-06,9.05688996043891e-06,13.4541166380789
chr13,112651961,112652503,*,8.29049881403988e-32,3.98977979816641e-31,43.5825041031115
chr14,41072831,41073031,*,3.20452409052777e-15,1.16294667938412e-14,38.1227187530828
chr14,56402620,56402909,*,5.83918811419675e-23,2.43894886050574e-22,38.826265879406
chr14,63508524,63508838,*,1.1312025217813e-29,5.32805382921966e-29,26.7478708655179
chr14,106106101,106106731,*,1.75597245153767e-49,1.11064624092063e-48,40.8529411764706
chr15,82070006,82070309,*,8.40015503102994e-11,2.5656047990136e-10,11.8361665330915
chr15,85131667,85132180,*,9.70108466595197e-11,2.90211536362277e-10,13.7683590748217
chr15,88954450,88955003,*,1.93665769113692e-09,5.56785910520225e-09,11.7086408313201
chr16,17898929,17899138,*,3.59403785294799e-38,2.04006561992252e-37,33.767530417015
chr17,9669333,9669561,*,9.03139989844538e-143,2.8561639274795e-141,72.5031407035176
chr17,50292686,50293791,*,2.79274136754369e-72,3.09119797025695e-71,42.8635613423803
chr17,56511300,56512467,*,7.74309146558575e-47,4.7614363793428e-46,17.9691088495232
chr19,56826158,56826522,*,1.22944845065307e-32,6.32947903324234e-32,27.7049350229145
chrX,38121103,38121770,*,1.22941960024958e-20,5.04002243903288e-20,40.5752698006219
chrX,100429025,100429392,*,2.02423435947596e-53,1.40035101711728e-52,66.9000802133241
chrX,101059593,101059915,*,5.61332555394138e-59,4.00852534506939e-58,75.5504293220556
chrX,134474997,134476624,*,2.75918753276096e-27,1.23779392663749e-26,53.8268321513002
