chr,start,end,strand,pvalue,qvalue,meth.diff
chr1,3101517,3102516,*,0.875046157710589,0.77556467844389,0.732127476313527
chr1,3252258,3253257,*,0.464033963976383,0.592157535136207,-6.59090909090909
chr1,3368050,3369049,*,0.719080577192999,0.719566698488615,-1.68918918918919
chr1,3466786,3467785,*,0.654648160872961,0.69192347041866,1.37147335423197
chr1,3514008,3515007,*,0.449403146902274,0.584090810637788,-4.34609250398724
chr1,3531296,3532295,*,0.849046110240929,0.766732707355724,0.513735669478699
chr1,3595404,3596403,*,0.348485265488278,0.518525754519128,-6.66666666666667
chr1,3658405,3659404,*,0.783659025526176,0.744489346860245,0.997340425531912
chr1,3670999,3671998,*,0.179208746982586,0.370567334614514,1.66124026579844
chr1,3679656,3680655,*,0.999999958813888,0.810612657159041,0
chr1,3751511,3752510,*,0.782843964160465,0.744255532371951,1.9551466359977
chr1,3783434,3784433,*,0.350078442033183,0.519721169883693,5.08701472556895
chr1,3985716,3986715,*,0.446782270532442,0.582540427034911,-0.880661394680082
chr1,4260020,4261019,*,0.721575506792312,0.720414450472315,0.70307007265058
chr1,4364330,4365329,*,0.353640797339223,0.521818444457735,-4.02821104028211
chr1,4408742,4409741,*,0.33364687877767,0.50702476371019,-1.40845070422535
chr1,4496052,4497051,*,0.0369170449544341,0.145611429954999,4.54545454545455
chr1,4496855,4497854,*,0.578306203149288,0.655105235675556,-1.00977466575812
chr1,4522406,4523405,*,0.312279354874821,0.48977618154758,-1.72117039586919
chr1,4528518,4529517,*,0.0304219701975506,0.12797637099726,5.35537076959929
chr1,4534787,4535786,*,0.100003084748768,0.266367298986428,6.80082559339525
chr1,4585753,4586752,*,0.572432375278366,0.652265677759325,2.16450216450216
chr1,4609972,4610971,*,0.140616715392311,0.324734931057783,3.33292277374061
chr1,4688904,4689903,*,1.88891207940106e-08,1.07866000534357e-06,-15.4671717171717
chr1,4692925,4693924,*,0.612061965612638,0.671909174240143,-1.10356328322339
chr1,4722880,4723879,*,0.0881292626525621,0.248360993058129,-3.96586653569894
chr1,4735177,4736176,*,0.763530422554543,0.737794815834438,1.64713335445043
chr1,4770632,4771631,*,0.0325673549474683,0.133780093256014,2.8967768257854
chr1,4778713,4779712,*,0.806501257836266,0.752486393573672,-0.903526668609733
chr1,4785240,4786239,*,0.036152532528366,0.143639473592433,-2.83043903733559
chr1,4807289,4808288,*,0.439669204909958,0.578610409806478,0.605452957728257
chr1,4807393,4808392,*,0.459408133792214,0.58926368480374,0.563312023406018
chr1,4857315,4858314,*,0.227521496381604,0.418532096270918,-0.826565365470264
chr1,4880152,4881151,*,0.429053147213424,0.571522721764079,-1.14444788122487
chr1,4906362,4907361,*,0.954200064022467,0.800089817798182,0.241545893719808
chr1,4926800,4927799,*,0.0535266868562171,0.184524563140492,-6.58542908996629
chr1,4940211,4941210,*,0.780412912407636,0.743427425293795,-1.2012012012012
chr1,4970358,4971357,*,0.0899415490152233,0.251171798330187,10.4054054054054
chr1,5062561,5063560,*,1.61172588823861e-05,0.000398260300920039,-15.8333333333333
chr1,5069519,5070518,*,0.63312891934514,0.68194423820754,-4.3849972421401
chr1,5069786,5070785,*,0.616356058449333,0.673684793005349,-3.64372469635628
chr1,5307240,5308239,*,3.85437620039368e-05,0.000826419646974933,-37.9227053140097
chr1,5403048,5404047,*,0.0505741859686554,0.178038850374203,4.91803278688525
chr1,5587967,5588966,*,5.85815708400592e-08,2.94974677221816e-06,28.8105867346939
chr1,5617731,5618730,*,0.0434528890916944,0.161347215612846,7.70114942528736
chr1,5644246,5645245,*,0.506967648163071,0.617500707697059,4.86815415821501
chr1,5844173,5845172,*,0.789554498908247,0.746275250415557,3.33333333333333
chr1,5916899,5917898,*,0.729946647093459,0.723919207813625,0.466596508133742
chr1,6049546,6050545,*,0.1520271927164,0.338528243566309,9.1853471842537
chr1,6205698,6206697,*,0.382571688932004,0.541934611884775,3.8961038961039
chr1,6214794,6215793,*,0.405081850611187,0.557194988065951,1.33806735380621
chr1,6358719,6359718,*,0.305013818733983,0.484787225022203,-3.28253688116571
chr1,6379895,6380894,*,0.300415781915395,0.481416138576811,-2.91968356127648
chr1,6382607,6383606,*,0.360198487581306,0.526526204110668,3.66325307767731
chr1,6440797,6441796,*,1.03606823725931e-09,8.10045192843852e-08,-15.3293095258055
chr1,6486732,6487731,*,0.472662613396893,0.597441655196981,2.06611570247934
chr1,6863652,6864651,*,0.799794956148867,0.749834472203239,-0.915986832689275
chr1,6910061,6911060,*,0.230837386778297,0.421319432693484,-6.66666666666668
chr1,6916060,6917059,*,0.11876526243561,0.294889483290012,-2.35548708920188
chr1,6929260,6930259,*,0.0912808203213995,0.253276183186598,5.28222925385322
chr1,6997718,6998717,*,0.0559101820803742,0.189750885684142,3.40494688441415
