chr,start,end,strand,pvalue,qvalue,meth.diff
chr1,20951127,20952126,*,0.503180811900939,0.538270761962312,2.51962433417438
chr1,21367832,21368831,*,0.283023420326011,0.388281761968704,4.5054945054945
chr1,23271770,23272769,*,1.17066390509553e-08,2.06511627702769e-07,-19.3386149189959
chr1,23291202,23292201,*,0.112211233989882,0.216759992864669,-3.98500309214594
chr1,31222185,31223184,*,0.519670545602275,0.547415207377028,-1.40460591621997
chr1,33814096,33815095,*,0.0531403996165016,0.131786710299371,-1.85230796789109
chr1,34497911,34498910,*,0.720208414157806,0.634645139561941,-0.574691009473616
chr1,34560444,34561443,*,0.0646183529798496,0.149295634006901,5.17446652623867
chr1,36682684,36683683,*,4.31331458479565e-46,8.06546258522599e-44,-29.8009367681499
chr1,37865930,37866929,*,0.0902882939016375,0.186346566850304,7.19799252652539
chr1,39720498,39721497,*,0.0480222495309764,0.123009254644726,8.61494453996318
chr1,51986649,51987648,*,0.0457908650757022,0.117939796627626,5.11605458294941
chr1,53019680,53020679,*,0.0948115906745932,0.193969472246323,5.69623904014768
chr1,53187137,53188136,*,0.888578460848905,0.70226203144014,0.419932810750279
chr1,54250184,54251183,*,0.000226373490388774,0.00138331882685581,10.5103391931485
chr1,55362970,55363969,*,0.504878129307609,0.53840883559284,-1.2965582272513
chr1,56636936,56637935,*,0.805049894685094,0.671774600816979,-0.784777801999315
chr1,59515765,59516764,*,0.0710229595982528,0.157352796697168,4.99888168195035
chr1,63272766,63273765,*,0.58738816915289,0.574880153251809,0.650501672240802
chr1,63729819,63730818,*,0.586993514832714,0.574880153251809,-0.690826649025607
chr1,64689956,64690955,*,0.287390202817963,0.389903261320982,1.0991569250212
chr1,69826471,69827470,*,0.00592181027535932,0.0241772643062617,-7.54707014743168
chr1,72700080,72701079,*,0.444647044989467,0.505130656310679,1.53491358191556
chr1,73015410,73016409,*,0.0126923462628446,0.0428400820511578,-4.11519395703832
chr1,74600946,74601945,*,0.410484194464271,0.481007110302435,1.26327497676403
chr1,79775644,79776643,*,0.527589933816331,0.550524489020109,-0.991828332605577
chr1,84839342,84840341,*,0.968028943492621,0.735221910491407,0.0462138847049157
chr1,86016317,86017316,*,0.133690448722941,0.248003606176757,3.32032308776495
chr1,86425729,86426728,*,0.00324124057878613,0.0152281218198287,5.2612784192358
chr1,88205283,88206282,*,0.00398518577351694,0.0177426067915695,-5.39838119161372
chr1,88277162,88278161,*,0.109396169397276,0.213083111098735,2.58057202085965
chr1,91144590,91145589,*,0.854076737134293,0.689501792248603,0.946301925025328
chr1,91405530,91406529,*,0.0106178253427906,0.0374608695913359,8.07186101605686
chr1,92902407,92903406,*,0.183292506845479,0.297000410230863,3.20597142769739
