chr,start,end,strand,pvalue,qvalue,meth.diff
chr1,36682684,36683683,*,4.31331458479565e-46,8.06546258522599e-44,-29.8009367681499
chr1,186966917,186967916,*,3.48809360152534e-156,3.26119135108269e-153,-60.0321135319116
chr2,153779432,153780431,*,3.7206025729479e-06,3.5861603056551e-05,-26.4109697933227
chr3,37063028,37064027,*,2.89425600006372e-33,2.25498598792844e-31,-46.984513835999
chr3,95559178,95560177,*,4.60559531291588e-35,4.78444334639163e-33,-25.0912859914039
chr4,154836960,154837959,*,1.11188572153873e-07,1.57508635423363e-06,-41.3412563667233
chr4,156058915,156059914,*,7.51873139493425e-12,2.00846689152992e-10,-28.9103758931345
chr5,97391880,97392879,*,1.07885014135998e-40,1.44095770684387e-38,-42.4533134634192
chr7,16061315,16062314,*,2.82719174375792e-14,1.01664672805841e-12,29.9680219278209
chr7,23300693,23301692,*,5.70651451694767e-08,8.33641072740969e-07,-64.4705882352941
chr7,35537246,35538245,*,1.60242864793369e-37,1.87273731884777e-35,-38.6125211505922
chr7,62045749,62046748,*,0.000401983751673977,0.0023199660839845,26.0205299594175
chr8,21969276,21970275,*,1.98723695063299e-13,6.63559351192606e-12,-45.4091494845361
chr8,27223329,27224328,*,1.04658422631259e-18,4.65953997053843e-17,-28.454577097111
chr8,33516239,33517238,*,1.63159013803511e-33,1.38677670501864e-31,-34.9189010499386
chr8,40751709,40752708,*,0.000224158247294154,0.00137879368484496,37.5115633672525
chr8,43180042,43181041,*,5.96225563473904e-09,1.13763426417532e-07,-25.4099425268695
chr9,78367678,78368677,*,4.94991937576422e-115,1.54264154013716e-112,-66.2688036945227
chr11,31965093,31966092,*,7.8873910470217e-09,1.41813697613118e-07,-30.2402651201326
chr11,87404566,87405565,*,5.10967258512669e-45,7.96214300470249e-43,-29.9880694165174
chr11,87616665,87617664,*,1.11510196487667e-34,1.04256401887863e-32,-41.6666666666667
chr12,66283902,66284901,*,1.05872853246836e-126,4.94928853359958e-124,-49.4534637632623
chr12,108836474,108837473,*,6.1179090159749e-12,1.68233410136256e-10,-26.6088862323172
chr14,26993917,26994916,*,3.54687601657521e-16,1.44180432188934e-14,-25.7864829961257
chr14,36094418,36095417,*,2.20212693375327e-07,2.82038008839356e-06,-51.7142857142857
chr14,51716684,51717683,*,0.00153712227429637,0.00798406496682786,-52.9411764705882
chr16,48283234,48284233,*,1.90168003660324e-12,5.73540254767014e-11,-28.2838391361013
chr17,71630782,71631781,*,1.82849809450606e-20,1.0056196293968e-18,46.0478199718706
chrX,52742068,52743067,*,2.81203729778902e-08,4.38185475224498e-07,31.1513665308706
chrX,57391020,57392019,*,8.00949723091608e-05,0.000563043262469503,26.3020833333333
chrX,68761340,68762339,*,2.13750462341874e-09,4.54195197299447e-08,-39.7233201581028
chrX,100428514,100429513,*,1.70999253779365e-12,5.3291888652586e-11,-25.1942286348502
chrX,101059168,101060167,*,2.27211804881691e-23,1.51736830157643e-21,-37.5637781730424
chrX,139333184,139334183,*,7.34835663721094e-15,2.74813693066766e-13,-33.9905155001317
