chr,start,end,strand,pvalue,qvalue,meth.diff
chr1,36683086,36683438,*,1.3932515576105e-26,5.31767730141383e-25,-30.9419773692958
chr1,186967391,186968306,*,1.68618509315396e-220,4.50500966807296e-218,-64.243530584994
chr3,37063502,37063863,*,6.55900426288992e-20,1.94708936872546e-18,-44.0691077875193
chr3,95559528,95559728,*,6.22980460735617e-17,1.5131159950833e-15,-33.1854480922804
chr3,153905621,153906071,*,1.7841701579041e-28,7.94466341356287e-27,-30.0305157627946
chr5,92675036,92675257,*,6.57583495050298e-06,4.88021420989911e-05,-35.989010989011
chr5,97391968,97392401,*,3.28358920582163e-39,2.19320541651471e-37,-45.5149828066154
chr7,35537405,35537789,*,6.38442619974959e-43,5.68579370314401e-41,-45.5896177465236
chr11,87616904,87617970,*,2.55685900814595e-30,1.36624082354466e-28,-28.2580865245672
chr11,104685612,104685883,*,3.45750987333461e-13,5.7734303124811e-12,-31.2616697786076
chr12,66283874,66284400,*,1.40081870656467e-126,1.87129569639573e-124,-53.3915419339511
chr13,112651961,112652503,*,1.23502229631242e-15,2.53817713577805e-14,-33.3913363325128
chr14,41072831,41073031,*,1.27870041833513e-05,8.80748090789211e-05,-29.0366972477064
chrX,100429025,100429392,*,5.48812395306631e-08,5.86508600236785e-07,-26.2971112215203
chrX,101059593,101059915,*,4.41300790465999e-18,1.17903089978037e-16,-42.4255233494364
