chr,start,end,strand,pvalue,qvalue,meth.diff
chr1,20951127,20952126,*,9.4247147977428e-11,2.47163659700634e-11,17.3401286251668
chr1,21367832,21368831,*,6.21043102468474e-06,1.29960451819541e-06,31.1764705882353
chr1,23271770,23272769,*,1.63629723314789e-32,9.08953847173792e-33,51.9020749908992
chr1,23291202,23292201,*,3.68900073615128e-22,1.47651152043742e-22,44.5986394557823
chr1,28779753,28780752,*,0.000389180583211583,7.4625430287433e-05,33.3333333333333
chr1,31222185,31223184,*,1.60276454276751e-35,9.63304219974989e-36,48.8458074607764
chr1,34497911,34498910,*,7.41896980436262e-78,1.29523293900503e-77,57.4697797648617
chr1,34560444,34561443,*,1.95812742252137e-47,1.60964336023544e-47,68.1000891976902
chr1,36682684,36683683,*,5.45091183391811e-290,4.99611858393665e-288,75.8740601503759
chr1,37865930,37866929,*,2.09488024871889e-13,6.02855664236563e-14,29.7854785478548
chr1,39720498,39721497,*,1.92909395052393e-15,5.91351593089899e-16,30.8611168873178
chr1,51986649,51987648,*,7.32189369957907e-20,2.71151365901358e-20,38.8105352591334
chr1,53019680,53020679,*,1.91192674805184e-32,1.05885582787527e-32,57.0728840125392
chr1,53187137,53188136,*,4.86413356957089e-26,2.20707810832514e-26,46.4736842105263
chr1,54250184,54251183,*,4.18850657948006e-36,2.56792059066937e-36,23.7261540780295
chr1,56636936,56637935,*,2.83416723544684e-17,9.51538590833042e-18,37.6671579062278
chr1,59515765,59516764,*,6.10184716176829e-31,3.2706102632102e-31,24.1225085075352
chr1,69826471,69827470,*,4.61494899932012e-16,1.46363451888542e-16,19.1078011493007
chr1,72700080,72701079,*,1.8844954101584e-51,1.71016215139287e-51,51.1145377265028
chr1,73015410,73016409,*,2.16560607229305e-34,1.26026676286594e-34,35.882392895349
chr1,86016317,86017316,*,2.04909866620779e-45,1.57826341542903e-45,54.4999054641709
chr1,86425729,86426728,*,4.43066137323669e-27,2.0879136506842e-27,38.024543036128
chr1,88205283,88206282,*,2.00163279149359e-20,7.48827703566804e-21,14.2851352603298
chr1,88277162,88278161,*,1.52646369866129e-21,5.96632922041418e-22,12.1411157077447
chr1,91144590,91145589,*,9.29831953066856e-09,2.20220163968591e-09,44.1489361702128
chr1,91405530,91406529,*,2.01315286305725e-29,1.01944020756635e-29,43.4184886568818
chr1,92902407,92903406,*,3.16586642367908e-17,1.0609595748514e-17,17.2569729934855
chr1,96997078,96998077,*,2.30875180674524e-17,7.80857053725681e-18,31.0371333964049
