chr,start,end,strand,pvalue,qvalue,meth.diff
chr1,36683086,36683438,*,3.33215024202374e-139,1.6273683252712e-137,72.9983696457685
chr1,37864614,37865324,*,0.392404890427855,0.312463380306109,-0.979454238986834
chr1,52952628,52952957,*,0.134401389832225,0.142694492718228,5.75896262395118
chr1,54250571,54250800,*,0.544988227840703,0.374878088150493,-0.901503107385461
chr1,63273065,63273913,*,0.136957835614127,0.143331414544222,-3.88695146759663
chr1,64690536,64691585,*,0.702631959532001,0.425252871998851,0.393335154329419
chr1,69826865,69827202,*,1.75861188104685e-09,4.8615714378854e-09,21.7050983710599
chr1,74601096,74601459,*,0.416063594603302,0.322537675149427,-1.18371822990582
chr1,79761253,79761833,*,0.718300185151751,0.42673944840969,0.646879756468798
chr1,86018291,86018836,*,0.0241080599853548,0.0322458129911316,3.63943786900241
chr1,88205331,88205799,*,7.24119099165689e-06,1.63222183891195e-05,8.31815421979356
chr1,88277215,88277704,*,0.429275519413143,0.327664688326904,0.801760336349981
chr1,131137778,131138378,*,0.304752852093157,0.270611577570326,-0.619195046439629
chr1,155558149,155558794,*,0.654646683551518,0.413429560471736,0.615344330976695
chr1,166238499,166238965,*,5.02326706947551e-06,1.1499761496645e-05,56.8181818181818
chr1,179667886,179668692,*,0.647856483194605,0.412699090414484,-0.465244771490102
chr1,186967391,186968306,*,7.39227724376356e-172,5.41540310206015e-170,67.8609261923081
chr2,3418949,3419265,*,0.0217980559411253,0.0301296742353749,3.44827586206897
chr2,18698658,18699226,*,0.856223505031581,0.476995120040064,0.214389257648585
chr2,25262565,25263446,*,0.726814417573682,0.429392437557279,-0.308363798393875
chr2,28700081,28700321,*,0.402645608466037,0.317170335114581,2.6046511627907
chr2,29124687,29125657,*,0.741961813266114,0.434834589956567,-0.537893384714194
chr2,29889283,29890726,*,0.441514069514162,0.331735901491995,1.22056994764507
chr2,34799756,34799960,*,0.452667638542741,0.33666328754871,-1.27371273712737
chr2,38925259,38926340,*,0.47286489339522,0.344685927870632,-1.00100876852642
chr2,69789429,69789895,*,0.505386084133867,0.355993839858284,-0.886427017253531
chr2,90783013,90783265,*,0.00112795977892732,0.00204028639398191,11.7216117216117
chr2,104122632,104123347,*,0.233388301679717,0.222044950535505,2.33305966064587
chr2,113327378,113327814,*,0.0621412113094375,0.0765094873137591,3.81452288542753
chr2,121955801,121956772,*,0.468907885984894,0.343739122948426,0.936960035672482
chr2,129800325,129801953,*,0.761179740872993,0.440807767052455,0.267144586328879
chr2,131159930,131160570,*,0.00349214966966189,0.0058142367950466,-2.47644446289225
chr2,144330651,144332212,*,0.0135421740632529,0.0196448879675451,2.67869481519095
chr2,151740829,151741394,*,0.00338574883658367,0.0057018793538426,2.87236588062509
chr2,151979938,151980339,*,0.621806644097833,0.403115463155409,-1.5295358649789
chr2,156065180,156065913,*,0.944677199436057,0.50772408026976,0.068367386803141
chr2,178407227,178407650,*,4.08644317022174e-17,1.5755943164292e-16,38.5599784468243
chr2,180641946,180642920,*,0.162049805542912,0.167202477550146,-2.07740806300841
