"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",4857486,4857929,444,"*","epilc_kdm5c_wt_.merged.bam_peak_3",64,".",3.52203,9.76406,6.44378,181,"Promoter",1,4857814,4897905,40092,1,"21399","ENSMUST00000081551.13",0,"ENSMUSG00000033813","Tcea1","transcription elongation factor A (SII) 1"
"chr1",5019353,5019657,305,"*","epilc_kdm5c_wt_.merged.bam_peak_4",72,".",4.13222,10.5715,7.20001,235,"Promoter",1,4909576,5019539,109964,2,"58175","ENSMUST00000002533.14",0,"ENSMUSG00000002459","Rgs20","regulator of G-protein signaling 20"
"chr1",5082985,5083381,397,"*","epilc_kdm5c_wt_.merged.bam_peak_5",160,".",4.88198,19.7776,16.013,187,"Promoter",1,5083080,5162529,79450,1,"108664","ENSMUST00000044369.12",0,"ENSMUSG00000033793","Atp6v1h","ATPase, H+ transporting, lysosomal V1 subunit H"
"chr1",5917002,5917330,329,"*","epilc_kdm5c_wt_.merged.bam_peak_6",29,".",2.69007,5.98303,2.93452,194,"Promoter",1,5913707,5917398,3692,2,"226304","ENSMUST00000044180.4",68,"ENSMUSG00000033774","Npbwr1","neuropeptides B/W receptor 1"
"chr1",7088308,7088723,416,"*","epilc_kdm5c_wt_.merged.bam_peak_8",81,".",3.29186,11.5984,8.17192,198,"Promoter",1,7088920,7173628,84709,1,"319263","ENSMUST00000061280.16",-197,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",9545291,9546133,843,"*","epilc_kdm5c_wt_.merged.bam_peak_9",284,".",5.23944,32.6167,28.4926,405,"Promoter",1,9545408,9547455,2048,1,"59014","ENSMUST00000072079.8",0,"ENSMUSG00000061024","Rrs1","ribosome biogenesis regulator 1"
"chr1",9848276,9848646,371,"*","epilc_kdm5c_wt_.merged.bam_peak_10",85,".",4.31566,11.9803,8.53759,157,"Promoter",1,9848321,9865631,17311,1,"170755","ENSMUST00000188830.6",0,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",10232790,10233445,656,"*","epilc_kdm5c_wt_.merged.bam_peak_11",110,".",4.54858,14.5732,11.0093,469,"Promoter",1,10173075,10232670,59596,2,"211673","ENSMUST00000131556.1",-120,"ENSMUSG00000067851","Arfgef1","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)"
"chr1",10993313,10993946,634,"*","epilc_kdm5c_wt_.merged.bam_peak_13",106,".",4.18354,14.2272,10.6767,268,"Promoter",1,10993465,11303681,310217,1,"109294","ENSMUST00000027056.11",0,"ENSMUSG00000048960","Prex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
"chr1",12990731,12991067,337,"*","epilc_kdm5c_wt_.merged.bam_peak_15",84,".",3.77732,11.9079,8.46679,133,"Promoter",1,12879683,12990914,111232,2,"240726","ENSMUST00000146763.7",0,"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1"
