"ENSEMBL","SYMBOL","sexBias","KDM5C_binding","Promo_CGI","seqnames","start","end","gene_name","TSS","pvalue","qvalue","meth.diff"
"ENSMUSG00000000365","Rnf17","unbiased","Bound","CGI","chr14",56402082,56403081,"Rnf17",56402581,0.334521097171382,0.427229250508717,-3.66457804705436
"ENSMUSG00000000411","Tssk3","XY","Bound","no","chr4",129490523,129491522,"Tssk3",129491022,2.51357480904542e-06,2.52695214863957e-05,-14.16546813477
"ENSMUSG00000000811","Txnrd3","XY","Bound","CGI","chr6",89643489,89644488,"Txnrd3",89643988,0.00234436424536045,0.01159715432369,4.42982456140351
"ENSMUSG00000000942","Hoxa4","XY","Bound","CGI","chr6",52191254,52192253,"Hoxa4",52191753,0.795068370225971,0.669649705231794,0.270874537793447
"ENSMUSG00000001120","Pcbp3","XY","Bound","CGI","chr10",76961388,76962387,"Pcbp3",76961887,0.320016773931214,0.415554890503272,-1.90615224191867
"ENSMUSG00000001558","Klhl10","XY","Unbound","no","chr11",100441418,100442417,"Klhl10",100441917,0.511148683960136,0.542449720672678,1.78004535147392
"ENSMUSG00000001829","Clpb","XY","Unbound","CGI","chr7",101663134,101664133,"Clpb",101663633,0.285454954067563,0.388618412206431,1.49191576502231
"ENSMUSG00000001948","Spa17","XY","Unbound","no","chr9",37613223,37614222,"Spa17",37613722,0.0647716715189449,0.149295634006901,-5.17401336917477
"ENSMUSG00000002076","Hsf2bp","unbiased","Bound","no","chr17",32035850,32036849,"Hsf2bp",32036349,0.14754459991642,0.264663231216178,1.38378980704944
"ENSMUSG00000002190","Clgn","XY","Unbound","CGI","chr8",83389368,83390367,"Clgn",83389867,0.173741618531657,0.291110463257851,-2.09005002779322
"ENSMUSG00000002228","Ppm1j","XY","Unbound","CGI","chr3",104780557,104781556,"Ppm1j",104781056,0.54158819311658,0.552720152708514,-1.04093567251462
"ENSMUSG00000002319","Ipo4","unbiased","Bound","CGI","chr14",55635458,55636457,"Ipo4",55635957,0.402607100708333,0.476477601861186,-2.03312470524288
"ENSMUSG00000002409","Dyrk1b","unbiased","Unbound","CGI","chr7",28178970,28179969,"Dyrk1b",28179469,0.392083540331482,0.466384615789987,1.90573844775532
"ENSMUSG00000002768","Mea1","unbiased","Bound","CGI","chr17",46678294,46679293,"Mea1",46678793,0.851029815052824,0.689461008473563,0.424470975121538
"ENSMUSG00000003153","Slc2a3","XY","Bound","CGI","chr6",122801141,122802140,"Slc2a3",122801640,6.18660050452699e-05,0.000455445591902505,-5.8070986605018
"ENSMUSG00000003341","Atp8b3","XY","Unbound","no","chr10",80538625,80539624,"Atp8b3",80539124,0.61754864642809,0.590364821149988,1.07636472108979
"ENSMUSG00000003345","Csnk1g2","unbiased","Unbound","CGI","chr10",80622339,80623338,"Csnk1g2",80622838,0.366916388680926,0.447843723610868,-0.804222296799372
"ENSMUSG00000003354","Ccdc65","XY","Unbound","no","chr15",98707708,98708707,"Ccdc65",98708207,0.905975060995238,0.708820858338358,-0.375245521972384
"ENSMUSG00000003436","Dll3","XY","Bound","CGI","chr7",28301739,28302738,"Dll3",28302238,0.0122818537999808,0.0423723727207957,6.26826633308694
"ENSMUSG00000003604","Aven","unbiased","Bound","CGI","chr2",112492465,112493464,"Aven",112492964,0.854320232759193,0.689501792248603,0.344172455809066
"ENSMUSG00000004032","Gstm5","XY","Bound","CGI","chr3",107895322,107896321,"Gstm5",107895821,1.88775046967709e-10,4.52551627747505e-09,-15.5862401918106
"ENSMUSG00000004070","Hmox2","unbiased","Bound","CGI","chr16",4725862,4726861,"Hmox2",4726361,0.315065962132168,0.411987079959788,-2.6674930275798
"ENSMUSG00000004371","Il11","XY","Unbound","no","chr7",4782360,4783359,"Il11",4782859,0.805236549661667,0.671774600816979,-1.59489633173844
"ENSMUSG00000004542","Psg19","XY","Unbound","no","chr7",18798021,18799020,"Psg19",18798520,0.594102376393459,0.577507162452274,2.50169033130493
"ENSMUSG00000004633","Chn2","XY","Bound","CGI","chr6",54039055,54040054,"Chn2",54039554,0.504322489818364,0.53840883559284,-1.12936880542514
"ENSMUSG00000004948","Zp3","XX","Unbound","no","chr5",135979600,135980599,"Zp3",135980099,0.834456467450492,0.681518322944158,-0.475341651812244
"ENSMUSG00000005131","4930550C14Rik","XY","Unbound","no","chr9",53401826,53402825,"4930550C14Rik",53402325,0.00513757336976588,0.0219332037777561,-10.8067470406517
"ENSMUSG00000005474","Myl10","XY","Unbound","no","chr5",136692647,136693646,"Myl10",136693146,0.208556770687449,0.323029801643215,2.66690009337068
"ENSMUSG00000005493","Msh4","unbiased","Bound","CGI","chr3",153905639,153906638,"Msh4",153906138,2.997213006949e-19,1.47486462479107e-17,-21.6222538228611
"ENSMUSG00000005983","1700037C18Rik","XY","Unbound","no","chr16",3908190,3909189,"1700037C18Rik",3908689,0.462681687194142,0.513757731311811,-0.699993541682568
"ENSMUSG00000006056","Calcoco2","XX","Unbound","no","chr11",96111465,96112464,"Calcoco2",96111964,0.00221355102225754,0.0111266581199174,-19.3935160933589
"ENSMUSG00000006200","Rhox6","XX","Unbound","CGI","chrX",37826411,37827410,"Rhox6",37826910,0.729953762815868,0.639016762061031,1.20071329502675
"ENSMUSG00000006241","Ccdc159","unbiased","Unbound","no","chr9",21926972,21927971,"Ccdc159",21927471,0.926377494916052,0.717577606465902,-0.195597909831638
"ENSMUSG00000006310","Zbtb32","XY","Bound","no","chr7",30598410,30599409,"Zbtb32",30598909,0.72740982667371,0.63798447473723,0.608272506082719
"ENSMUSG00000007033","Hspa1l","XY","Unbound","no","chr17",34972204,34973203,"Hspa1l",34972703,0.858637811073056,0.689927701509235,0.705027773821393
"ENSMUSG00000007107","Atp1a4","XY","Unbound","no","chr1",172257915,172258914,"Atp1a4",172258414,0.00665064968791438,0.0261322478435209,6.49202017280193
"ENSMUSG00000007591","Tssk4","XY","Unbound","no","chr14",55649685,55650684,"Tssk4",55650184,0.130887186426837,0.243770734751259,3.87210724151985
"ENSMUSG00000007888","Crlf1","XY","Unbound","CGI","chr8",70492659,70493658,"Crlf1",70493158,0.0989919805747415,0.199037639230978,2.93556252176942
"ENSMUSG00000008028","1700008O03Rik","XY","Unbound","no","chr7",44385321,44386320,"1700008O03Rik",44385820,0.141444415491213,0.259714626440093,4.05398110661269
"ENSMUSG00000008307","1700109H08Rik","XY","Unbound","no","chr5",3571067,3572066,"1700109H08Rik",3571566,0.713584494288229,0.6317854758888,0.695469664360293
"ENSMUSG00000008438","Adam21","XY","Unbound","no","chr12",81567975,81568974,"Adam21",81568474,0.920786055047082,0.715023635484061,0.339710352225997
"ENSMUSG00000008482","Rnf151","XY","Unbound","no","chr17",24717564,24718563,"Rnf151",24718063,0.562979778774273,0.56294936880405,1.47320453197665
"ENSMUSG00000008813","Tppp2","XY","Unbound","no","chr14",51917926,51918925,"Tppp2",51918425,0.228551637294752,0.336510610800959,-5.79355365157079
"ENSMUSG00000009093","Gstt4","XY","Unbound","no","chr10",75822044,75823043,"Gstt4",75822543,0.636844616229589,0.598872796538758,-1.03293231255316
"ENSMUSG00000009596","Taf7l","unbiased","Bound","CGI","chrX",134475991,134476990,"Taf7l",134476490,0.0002079675236201,0.00130496061190946,-14.7389025131055
"ENSMUSG00000009628","Tex15","unbiased","Bound","CGI","chr8",33516239,33517238,"Tex15",33516738,1.63159013803511e-33,1.38677670501864e-31,-34.9189010499386
"ENSMUSG00000009670","Tex11","unbiased","Bound","CGI","chrX",101059168,101060167,"Tex11",101059667,2.27211804881691e-23,1.51736830157643e-21,-37.5637781730424
"ENSMUSG00000009734","Pou6f2","XY","Unbound","no","chr13",18397187,18398186,"Pou6f2",18397686,0.514199872329924,0.544416996976263,-1.91681042744872
"ENSMUSG00000009941","Nxf2","XY","Unbound","no","chrX",134964255,134965254,"Nxf2",134964754,0.0808736874156787,0.172238754451008,-3.72560615020697
"ENSMUSG00000010044","Zmynd10","XY","Unbound","no","chr9",107546799,107547798,"Zmynd10",107547298,4.43425790975396e-08,6.68678579548432e-07,12.6662786830728
"ENSMUSG00000010342","Tex14","unbiased","Unbound","no","chr11",87404566,87405565,"Tex14",87405065,5.10967258512669e-45,7.96214300470249e-43,-29.9880694165174
"ENSMUSG00000010592","Dazl","unbiased","Bound","CGI","chr17",50293137,50294136,"Dazl",50293636,0.00345663450808242,0.0159200920569294,-6.52492239208106
"ENSMUSG00000010760","Phlda2","XX","Unbound","CGI","chr7",143502651,143503650,"Phlda2",143503150,0.0003601764164448,0.00209159477420985,-8.78004626370311
"ENSMUSG00000010796","Asz1","unbiased","Unbound","no","chr6",18108562,18109561,"Asz1",18109061,0.0669882718369969,0.150917231136241,-2.91712208282204
"ENSMUSG00000011349","Dmrtc2","unbiased","Unbound","no","chr7",24869558,24870557,"Dmrtc2",24870057,5.11644588811356e-06,4.78361849902821e-05,-15.0902123910126
"ENSMUSG00000011486","Slc25a41","XY","Unbound","no","chr17",57041155,57042154,"Slc25a41",57041654,0.0785121475201894,0.169451862174168,4.61538461538462
"ENSMUSG00000012042","4930579F01Rik","XY","Unbound","no","chr3",138193326,138194325,"4930579F01Rik",138193825,0.627454430569705,0.596449803220202,-1.16681784447926
"ENSMUSG00000012126","Ubxn11","XY","Unbound","CGI","chr4",134102071,134103070,"Ubxn11",134102570,0.0371256655144402,0.100030611591901,-3.0348636870376
"ENSMUSG00000012211","Tex22","XY","Unbound","no","chr12",113074003,113075002,"Tex22",113074502,7.13749511317693e-09,1.30847008848417e-07,-11.8178944729643
"ENSMUSG00000012396","Nanog","unbiased","Unbound","no","chr6",122706990,122707989,"Nanog",122707489,0.300662146369587,0.401004168186416,2.77045341397304
"ENSMUSG00000012609","Ttll5","XY","Unbound","CGI","chr12",85824160,85825159,"Ttll5",85824659,0.723333931179433,0.636141576743866,-0.347704484484104
"ENSMUSG00000013091","Tmem190","XY","Unbound","no","chr7",4782438,4783437,"Tmem190",4782937,0.791821404628725,0.668756117748715,-1.78571428571429
"ENSMUSG00000013158","4933405L10Rik","XY","Unbound","no","chr8",105707156,105708155,"4933405L10Rik",105707655,0.465134400206406,0.515257313455707,1.17484504535448
"ENSMUSG00000013353","4931406B18Rik","XY","Unbound","no","chr7",43505441,43506440,"4931406B18Rik",43505940,0.431700094052181,0.496454839979996,2.03436363220389
"ENSMUSG00000013668","4933402N03Rik","XY","Unbound","no","chr7",131145815,131146814,"4933402N03Rik",131146314,0.144529973732198,0.261369876104416,6.82688958551028
"ENSMUSG00000013822","Elof1","unbiased","Unbound","CGI","chr9",22116673,22117672,"Elof1",22117172,0.328329271544258,0.423993489789282,1.52462541782567
"ENSMUSG00000014609","Chrne","XY","Unbound","CGI","chr11",70618717,70619716,"Chrne",70619216,0.280609807468052,0.386955748923497,2.70141535111595
"ENSMUSG00000014747","Ankrd53","XY","Unbound","no","chr6",83762145,83763144,"Ankrd53",83762644,0.869628742429826,0.693736308471274,-0.498484754777662
"ENSMUSG00000014837","4931428F04Rik","unbiased","Bound","CGI","chr8",105289365,105290364,"4931428F04Rik",105289864,0.525444509996102,0.549512392891322,-0.529426891902055
"ENSMUSG00000015242","Nipsnap3a","XY","Unbound","no","chr4",52988773,52989772,"Nipsnap3a",52989272,1.29913999614687e-05,0.000118095983156921,-15.9102281089036
"ENSMUSG00000015443","Gzmn","XY","Unbound","no","chr14",56174100,56175099,"Gzmn",56174599,0.167509414190407,0.286836707319793,-2.68913039311521
"ENSMUSG00000015980","Lrrc27","XY","Unbound","no","chr7",139212489,139213488,"Lrrc27",139212988,0.0268825790594598,0.0752510590256943,-5.79113656715157
"ENSMUSG00000016356","Col20a1","XY","Unbound","no","chr2",180986036,180987035,"Col20a1",180986535,0.458273148254321,0.512573300984677,5.82863282299221
"ENSMUSG00000016526","Dyrk3","XY","Bound","CGI","chr1",131137841,131138840,"Dyrk3",131138340,0.236350624002654,0.341613772656084,-1.1923286000673
"ENSMUSG00000016626","Nlrp14","XY","Unbound","no","chr7",107166491,107167490,"Nlrp14",107166990,0.0313472045923118,0.0864544339282021,-5.82978569447292
"ENSMUSG00000016982","Pom121l2","XY","Unbound","CGI","chr13",21980695,21981694,"Pom121l2",21981194,0.143467710304437,0.260963158153102,-1.76926865304112
"ENSMUSG00000017049","Ccdc70","XY","Unbound","no","chr8",21969276,21970275,"Ccdc70",21969775,1.98723695063299e-13,6.63559351192606e-12,-45.4091494845361
"ENSMUSG00000017119","Nbr1","unbiased","Unbound","no","chr11",101551650,101552649,"Nbr1",101552149,0.283384238997156,0.388281761968704,-0.864326156687403
"ENSMUSG00000017195","Zpbp2","XY","Bound","CGI","chr11",98550598,98551597,"Zpbp2",98551097,0.072176880645734,0.158407835931359,-3.43268018236492
"ENSMUSG00000017588","Krt27","XY","Unbound","no","chr11",99350605,99351604,"Krt27",99351104,0.000971263407102003,0.005101585572657,5.48729294304515
"ENSMUSG00000017832","Hspb9","XY","Unbound","CGI","chr11",100713351,100714350,"Hspb9",100713850,0.659049871518366,0.610682204680503,-0.770545967052517
"ENSMUSG00000018428","Akap1","unbiased","Bound","CGI","chr11",88864087,88865086,"Akap1",88864586,0.0241853742080072,0.0694061627681617,3.61663193208967
"ENSMUSG00000018479","1700125H20Rik","XY","Unbound","no","chr11",85169905,85170904,"1700125H20Rik",85170404,0.000249809793915605,0.00148764038633652,11.2104058952873
"ENSMUSG00000018509","Cenpv","XY","Bound","CGI","chr11",62538762,62539761,"Cenpv",62539261,0.767008239181235,0.656697770919962,-0.467641391816843
"ENSMUSG00000018543","1700001P01Rik","XY","Unbound","no","chr11",97775419,97776418,"1700001P01Rik",97775918,3.01145504953209e-06,2.96374566065593e-05,-10.9355643893871
"ENSMUSG00000018554","Ybx2","XY","Bound","CGI","chr11",69935297,69936296,"Ybx2",69935796,0.668927259682654,0.614285432464646,-0.610483550262787
"ENSMUSG00000018570","2810408A11Rik","XY","Unbound","no","chr11",69900488,69901487,"2810408A11Rik",69900987,0.716785979809169,0.632562446427176,-0.31989007980036
"ENSMUSG00000018727","Cpsf4l","unbiased","Unbound","no","chr11",113709518,113710517,"Cpsf4l",113710017,0.94746363772127,0.725351166656834,-0.373420635326616
"ENSMUSG00000018844","Fndc8","XY","Unbound","no","chr11",82891625,82892624,"Fndc8",82892124,3.63399086995068e-05,0.000292896373147541,14.264631043257
"ENSMUSG00000019178","Styxl1","XY","Unbound","no","chr5",135777886,135778885,"Styxl1",135778385,0.210116383267871,0.323242902780675,1.2154254892203
"ENSMUSG00000019578","Ubxn6","unbiased","Unbound","CGI","chr17",56074529,56075528,"Ubxn6",56075028,0.0668154364358442,0.15089144577421,3.51650757509414
"ENSMUSG00000019732","Calr3","XY","Bound","no","chr8",72443371,72444370,"Calr3",72443870,1.30102067875013e-05,0.000118095983156921,-7.39036039947894
"ENSMUSG00000019834","Slc22a16","XY","Unbound","no","chr10",40569837,40570836,"Slc22a16",40570336,0.20903057443194,0.323029801643215,2.0879500840838
"ENSMUSG00000019876","Pkib","XY","Unbound","CGI","chr10",57631482,57632481,"Pkib",57631981,0.168054171279056,0.287243441611535,-5.22727272727273
"ENSMUSG00000019892","Lrriq1","XY","Unbound","no","chr10",103235823,103236822,"Lrriq1",103236322,0.0611877376466207,0.143737297512086,-5.54818744473917
"ENSMUSG00000019952","Poc1b","unbiased","Unbound","CGI","chr10",99106537,99107536,"Poc1b",99107036,0.228179894890896,0.336510610800959,1.79916434282326
"ENSMUSG00000019971","Cep290","unbiased","Bound","CGI","chr10",100487059,100488058,"Cep290",100487558,0.400437477704265,0.47511271261225,-1.43463497453311
"ENSMUSG00000020020","Usp44","XY","Bound","CGI","chr10",93831056,93832055,"Usp44",93831555,0.742493048076887,0.645761395630696,0.552321241976414
"ENSMUSG00000020037","Rfx4","XY","Unbound","no","chr10",84755563,84756562,"Rfx4",84756062,0.629049311014293,0.597085619930094,0.598290598290598
"ENSMUSG00000020059","Sycp3","unbiased","Bound","CGI","chr10",88459070,88460069,"Sycp3",88459569,4.35462652147949e-06,4.15444476219484e-05,-11.6067653276956
"ENSMUSG00000020131","Pcsk4","XY","Bound","CGI","chr10",80328999,80329998,"Pcsk4",80329498,0.0349710868322705,0.0956029238937611,7.7164511556597
"ENSMUSG00000020193","Zpbp","XY","Bound","no","chr11",11461909,11462908,"Zpbp",11462408,4.90159431277453e-06,4.62903346179381e-05,-6.58370618205539
"ENSMUSG00000020213","Glipr1l1","XY","Unbound","no","chr10",112059690,112060689,"Glipr1l1",112060189,0.0634292474163412,0.147520255813271,7.25880872483221
"ENSMUSG00000020214","Glipr1l2","XY","Unbound","no","chr10",112082855,112083854,"Glipr1l2",112083354,0.902778612112717,0.70809765725335,0.26304347826086
"ENSMUSG00000020286","1700093K21Rik","XY","Unbound","no","chr11",23520656,23521655,"1700093K21Rik",23521155,0.0495008784988612,0.125422280086902,16.7483660130719
"ENSMUSG00000020299","4930524B15Rik","unbiased","Bound","CGI","chr11",31965093,31966092,"4930524B15Rik",31965592,7.8873910470217e-09,1.41813697613118e-07,-30.2402651201326
"ENSMUSG00000020317","Theg","XY","Unbound","no","chr10",79586832,79587831,"Theg",79587331,0.975498704438013,0.737654171238332,0.0876456195449737
"ENSMUSG00000020389","Cdkl3","XY","Unbound","CGI","chr11",52003722,52004721,"Cdkl3",52004221,0.819633708186959,0.678756529240905,-0.207296849087894
"ENSMUSG00000020419","Hormad2","unbiased","Bound","no","chr11",4440606,4441605,"Hormad2",4441105,2.96959993641486e-09,6.03570861033291e-08,-15.950939789742
"ENSMUSG00000020434","4921536K21Rik","XY","Bound","CGI","chr11",3894599,3895598,"4921536K21Rik",3895098,0.0987143880243808,0.198907256956128,1.77408472710486
"ENSMUSG00000020435","Osbp2","XY","Bound","CGI","chr11",3863404,3864403,"Osbp2",3863903,0.102825458790137,0.204111700135433,3.56770324826722
"ENSMUSG00000020481","Ankrd36","XY","Unbound","no","chr11",5569185,5570184,"Ankrd36",5569684,0.536832576582437,0.552720152708514,-1.01176967058302
"ENSMUSG00000020525","Ppm1d","XY","Unbound","CGI","chr11",85310745,85311744,"Ppm1d",85311244,0.0358421885137044,0.0976986473725149,1.66389374621553
"ENSMUSG00000020562","Efcab10","XY","Unbound","no","chr12",33394355,33395354,"Efcab10",33394854,0.168503249794637,0.287485453089133,-5.53513513513514
"ENSMUSG00000020617","1700012B07Rik","XY","Unbound","no","chr11",109827547,109828546,"1700012B07Rik",109828046,0.750103717262869,0.650907293811648,1.0062893081761
"ENSMUSG00000020622","Nt5c1b","XY","Unbound","no","chr12",10369474,10370473,"Nt5c1b",10369973,0.434382872554232,0.498926348045812,11.25
"ENSMUSG00000020636","Allc","XY","Unbound","no","chr12",28582024,28583023,"Allc",28582523,5.96188131181877e-05,0.000442385549320144,13.3067964027716
"ENSMUSG00000020639","Pfn4","XY","Unbound","no","chr12",4768523,4769522,"Pfn4",4769022,2.0178639665381e-05,0.000171509172399235,-6.51548050458288
"ENSMUSG00000020690","Efcab3","XY","Unbound","CGI","chr11",105063093,105064092,"Efcab3",105063592,0.567231209354442,0.563282427977358,2.49441548771407
"ENSMUSG00000020696","Rffl","unbiased","Unbound","CGI","chr11",82870711,82871710,"Rffl",82871210,0.899835874082574,0.706647189624971,0.167836766549717
"ENSMUSG00000020698","Cct6b","XY","Unbound","CGI","chr11",82763822,82764821,"Cct6b",82764321,0.852470566699959,0.689461008473563,0.13828383434862
"ENSMUSG00000020712","Tcam1","XY","Bound","no","chr11",106276173,106277172,"Tcam1",106276672,0.0132700368634305,0.0436859657162871,-5.15318298110206
"ENSMUSG00000020799","Tekt1","XY","Unbound","CGI","chr11",72361943,72362942,"Tekt1",72362442,5.58160513339518e-05,0.000420848298425431,-9.92404486055891
"ENSMUSG00000020805","Slc13a5","XY","Unbound","CGI","chr11",72266723,72267722,"Slc13a5",72267222,0.00348039474265535,0.0159509475826985,-6.21282370970675
