chr,start,end,strand,pvalue,qvalue,meth.diff
chr1,20951664,20951890,*,0.772780037815776,0.546421199851107,-1.02564102564103
chr1,33814132,33814690,*,0.169922970001915,0.191920831300865,-1.64960911038283
chr1,36683086,36683438,*,2.08351658474785e-164,1.1530896331145e-162,72.4851932789685
chr1,37864614,37865324,*,0.774172405584932,0.546421199851107,0.30727752848411
chr1,52952628,52952957,*,0.102750135152477,0.128902011785887,4.04260192395786
chr1,54250571,54250800,*,0.789627170570413,0.546421199851107,0.370474144640577
chr1,55362483,55363657,*,6.27261413445543e-11,1.95576342823624e-10,10.2740371033054
chr1,63273065,63273913,*,0.244122564396884,0.247900570907336,-1.249123235034
chr1,64690536,64691585,*,0.768675812148428,0.546421199851107,0.216979358030406
chr1,69826865,69827202,*,7.64377588041583e-12,2.52556900641028e-11,16.5802362431576
chr1,74601096,74601459,*,0.783807120881496,0.546421199851107,0.316901408450704
chr1,79761253,79761833,*,0.529041545221534,0.443620848832077,0.651001584749918
chr1,86018291,86018836,*,0.00552123389301399,0.0101854681817588,3.38060080974787
chr1,88205331,88205799,*,3.44963501766881e-07,9.09117376710315e-07,6.82984300493572
chr1,88277215,88277704,*,0.718289243005669,0.528273668569827,0.313791815656967
chr1,131137778,131138378,*,0.443956965540341,0.397827819590824,-0.663521505121171
chr1,132190089,132191155,*,0.725845897881895,0.532063639640767,0.51162169382848
chr1,155558149,155558794,*,0.1050390047393,0.12990434105674,-1.59572025531524
chr1,166238499,166238965,*,3.09304199507273e-08,8.45331192966878e-08,22.2195512820513
chr1,179667886,179668692,*,0.873704234812561,0.567199917359878,0.127301214257736
chr1,186967391,186968306,*,7.97940353278362e-288,1.76643038206552e-285,68.1124285527292
chr2,3418949,3419265,*,0.578191023105732,0.46713980912723,0.832003647139275
chr2,18698658,18699226,*,0.223974073374371,0.233877253291058,1.16013421860498
chr2,25262565,25263446,*,0.743199162834546,0.537662667613453,-0.210681062162513
chr2,28700081,28700321,*,3.14931434330993e-05,7.33868932992882e-05,8.07066426733229
chr2,29124687,29125657,*,0.637921003904802,0.497508396145375,-0.454666303202857
chr2,29889283,29890726,*,0.016441698385031,0.0269611868167857,2.1214995413058
chr2,30801098,30801723,*,0.0804774962181772,0.106680264145501,1.63213042615737
chr2,34799756,34799960,*,0.503736583129586,0.432225000229741,-0.957020143066655
chr2,38925259,38926340,*,0.414132743098479,0.37678079611376,-0.877744646245595
chr2,69789429,69789895,*,0.595284660204633,0.477465181270852,-0.557062638847025
chr2,90783013,90783265,*,0.313389096064459,0.299034980379167,2.82738095238095
chr2,104122632,104123347,*,0.0639898112320844,0.0879854886104752,2.51206897101852
chr2,112492916,112493511,*,0.0319488047734285,0.0494589252959285,4.70588235294118
chr2,113327378,113327814,*,0.357529065153103,0.336798065415664,1.24800757698261
chr2,121955801,121956772,*,0.675030440914024,0.513480385967979,0.485745030710451
chr2,127788655,127788974,*,0.572627722961759,0.46713980912723,-0.832792558944408
chr2,129800325,129801953,*,0.469113884735682,0.410472307975694,0.452516254809038
chr2,131159930,131160570,*,0.0149187074665305,0.0254046925280873,-1.92380204241948
chr2,144330651,144332212,*,0.0451893641738799,0.0658140686625966,1.55225806451613
chr2,147083840,147085557,*,0.000687611100544534,0.00144970513511631,3.65935762458067
chr2,151740829,151741394,*,0.0125907165692936,0.0217754217434216,2.26135877209075
chr2,151842767,151843046,*,0.0363948605205523,0.0551840157166476,5.64239420510865
chr2,151979938,151980339,*,0.0313986571433666,0.0489495639460822,3.72761031017912
chr2,156065180,156065913,*,0.509974648176512,0.434715908254875,0.630053908355795
chr2,164745731,164746085,*,0.533910253032429,0.446013992965837,-1.0989010989011
chr2,178407227,178407650,*,4.32875131629929e-26,1.87896442558953e-25,36.0287918611983
chr2,180641946,180642920,*,0.0574306625796522,0.0806376744497409,-2.0229825470883
chr2,181680145,181680698,*,0.677299278954295,0.513480385967979,-0.524026102432272
chr3,14533767,14534090,*,0.0853513555493704,0.109852026557435,-2.7915785764623
chr3,19188031,19188573,*,0.555618244727562,0.457448243688433,-0.798903156062963
chr3,35932344,35933154,*,0.158828070297158,0.180309556520721,1.36426131451007
chr3,37063502,37063863,*,1.59127258202175e-39,9.27015680690821e-39,59.3064611736811
chr3,40708700,40709241,*,3.79260008522899e-80,5.99701468022212e-79,46.4762214680861
chr3,40745021,40745862,*,0.649604153307054,0.501063760387056,-0.717948717948718
chr3,41742172,41742675,*,0.769858430507213,0.546421199851107,0.267561663487716
chr3,58691571,58692626,*,0.132790879614989,0.158045232846862,-1.23848907284239
chr3,65527716,65529467,*,0.006181347015,0.0113089908323516,1.59049974051348
chr3,65666033,65666732,*,1.23292128838846e-59,9.41159977579994e-59,27.2187232455434
chr3,95559528,95559728,*,7.43838007895247e-126,2.05832749760508e-124,78.0078214860824
chr3,102935376,102936230,*,7.85035946666706e-64,7.55592789071039e-63,51.064438750477
chr3,104780767,104781874,*,0.000101052775163398,0.000221489410989203,3.58988729061585
chr3,107895767,107896270,*,5.93378223191038e-18,2.30453254287698e-17,19.976911976912
chr3,137867583,137868040,*,1,0.608169608169609,0
chr3,141211322,141211889,*,5.05506019843057e-166,3.73019189591935e-164,64.7478210505666
chr3,144719649,144720452,*,0.42123692022873,0.380615474901376,2.64423076923077
chr3,153905621,153906071,*,2.01022994199672e-159,8.90024230480811e-158,60.1835509509163
chr3,155093200,155093621,*,0.944325288392579,0.592702641472747,0.1634521085322
chr4,34049769,34050143,*,6.65593996425942e-52,4.33367736948039e-51,56.4687855010436
chr4,40703054,40703371,*,0.777796066198013,0.546421199851107,-0.346579309689978
chr4,41507019,41507326,*,0.984949992598564,0.60235048292966,0.01657824933687
chr4,43442130,43443684,*,0.298875706312575,0.294058809407246,-0.850718430505664
chr4,44167372,44168501,*,0.111324381384372,0.133936382434119,1.80371440911658
chr4,44233354,44234284,*,0.525575995629995,0.442390579568575,-0.792998862631113
chr4,62208321,62208792,*,0.860392720604287,0.567199917359878,0.194393821053545
chr4,62470755,62471016,*,0.0160560552262225,0.0265252906933434,-5.11533823472206
chr4,62524697,62525573,*,0.872671182555473,0.567199917359878,-0.121161030508111
chr4,89294134,89295553,*,0.46251366043943,0.406303085705891,0.79205731212645
chr4,107683546,107683992,*,3.10761211643665e-32,1.56350842846248e-31,41.2980583772663
chr4,110397657,110397895,*,0.547981054657198,0.456047421351378,-0.862290862290863
